"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Alamosa",250,0,1866955934.56219,1550511849.08542,1550511849.08542,0.830502648927821,0.830502648927821
"Alamosa",250,0.25,1866955934.56219,1550511849.08542,1865841987.77451,0.830502648927821,0.99940333525443
"Alamosa",250,0.5,1866955934.56219,1550511849.08542,1866948019.37189,0.830502648927821,0.999995760376472
"Alamosa",250,0.75,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,1,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,1.25,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,1.5,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,1.75,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,2,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,2.25,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,2.5,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,2.75,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",250,3,1866955934.56219,1550511849.08542,1866955934.56219,0.830502648927821,1
"Alamosa",500,0,1866955934.56219,1321462645.14255,1321462645.14255,0.707816730260662,0.707816730260662
"Alamosa",500,0.25,1866955934.56219,1321462645.14255,1857692871.24755,0.707816730260662,0.995038413524837
"Alamosa",500,0.5,1866955934.56219,1321462645.14255,1866867963.08921,0.707816730260662,0.99995287972718
"Alamosa",500,0.75,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,1,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,1.25,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,1.5,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,1.75,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,2,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,2.25,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,2.5,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,2.75,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",500,3,1866955934.56219,1321462645.14255,1866955934.56219,0.707816730260662,1
"Alamosa",750,0,1866955934.56219,1147237419.65974,1147237419.65974,0.614496249440816,0.614496249440816
"Alamosa",750,0.25,1866955934.56219,1147237419.65974,1783774855.59228,0.614496249440816,0.955445612062923
"Alamosa",750,0.5,1866955934.56219,1147237419.65974,1857764671.35601,0.614496249440816,0.995076871908954
"Alamosa",750,0.75,1866955934.56219,1147237419.65974,1866767502.46073,0.614496249440816,0.999899069871988
"Alamosa",750,1,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,1.25,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,1.5,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,1.75,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,2,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,2.25,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,2.5,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,2.75,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",750,3,1866955934.56219,1147237419.65974,1866955934.56219,0.614496249440816,1
"Alamosa",1000,0,1866955934.56219,1008137311.51466,1008137311.51466,0.539989880238425,0.539989880238425
"Alamosa",1000,0.25,1866955934.56219,1008137311.51466,1654390952.35088,0.539989880238425,0.886143546145795
"Alamosa",1000,0.5,1866955934.56219,1008137311.51466,1788965839.86463,0.539989880238425,0.958226065621706
"Alamosa",1000,0.75,1866955934.56219,1008137311.51466,1840568387.23984,0.539989880238425,0.985866004208319
"Alamosa",1000,1,1866955934.56219,1008137311.51466,1860345574.45013,0.539989880238425,0.996459284341053
"Alamosa",1000,1.25,1866955934.56219,1008137311.51466,1865617666.0053,0.539989880238425,0.999283181497688
"Alamosa",1000,1.5,1866955934.56219,1008137311.51466,1866886779.58196,0.539989880238425,0.999962958429303
"Alamosa",1000,1.75,1866955934.56219,1008137311.51466,1866955934.56219,0.539989880238425,1
"Alamosa",1000,2,1866955934.56219,1008137311.51466,1866955934.56219,0.539989880238425,1
"Alamosa",1000,2.25,1866955934.56219,1008137311.51466,1866955934.56219,0.539989880238425,1
"Alamosa",1000,2.5,1866955934.56219,1008137311.51466,1866955934.56219,0.539989880238425,1
"Alamosa",1000,2.75,1866955934.56219,1008137311.51466,1866955934.56219,0.539989880238425,1
"Alamosa",1000,3,1866955934.56219,1008137311.51466,1866955934.56219,0.539989880238425,1
"Alamosa",1250,0,1866955934.56219,891566566.974882,891566566.974882,0.477550942938542,0.477550942938542
"Alamosa",1250,0.25,1866955934.56219,891566566.974882,1510047104.39166,0.477550942938542,0.808828465866161
"Alamosa",1250,0.5,1866955934.56219,891566566.974882,1721356657.82763,0.477550942938542,0.922012472796415
"Alamosa",1250,0.75,1866955934.56219,891566566.974882,1794057707.55348,0.477550942938542,0.960953429237841
"Alamosa",1250,1,1866955934.56219,891566566.974882,1832028410.80259,0.477550942938542,0.981291725684036
"Alamosa",1250,1.25,1866955934.56219,891566566.974882,1851571423.35607,0.477550942938542,0.991759574545216
"Alamosa",1250,1.5,1866955934.56219,891566566.974882,1861862246.11409,0.477550942938542,0.997271661128251
"Alamosa",1250,1.75,1866955934.56219,891566566.974882,1865998217.41616,0.477550942938542,0.999487016737616
"Alamosa",1250,2,1866955934.56219,891566566.974882,1866955934.56219,0.477550942938542,1
"Alamosa",1250,2.25,1866955934.56219,891566566.974882,1866955934.56219,0.477550942938542,1
"Alamosa",1250,2.5,1866955934.56219,891566566.974882,1866955934.56219,0.477550942938542,1
"Alamosa",1250,2.75,1866955934.56219,891566566.974882,1866955934.56219,0.477550942938542,1
"Alamosa",1250,3,1866955934.56219,891566566.974882,1866955934.56219,0.477550942938542,1
"Alamosa",1500,0,1866955934.56219,796362151.863258,796362151.863258,0.426556480054259,0.426556480054259
"Alamosa",1500,0.25,1866955934.56219,796362151.863258,1298899032.77857,0.426556480054259,0.695730953651654
"Alamosa",1500,0.5,1866955934.56219,796362151.863258,1604146746.6072,0.426556480054259,0.859231177828189
"Alamosa",1500,0.75,1866955934.56219,796362151.863258,1718258899.8831,0.426556480054259,0.920353216738366
"Alamosa",1500,1,1866955934.56219,796362151.863258,1773216088.31497,0.426556480054259,0.949790006013612
"Alamosa",1500,1.25,1866955934.56219,796362151.863258,1806371286.15862,0.426556480054259,0.967548967127719
"Alamosa",1500,1.5,1866955934.56219,796362151.863258,1829422312.32754,0.426556480054259,0.979895817817761
"Alamosa",1500,1.75,1866955934.56219,796362151.863258,1846473575.07174,0.426556480054259,0.98902900753506
"Alamosa",1500,2,1866955934.56219,796362151.863258,1856399187.92915,0.426556480054259,0.994345476270967
"Alamosa",1500,2.25,1866955934.56219,796362151.863258,1861120586.83502,0.426556480054259,0.996874405218064
"Alamosa",1500,2.5,1866955934.56219,796362151.863258,1863193426.99775,0.426556480054259,0.997984683251066
"Alamosa",1500,2.75,1866955934.56219,796362151.863258,1864753620.99768,0.426556480054259,0.998820371962858
"Alamosa",1500,3,1866955934.56219,796362151.863258,1865974223.47721,0.426556480054259,0.999474164833347
"Alamosa",1750,0,1866955934.56219,714811011.107938,714811011.107938,0.382875138012062,0.382875138012062
"Alamosa",1750,0.25,1866955934.56219,714811011.107938,1154760134.48593,0.382875138012062,0.6185256508246
"Alamosa",1750,0.5,1866955934.56219,714811011.107938,1498391765.63687,0.382875138012062,0.802585501830952
"Alamosa",1750,0.75,1866955934.56219,714811011.107938,1647542506.48736,0.382875138012062,0.882475304310658
"Alamosa",1750,1,1866955934.56219,714811011.107938,1718776015.11122,0.382875138012062,0.920630199830763
"Alamosa",1750,1.25,1866955934.56219,714811011.107938,1759433542.5249,0.382875138012062,0.942407643347778
"Alamosa",1750,1.5,1866955934.56219,714811011.107938,1787478559.00016,0.382875138012062,0.957429431466112
"Alamosa",1750,1.75,1866955934.56219,714811011.107938,1809602186.70865,0.382875138012062,0.969279538530196
"Alamosa",1750,2,1866955934.56219,714811011.107938,1827077005.59307,0.382875138012062,0.978639598165732
"Alamosa",1750,2.25,1866955934.56219,714811011.107938,1841409226.40071,0.382875138012062,0.986316383965711
"Alamosa",1750,2.5,1866955934.56219,714811011.107938,1852851468.45098,0.382875138012062,0.992445206739963
"Alamosa",1750,2.75,1866955934.56219,714811011.107938,1859209760.46339,0.382875138012062,0.995850906839628
"Alamosa",1750,3,1866955934.56219,714811011.107938,1862691600.51702,0.382875138012062,0.997715889290032
"Alamosa",2000,0,1866955934.56219,641797309.043677,641797309.043677,0.343766715197904,0.343766715197904
"Alamosa",2000,0.25,1866955934.56219,641797309.043677,1035456805.19416,0.343766715197904,0.554623055651809
"Alamosa",2000,0.5,1866955934.56219,641797309.043677,1395518657.84828,0.343766715197904,0.74748344725958
"Alamosa",2000,0.75,1866955934.56219,641797309.043677,1572633493.58757,0.343766715197904,0.842351693724554
"Alamosa",2000,1,1866955934.56219,641797309.043677,1669244545.98235,0.343766715197904,0.89409959553962
"Alamosa",2000,1.25,1866955934.56219,641797309.043677,1725579280.01075,0.343766715197904,0.924274241328255
"Alamosa",2000,1.5,1866955934.56219,641797309.043677,1763568309.14219,0.343766715197904,0.944622353690287
"Alamosa",2000,1.75,1866955934.56219,641797309.043677,1792231223.08176,0.343766715197904,0.959975107019355
"Alamosa",2000,2,1866955934.56219,641797309.043677,1815821444.24024,0.343766715197904,0.972610767412707
"Alamosa",2000,2.25,1866955934.56219,641797309.043677,1834010955.71222,0.343766715197904,0.982353638754897
"Alamosa",2000,2.5,1866955934.56219,641797309.043677,1847481533.59464,0.343766715197904,0.989568901650524
"Alamosa",2000,2.75,1866955934.56219,641797309.043677,1855564957.09993,0.343766715197904,0.993898636142724
"Alamosa",2000,3,1866955934.56219,641797309.043677,1860843402.59503,0.343766715197904,0.996725936668348
"Alamosa",2250,0,1866955934.56219,576174046.946391,576174046.946391,0.308616843215159,0.308616843215159
"Alamosa",2250,0.25,1866955934.56219,576174046.946391,928685422.866388,0.308616843215159,0.49743296329282
"Alamosa",2250,0.5,1866955934.56219,576174046.946391,1285858898.16647,0.308616843215159,0.68874624963658
"Alamosa",2250,0.75,1866955934.56219,576174046.946391,1488992554.40822,0.308616843215159,0.797550990274119
"Alamosa",2250,1,1866955934.56219,576174046.946391,1613033551.8648,0.308616843215159,0.863991228718028
"Alamosa",2250,1.25,1866955934.56219,576174046.946391,1686247914.87959,0.308616843215159,0.903207131814292
"Alamosa",2250,1.5,1866955934.56219,576174046.946391,1735834031.37616,0.308616843215159,0.929767006945035
"Alamosa",2250,1.75,1866955934.56219,576174046.946391,1769872332.08054,0.308616843215159,0.94799898557626
"Alamosa",2250,2,1866955934.56219,576174046.946391,1795823016.81081,0.308616843215159,0.961898984097843
"Alamosa",2250,2.25,1866955934.56219,576174046.946391,1817198873.96373,0.308616843215159,0.973348561860871
"Alamosa",2250,2.5,1866955934.56219,576174046.946391,1833272537.44748,0.308616843215159,0.981958118833368
"Alamosa",2250,2.75,1866955934.56219,576174046.946391,1845073308.62274,0.308616843215159,0.988278981022341
"Alamosa",2250,3,1866955934.56219,576174046.946391,1854354768.50325,0.308616843215159,0.993250421273654
"Alamosa",2500,0,1866955934.56219,516931536.994162,516931536.994162,0.276884701681716,0.276884701681716
"Alamosa",2500,0.25,1866955934.56219,516931536.994162,836910345.533573,0.276884701681716,0.448275360998186
"Alamosa",2500,0.5,1866955934.56219,516931536.994162,1185553565.26792,0.276884701681716,0.635019575620531
"Alamosa",2500,0.75,1866955934.56219,516931536.994162,1403257790.30118,0.276884701681716,0.751628768694129
"Alamosa",2500,1,1866955934.56219,516931536.994162,1538260921.90858,0.276884701681716,0.82394066910278
"Alamosa",2500,1.25,1866955934.56219,516931536.994162,1621837630.83967,0.276884701681716,0.868706968823021
"Alamosa",2500,1.5,1866955934.56219,516931536.994162,1680822832.66476,0.276884701681716,0.900301288074547
