"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Baca",250,0,6625504502.63264,5297059147.64065,5297059147.64065,0.799495215124503,0.799495215124503
"Baca",250,0.25,6625504502.63264,5297059147.64065,6625325070.55467,0.799495215124503,0.999972917975092
"Baca",250,0.5,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,0.75,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,1,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,1.25,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,1.5,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,1.75,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,2,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,2.25,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,2.5,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,2.75,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",250,3,6625504502.63264,5297059147.64065,6625504502.63264,0.799495215124503,1
"Baca",500,0,6625504502.63264,4361191196.53727,4361191196.53727,0.658242884719851,0.658242884719851
"Baca",500,0.25,6625504502.63264,4361191196.53727,6588201305.97613,0.658242884719851,0.994369757557076
"Baca",500,0.5,6625504502.63264,4361191196.53727,6625343160.80458,0.658242884719851,0.999975648370928
"Baca",500,0.75,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,1,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,1.25,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,1.5,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,1.75,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,2,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,2.25,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,2.5,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,2.75,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",500,3,6625504502.63264,4361191196.53727,6625504502.63264,0.658242884719851,1
"Baca",750,0,6625504502.63264,3720605099.64644,3720605099.64644,0.561558006362845,0.561558006362845
"Baca",750,0.25,6625504502.63264,3720605099.64644,6146176641.26477,0.561558006362845,0.92765413393389
"Baca",750,0.5,6625504502.63264,3720605099.64644,6527573715.84953,0.561558006362845,0.985219120031659
"Baca",750,0.75,6625504502.63264,3720605099.64644,6600432279.5538,0.561558006362845,0.996215801669311
"Baca",750,1,6625504502.63264,3720605099.64644,6618648089.63955,0.561558006362845,0.998965148542219
"Baca",750,1.25,6625504502.63264,3720605099.64644,6623760212.15419,0.561558006362845,0.999736730919471
"Baca",750,1.5,6625504502.63264,3720605099.64644,6625449863.73758,0.561558006362845,0.999991753247615
"Baca",750,1.75,6625504502.63264,3720605099.64644,6625504502.63264,0.561558006362845,1
"Baca",750,2,6625504502.63264,3720605099.64644,6625504502.63264,0.561558006362845,1
"Baca",750,2.25,6625504502.63264,3720605099.64644,6625504502.63264,0.561558006362845,1
"Baca",750,2.5,6625504502.63264,3720605099.64644,6625504502.63264,0.561558006362845,1
"Baca",750,2.75,6625504502.63264,3720605099.64644,6625504502.63264,0.561558006362845,1
"Baca",750,3,6625504502.63264,3720605099.64644,6625504502.63264,0.561558006362845,1
"Baca",1000,0,6625504502.63264,3244990939.63503,3244990939.63503,0.489772656308003,0.489772656308003
"Baca",1000,0.25,6625504502.63264,3244990939.63503,5494791315.5405,0.489772656308003,0.829339307422876
"Baca",1000,0.5,6625504502.63264,3244990939.63503,6195512527.7552,0.489772656308003,0.935100493146359
"Baca",1000,0.75,6625504502.63264,3244990939.63503,6448071171.40019,0.489772656308003,0.973219649739586
"Baca",1000,1,6625504502.63264,3244990939.63503,6553036151.48168,0.489772656308003,0.989062213885423
"Baca",1000,1.25,6625504502.63264,3244990939.63503,6596426428.91331,0.489772656308003,0.995611191010772
"Baca",1000,1.5,6625504502.63264,3244990939.63503,6616181619.94835,0.489772656308003,0.998592879579119
"Baca",1000,1.75,6625504502.63264,3244990939.63503,6624620785.59687,0.489772656308003,0.999866618906466
"Baca",1000,2,6625504502.63264,3244990939.63503,6625504502.63264,0.489772656308003,1
"Baca",1000,2.25,6625504502.63264,3244990939.63503,6625504502.63264,0.489772656308003,1
"Baca",1000,2.5,6625504502.63264,3244990939.63503,6625504502.63264,0.489772656308003,1
"Baca",1000,2.75,6625504502.63264,3244990939.63503,6625504502.63264,0.489772656308003,1
"Baca",1000,3,6625504502.63264,3244990939.63503,6625504502.63264,0.489772656308003,1
"Baca",1250,0,6625504502.63264,2866929327.42134,2866929327.42134,0.432711097891816,0.432711097891816
"Baca",1250,0.25,6625504502.63264,2866929327.42134,4861684075.16125,0.432711097891816,0.733783227108134
"Baca",1250,0.5,6625504502.63264,2866929327.42134,5746528162.74333,0.432711097891816,0.867334428715572
"Baca",1250,0.75,6625504502.63264,2866929327.42134,6082962053.85778,0.432711097891816,0.918113035987028
"Baca",1250,1,6625504502.63264,2866929327.42134,6272042406.3331,0.432711097891816,0.946651293322781
"Baca",1250,1.25,6625504502.63264,2866929327.42134,6396738018.32705,0.432711097891816,0.96547183928187
"Baca",1250,1.5,6625504502.63264,2866929327.42134,6478284271.46302,0.432711097891816,0.977779770414295
"Baca",1250,1.75,6625504502.63264,2866929327.42134,6528771992.83704,0.432711097891816,0.985399978257178
"Baca",1250,2,6625504502.63264,2866929327.42134,6562440416.5924,0.432711097891816,0.99048161751076
"Baca",1250,2.25,6625504502.63264,2866929327.42134,6586032810.94269,0.432711097891816,0.994042462475988
"Baca",1250,2.5,6625504502.63264,2866929327.42134,6604529553.39642,0.432711097891816,0.996834211005684
"Baca",1250,2.75,6625504502.63264,2866929327.42134,6616962028.85741,0.432711097891816,0.998710668180538
"Baca",1250,3,6625504502.63264,2866929327.42134,6622695081.95908,0.432711097891816,0.999575968792648
"Baca",1500,0,6625504502.63264,2556105171.84066,2556105171.84066,0.385797816728521,0.385797816728521
"Baca",1500,0.25,6625504502.63264,2556105171.84066,4221165503.84693,0.385797816728521,0.637108540514862
"Baca",1500,0.5,6625504502.63264,2556105171.84066,5297579026.13492,0.385797816728521,0.799573681374744
"Baca",1500,0.75,6625504502.63264,2556105171.84066,5731390408.56377,0.385797816728521,0.86504965867677
"Baca",1500,1,6625504502.63264,2556105171.84066,5966928130.2821,0.385797816728521,0.900599815140288
"Baca",1500,1.25,6625504502.63264,2556105171.84066,6128662499.49428,0.385797816728521,0.92501069119477
"Baca",1500,1.5,6625504502.63264,2556105171.84066,6252850339.52408,0.385797816728521,0.943754598165243
"Baca",1500,1.75,6625504502.63264,2556105171.84066,6352056060.5398,0.385797816728521,0.95872790638295
"Baca",1500,2,6625504502.63264,2556105171.84066,6431201784.1531,0.385797816728521,0.970673521027367
"Baca",1500,2.25,6625504502.63264,2556105171.84066,6483248272.18654,0.385797816728521,0.978528996487803
"Baca",1500,2.5,6625504502.63264,2556105171.84066,6517652423.59383,0.385797816728521,0.983721680515656
"Baca",1500,2.75,6625504502.63264,2556105171.84066,6546317889.24336,0.385797816728521,0.9880482137839
"Baca",1500,3,6625504502.63264,2556105171.84066,6567977251.7488,0.385797816728521,0.991317302575074
"Baca",1750,0,6625504502.63264,2292795790.26598,2292795790.26598,0.346056030805645,0.346056030805645
"Baca",1750,0.25,6625504502.63264,2292795790.26598,3703319941.95819,0.346056030805645,0.558949124626914
"Baca",1750,0.5,6625504502.63264,2292795790.26598,4852467756.14097,0.346056030805645,0.732392190543805
"Baca",1750,0.75,6625504502.63264,2292795790.26598,5388936009.42105,0.346056030805645,0.813362364674231
"Baca",1750,1,6625504502.63264,2292795790.26598,5682784930.48844,0.346056030805645,0.857713541396038
"Baca",1750,1.25,6625504502.63264,2292795790.26598,5881241520.8541,0.346056030805645,0.887666972155432
"Baca",1750,1.5,6625504502.63264,2292795790.26598,6026317859.58796,0.346056030805645,0.909563619976925
"Baca",1750,1.75,6625504502.63264,2292795790.26598,6143901935.34481,0.346056030805645,0.927310808241627
"Baca",1750,2,6625504502.63264,2292795790.26598,6246377065.62285,0.346056030805645,0.942777574619541
"Baca",1750,2.25,6625504502.63264,2292795790.26598,6336408916.31379,0.346056030805645,0.956366253135293
"Baca",1750,2.5,6625504502.63264,2292795790.26598,6410976949.39764,0.346056030805645,0.967620948238771
"Baca",1750,2.75,6625504502.63264,2292795790.26598,6471593000.36434,0.346056030805645,0.976769844136828
"Baca",1750,3,6625504502.63264,2292795790.26598,6518450011.56643,0.346056030805645,0.98384206198582
"Baca",2000,0,6625504502.63264,2065260269.53081,2065260269.53081,0.31171366176118,0.31171366176118
"Baca",2000,0.25,6625504502.63264,2065260269.53081,3292164556.42503,0.31171366176118,0.496892660040739
"Baca",2000,0.5,6625504502.63264,2065260269.53081,4452941374.77503,0.31171366176118,0.672090913681464
"Baca",2000,0.75,6625504502.63264,2065260269.53081,5074313843.63386,0.31171366176118,0.765875842604526
"Baca",2000,1,6625504502.63264,2065260269.53081,5437722802.97898,0.31171366176118,0.820725848245716
"Baca",2000,1.25,6625504502.63264,2065260269.53081,5668952756.05388,0.31171366176118,0.855625824992094
"Baca",2000,1.5,6625504502.63264,2065260269.53081,5838501340.65166,0.31171366176118,0.881216115441736
"Baca",2000,1.75,6625504502.63264,2065260269.53081,5972063033.13955,0.31171366176118,0.901374835798021
"Baca",2000,2,6625504502.63264,2065260269.53081,6090105115.69523,0.31171366176118,0.919191151900256
"Baca",2000,2.25,6625504502.63264,2065260269.53081,6201102496.02146,0.31171366176118,0.935944197692033
"Baca",2000,2.5,6625504502.63264,2065260269.53081,6299894357.27127,0.31171366176118,0.950855041267878
"Baca",2000,2.75,6625504502.63264,2065260269.53081,6381496916.50065,0.31171366176118,0.963171470786106
"Baca",2000,3,6625504502.63264,2065260269.53081,6441551404.65437,0.31171366176118,0.972235608940394
"Baca",2250,0,6625504502.63264,1866159562.30195,1866159562.30195,0.281663013218152,0.281663013218152
"Baca",2250,0.25,6625504502.63264,1866159562.30195,2943974888.27598,0.281663013218152,0.444339730975384
"Baca",2250,0.5,6625504502.63264,1866159562.30195,4068978810.07983,0.281663013218152,0.614138713280328
"Baca",2250,0.75,6625504502.63264,1866159562.30195,4753307630.95044,0.281663013218152,0.717425764190744
"Baca",2250,1,6625504502.63264,1866159562.30195,5181594449.76946,0.281663013218152,0.782067908596327
"Baca",2250,1.25,6625504502.63264,1866159562.30195,5450751785.51783,0.281663013218152,0.82269233736872
"Baca",2250,1.5,6625504502.63264,1866159562.30195,5642436035.60128,0.281663013218152,0.851623605924539
"Baca",2250,1.75,6625504502.63264,1866159562.30195,5794337948.90201,0.281663013218152,0.874550450701472
