"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Bent",250,0,3994333866.74627,3416367130.71443,3416367130.71443,0.855303348364656,0.855303348364656
"Bent",250,0.25,3994333866.74627,3416367130.71443,3957828325.46025,0.855303348364656,0.990860668510979
"Bent",250,0.5,3994333866.74627,3416367130.71443,3981069742.49025,0.855303348364656,0.996679265004249
"Bent",250,0.75,3994333866.74627,3416367130.71443,3992898502.28917,0.855303348364656,0.999640649854272
"Bent",250,1,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,1.25,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,1.5,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,1.75,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,2,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,2.25,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,2.5,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,2.75,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",250,3,3994333866.74627,3416367130.71443,3994333866.74627,0.855303348364656,1
"Bent",500,0,3994333866.74627,2985095926.46129,2985095926.46129,0.74733260314389,0.74733260314389
"Bent",500,0.25,3994333866.74627,2985095926.46129,3946889144.81886,0.74733260314389,0.988121993926849
"Bent",500,0.5,3994333866.74627,2985095926.46129,3976568068.0835,0.74733260314389,0.995552249948189
"Bent",500,0.75,3994333866.74627,2985095926.46129,3990740784.07212,0.74733260314389,0.999100455096139
"Bent",500,1,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,1.25,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,1.5,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,1.75,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,2,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,2.25,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,2.5,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,2.75,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",500,3,3994333866.74627,2985095926.46129,3994333866.74627,0.74733260314389,1
"Bent",750,0,3994333866.74627,2601050622.39361,2601050622.39361,0.651185080958791,0.651185080958791
"Bent",750,0.25,3994333866.74627,2601050622.39361,3912974105.24539,0.651185080958791,0.979631206550304
"Bent",750,0.5,3994333866.74627,2601050622.39361,3968112513.95139,0.651185080958791,0.993435362773959
"Bent",750,0.75,3994333866.74627,2601050622.39361,3987508111.83742,0.651185080958791,0.998291140616543
"Bent",750,1,3994333866.74627,2601050622.39361,3994186438.64262,0.651185080958791,0.999963090690823
"Bent",750,1.25,3994333866.74627,2601050622.39361,3994333866.74627,0.651185080958791,1
"Bent",750,1.5,3994333866.74627,2601050622.39361,3994333866.74627,0.651185080958791,1
"Bent",750,1.75,3994333866.74627,2601050622.39361,3994333866.74627,0.651185080958791,1
"Bent",750,2,3994333866.74627,2601050622.39361,3994333866.74627,0.651185080958791,1
"Bent",750,2.25,3994333866.74627,2601050622.39361,3994333866.74627,0.651185080958791,1
"Bent",750,2.5,3994333866.74627,2601050622.39361,3994333866.74627,0.651185080958791,1
