"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Boulder",250,0,1914748499.05762,1086577253.42363,1086577253.42363,0.567477793537068,0.567477793537068
"Boulder",250,0.25,1914748499.05762,1086577253.42363,1903788286.62023,0.567477793537068,0.994275899710699
"Boulder",250,0.5,1914748499.05762,1086577253.42363,1914649105.72203,0.567477793537068,0.999948090657526
"Boulder",250,0.75,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,1,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,1.25,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,1.5,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,1.75,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,2,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,2.25,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,2.5,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,2.75,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",250,3,1914748499.05762,1086577253.42363,1914748499.05762,0.567477793537068,1
"Boulder",500,0,1914748499.05762,619635970.770898,619635970.770898,0.323612198195149,0.323612198195149
"Boulder",500,0.25,1914748499.05762,619635970.770898,1799439577.81336,0.323612198195149,0.939778555094306
"Boulder",500,0.5,1914748499.05762,619635970.770898,1882855185.34693,0.323612198195149,0.983343340534599
"Boulder",500,0.75,1914748499.05762,619635970.770898,1905919045.08367,0.323612198195149,0.995388713463778
"Boulder",500,1,1914748499.05762,619635970.770898,1913158744.36411,0.323612198195149,0.99916973185027
"Boulder",500,1.25,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,1.5,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,1.75,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,2,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,2.25,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,2.5,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,2.75,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",500,3,1914748499.05762,619635970.770898,1914748499.05762,0.323612198195149,1
"Boulder",750,0,1914748499.05762,355712650.526266,355712650.526266,0.185775129580379,0.185775129580379
"Boulder",750,0.25,1914748499.05762,355712650.526266,1482803829.34522,0.185775129580379,0.774411798768875
