"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Chaffee",250,0,2630624341.7403,1729574437.64712,1729574437.64712,0.657476786101248,0.657476786101248
"Chaffee",250,0.25,2630624341.7403,1729574437.64712,2629871089.94344,0.657476786101248,0.999713660447483
"Chaffee",250,0.5,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,0.75,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,1,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,1.25,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,1.5,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,1.75,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,2,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,2.25,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,2.5,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,2.75,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",250,3,2630624341.7403,1729574437.64712,2630624341.7403,0.657476786101248,1
"Chaffee",500,0,2630624341.7403,1153543195.83857,1153543195.83857,0.438505482343191,0.438505482343191
"Chaffee",500,0.25,2630624341.7403,1153543195.83857,2553731968.504,0.438505482343191,0.970770295090696
"Chaffee",500,0.5,2630624341.7403,1153543195.83857,2623631207.46021,0.438505482343191,0.997341644654797
"Chaffee",500,0.75,2630624341.7403,1153543195.83857,2630103466.37927,0.438505482343191,0.999801995536661
"Chaffee",500,1,2630624341.7403,1153543195.83857,2630624341.7403,0.438505482343191,1
"Chaffee",500,1.25,2630624341.7403,1153543195.83857,2630624341.7403,0.438505482343191,1
