"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Cheyenne",250,0,4598092384.18629,4096889073.51312,4096889073.51312,0.890997555334708,0.890997555334708
"Cheyenne",250,0.25,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,0.5,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,0.75,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,1,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,1.25,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,1.5,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,1.75,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,2,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,2.25,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,2.5,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,2.75,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",250,3,4598092384.18629,4096889073.51312,4598092384.18629,0.890997555334708,1
"Cheyenne",500,0,4598092384.18629,3644141328.82254,3644141328.82254,0.792533299538616,0.792533299538616
"Cheyenne",500,0.25,4598092384.18629,3644141328.82254,4597975145.33409,0.792533299538616,0.9999745027193
"Cheyenne",500,0.5,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,0.75,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,1,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,1.25,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,1.5,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,1.75,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,2,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,2.25,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,2.5,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
"Cheyenne",500,2.75,4598092384.18629,3644141328.82254,4598092384.18629,0.792533299538616,1
