"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Clear Creek",250,0,1022808782.80098,728985285.983976,728985285.983976,0.712728809374945,0.712728809374945
"Clear Creek",250,0.25,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,0.5,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,0.75,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,1,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,1.25,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,1.5,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,1.75,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,2,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,2.25,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,2.5,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,2.75,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",250,3,1022808782.80098,728985285.983976,1022808782.80098,0.712728809374945,1
"Clear Creek",500,0,1022808782.80098,517758319.474869,517758319.474869,0.506212234565469,0.506212234565469
"Clear Creek",500,0.25,1022808782.80098,517758319.474869,1016668597.71024,0.506212234565469,0.993996741918935
"Clear Creek",500,0.5,1022808782.80098,517758319.474869,1022703973.04839,0.506212234565469,0.999897527519957
"Clear Creek",500,0.75,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,1,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,1.25,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,1.5,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,1.75,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,2,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,2.25,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,2.5,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,2.75,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",500,3,1022808782.80098,517758319.474869,1022808782.80098,0.506212234565469,1
"Clear Creek",750,0,1022808782.80098,367277710.871579,367277710.871579,0.359087365153225,0.359087365153225
"Clear Creek",750,0.25,1022808782.80098,367277710.871579,951438940.411381,0.359087365153225,0.93022171534923
"Clear Creek",750,0.5,1022808782.80098,367277710.871579,1018535802.39929,0.359087365153225,0.995822307675164
"Clear Creek",750,0.75,1022808782.80098,367277710.871579,1022792807.47001,0.359087365153225,0.999984380921208
"Clear Creek",750,1,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,1.25,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,1.5,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,1.75,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,2,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,2.25,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,2.5,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,2.75,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",750,3,1022808782.80098,367277710.871579,1022808782.80098,0.359087365153225,1
"Clear Creek",1000,0,1022808782.80098,259637186.464189,259637186.464189,0.253847239904579,0.253847239904579
"Clear Creek",1000,0.25,1022808782.80098,259637186.464189,787670476.52004,0.253847239904579,0.770105311730893
"Clear Creek",1000,0.5,1022808782.80098,259637186.464189,972669651.52242,0.253847239904579,0.950978978552326
"Clear Creek",1000,0.75,1022808782.80098,259637186.464189,1012214468.05565,0.253847239904579,0.989641939995556
"Clear Creek",1000,1,1022808782.80098,259637186.464189,1020206454.71947,0.253847239904579,0.997455704208582
"Clear Creek",1000,1.25,1022808782.80098,259637186.464189,1022638700.21464,0.253847239904579,0.999833710279775
