"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Conejos",250,0,3343327434.80075,2379805126.68368,2379805126.68368,0.71180737546441,0.71180737546441
"Conejos",250,0.25,3343327434.80075,2379805126.68368,3342656503.71663,0.71180737546441,0.999799322352596
"Conejos",250,0.5,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,0.75,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,1,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,1.25,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,1.5,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,1.75,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,2,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,2.25,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,2.5,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,2.75,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",250,3,3343327434.80075,2379805126.68368,3343327434.80075,0.71180737546441,1
"Conejos",500,0,3343327434.80075,1668150451.39089,1668150451.39089,0.498949170825173,0.498949170825173
"Conejos",500,0.25,3343327434.80075,1668150451.39089,3325682565.68684,0.498949170825173,0.994722362838217
"Conejos",500,0.5,3343327434.80075,1668150451.39089,3343027674.3349,0.498949170825173,0.999910340679547
"Conejos",500,0.75,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,1,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,1.25,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,1.5,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,1.75,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,2,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,2.25,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,2.5,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,2.75,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",500,3,3343327434.80075,1668150451.39089,3343327434.80075,0.498949170825173,1
"Conejos",750,0,3343327434.80075,1160130952.34438,1160130952.34438,0.346998903029526,0.346998903029526
"Conejos",750,0.25,3343327434.80075,1160130952.34438,3102817211.64014,0.346998903029526,0.928062617900616
"Conejos",750,0.5,3343327434.80075,1160130952.34438,3312841834.38389,0.346998903029526,0.990881658763201
"Conejos",750,0.75,3343327434.80075,1160130952.34438,3336900600.99597,0.346998903029526,0.998077713317014
"Conejos",750,1,3343327434.80075,1160130952.34438,3342357674.86786,0.346998903029526,0.99970994168181
"Conejos",750,1.25,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,1.5,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,1.75,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,2,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,2.25,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,2.5,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,2.75,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",750,3,3343327434.80075,1160130952.34438,3343327434.80075,0.346998903029526,1
"Conejos",1000,0,3343327434.80075,804150300.549855,804150300.549855,0.240523943954589,0.240523943954589
"Conejos",1000,0.25,3343327434.80075,804150300.549855,2573181930.01687,0.240523943954589,0.769646999941608
"Conejos",1000,0.5,3343327434.80075,804150300.549855,3149354361.08824,0.240523943954589,0.941982029132581
"Conejos",1000,0.75,3343327434.80075,804150300.549855,3286968446.40715,0.240523943954589,0.983142845116827
"Conejos",1000,1,3343327434.80075,804150300.549855,3322460954.30205,0.240523943954589,0.993758768500654
"Conejos",1000,1.25,3343327434.80075,804150300.549855,3335202763.523,0.240523943954589,0.997569884662454
"Conejos",1000,1.5,3343327434.80075,804150300.549855,3340744070.69795,0.240523943954589,0.999227307479395
"Conejos",1000,1.75,3343327434.80075,804150300.549855,3342770860.31204,0.240523943954589,0.999833526778468
"Conejos",1000,2,3343327434.80075,804150300.549855,3343327434.80075,0.240523943954589,1
"Conejos",1000,2.25,3343327434.80075,804150300.549855,3343327434.80075,0.240523943954589,1
"Conejos",1000,2.5,3343327434.80075,804150300.549855,3343327434.80075,0.240523943954589,1
"Conejos",1000,2.75,3343327434.80075,804150300.549855,3343327434.80075,0.240523943954589,1
"Conejos",1000,3,3343327434.80075,804150300.549855,3343327434.80075,0.240523943954589,1
"Conejos",1250,0,3343327434.80075,554402061.771207,554402061.771207,0.165823441640931,0.165823441640931
"Conejos",1250,0.25,3343327434.80075,554402061.771207,1973687443.47982,0.165823441640931,0.590336268872642
"Conejos",1250,0.5,3343327434.80075,554402061.771207,2804785667.91164,0.165823441640931,0.838920423622459
"Conejos",1250,0.75,3343327434.80075,554402061.771207,3145132960.68677,0.165823441640931,0.940719394681188
"Conejos",1250,1,3343327434.80075,554402061.771207,3275403070.3204,0.165823441640931,0.979683603893136
"Conejos",1250,1.25,3343327434.80075,554402061.771207,3321738163.53013,0.165823441640931,0.993542579453661
"Conejos",1250,1.5,3343327434.80075,554402061.771207,3335958499.22467,0.165823441640931,0.997795927644006
"Conejos",1250,1.75,3343327434.80075,554402061.771207,3340658578.93963,0.165823441640931,0.99920173661923
"Conejos",1250,2,3343327434.80075,554402061.771207,3342724014.8124,0.165823441640931,0.9998195151387
"Conejos",1250,2.25,3343327434.80075,554402061.771207,3343320964.26897,0.165823441640931,0.999998064643111
"Conejos",1250,2.5,3343327434.80075,554402061.771207,3343327434.80075,0.165823441640931,1
"Conejos",1250,2.75,3343327434.80075,554402061.771207,3343327434.80075,0.165823441640931,1
"Conejos",1250,3,3343327434.80075,554402061.771207,3343327434.80075,0.165823441640931,1
"Conejos",1500,0,3343327434.80075,387096511.949664,387096511.949664,0.115781813028652,0.115781813028652
"Conejos",1500,0.25,3343327434.80075,387096511.949664,1361928015.16037,0.115781813028652,0.407357054228085
"Conejos",1500,0.5,3343327434.80075,387096511.949664,2284199157.22777,0.115781813028652,0.683211322185048
"Conejos",1500,0.75,3343327434.80075,387096511.949664,2789793627.61584,0.115781813028652,0.83443625610128
"Conejos",1500,1,3343327434.80075,387096511.949664,3061639450.38074,0.115781813028652,0.915746216931098
