"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Costilla",250,0,3183581058.41213,2433204155.61358,2433204155.61358,0.764297849173404,0.764297849173404
"Costilla",250,0.25,3183581058.41213,2433204155.61358,3177126560.93348,0.764297849173404,0.997972566942627
"Costilla",250,0.5,3183581058.41213,2433204155.61358,3182906954.84426,0.764297849173404,0.999788256194675
"Costilla",250,0.75,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,1,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,1.25,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,1.5,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,1.75,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,2,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,2.25,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,2.5,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,2.75,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",250,3,3183581058.41213,2433204155.61358,3183581058.41213,0.764297849173404,1
"Costilla",500,0,3183581058.41213,1807996597.51752,1807996597.51752,0.567912851705209,0.567912851705209
"Costilla",500,0.25,3183581058.41213,1807996597.51752,3171947542.75587,0.567912851705209,0.996345776833443
"Costilla",500,0.5,3183581058.41213,1807996597.51752,3182435464.06086,0.567912851705209,0.999640155431808
"Costilla",500,0.75,3183581058.41213,1807996597.51752,3183568523.35204,0.567912851705209,0.999996062591195
"Costilla",500,1,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,1.25,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,1.5,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,1.75,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,2,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,2.25,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,2.5,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,2.75,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",500,3,3183581058.41213,1807996597.51752,3183581058.41213,0.567912851705209,1
"Costilla",750,0,3183581058.41213,1309694398.73796,1309694398.73796,0.41139031006523,0.41139031006523
"Costilla",750,0.25,3183581058.41213,1309694398.73796,3073148028.5316,0.41139031006523,0.965311695271986
"Costilla",750,0.5,3183581058.41213,1309694398.73796,3175253249.77049,0.41139031006523,0.997384138022923
"Costilla",750,0.75,3183581058.41213,1309694398.73796,3182546549.37658,0.41139031006523,0.999675048627137
"Costilla",750,1,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,1.25,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,1.5,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,1.75,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,2,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,2.25,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,2.5,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,2.75,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",750,3,3183581058.41213,1309694398.73796,3183581058.41213,0.41139031006523,1
"Costilla",1000,0,3183581058.41213,937511491.294433,937511491.294433,0.294483311118214,0.294483311118214
"Costilla",1000,0.25,3183581058.41213,937511491.294433,2699260671.3025,0.294483311118214,0.847869308736498
"Costilla",1000,0.5,3183581058.41213,937511491.294433,3107953773.32037,0.294483311118214,0.976244586299468
"Costilla",1000,0.75,3183581058.41213,937511491.294433,3169167555.52662,0.294483311118214,0.995472550369833
"Costilla",1000,1,3183581058.41213,937511491.294433,3181532204.846,0.294483311118214,0.99935643116084
"Costilla",1000,1.25,3183581058.41213,937511491.294433,3183500293.45867,0.294483311118214,0.999974630784648
"Costilla",1000,1.5,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1000,1.75,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1000,2,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1000,2.25,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1000,2.5,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1000,2.75,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1000,3,3183581058.41213,937511491.294433,3183581058.41213,0.294483311118214,1
"Costilla",1250,0,3183581058.41213,674735333.07749,674735333.07749,0.211942250157131,0.211942250157131
"Costilla",1250,0.25,3183581058.41213,674735333.07749,2120217665.19103,0.211942250157131,0.665985136325859
"Costilla",1250,0.5,3183581058.41213,674735333.07749,2868300386.65406,0.211942250157131,0.900966657995093
"Costilla",1250,0.75,3183581058.41213,674735333.07749,3090861201.5574,0.211942250157131,0.970875609838883
"Costilla",1250,1,3183581058.41213,674735333.07749,3164558246.58709,0.211942250157131,0.994024712587489
"Costilla",1250,1.25,3183581058.41213,674735333.07749,3181348114.62257,0.211942250157131,0.99929860627118
"Costilla",1250,1.5,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1250,1.75,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1250,2,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1250,2.25,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1250,2.5,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1250,2.75,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1250,3,3183581058.41213,674735333.07749,3183581058.41213,0.211942250157131,1
"Costilla",1500,0,3183581058.41213,498988245.97155,498988245.97155,0.156738037077162,0.156738037077162
"Costilla",1500,0.25,3183581058.41213,498988245.97155,1508711629.50627,0.156738037077162,0.473903947103758
"Costilla",1500,0.5,3183581058.41213,498988245.97155,2378332819.79828,0.156738037077162,0.747062121604818
"Costilla",1500,0.75,3183581058.41213,498988245.97155,2789494057.07871,0.156738037077162,0.876212669285706
"Costilla",1500,1,3183581058.41213,498988245.97155,2992667545.91963,0.156738037077162,0.94003183553689
"Costilla",1500,1.25,3183581058.41213,498988245.97155,3094519016.57309,0.156738037077162,0.972024572264711
"Costilla",1500,1.5,3183581058.41213,498988245.97155,3143317492.31847,0.156738037077162,0.987352743544168
"Costilla",1500,1.75,3183581058.41213,498988245.97155,3164667535.95532,0.156738037077162,0.994059041654732
"Costilla",1500,2,3183581058.41213,498988245.97155,3177089659.97371,0.156738037077162,0.997960975920099
"Costilla",1500,2.25,3183581058.41213,498988245.97155,3183289763.69519,0.156738037077162,0.999908500926597
"Costilla",1500,2.5,3183581058.41213,498988245.97155,3183581058.41213,0.156738037077162,1
"Costilla",1500,2.75,3183581058.41213,498988245.97155,3183581058.41213,0.156738037077162,1
"Costilla",1500,3,3183581058.41213,498988245.97155,3183581058.41213,0.156738037077162,1
"Costilla",1750,0,3183581058.41213,381999029.048084,381999029.048084,0.11999035741173,0.11999035741173
"Costilla",1750,0.25,3183581058.41213,381999029.048084,1063053546.85516,0.11999035741173,0.333917537311073
"Costilla",1750,0.5,3183581058.41213,381999029.048084,1818472911.64031,0.11999035741173,0.571203584352051
"Costilla",1750,0.75,3183581058.41213,381999029.048084,2303671065.59895,0.11999035741173,0.723609992436615
"Costilla",1750,1,3183581058.41213,381999029.048084,2594469184.15625,0.11999035741173,0.814953078483978
"Costilla",1750,1.25,3183581058.41213,381999029.048084,2772799169.05209,0.11999035741173,0.870968609932325
"Costilla",1750,1.5,3183581058.41213,381999029.048084,2894928739.48467,0.11999035741173,0.909330934682897
"Costilla",1750,1.75,3183581058.41213,381999029.048084,2987279263.05915,0.11999035741173,0.938339312946253
"Costilla",1750,2,3183581058.41213,381999029.048084,3054521313.85832,0.11999035741173,0.959460826601919
"Costilla",1750,2.25,3183581058.41213,381999029.048084,3103249039.93154,0.11999035741173,0.974766774582878
"Costilla",1750,2.5,3183581058.41213,381999029.048084,3139566851.31367,0.11999035741173,0.986174623390802
"Costilla",1750,2.75,3183581058.41213,381999029.048084,3162551593.90271,0.11999035741173,0.993394399538262
"Costilla",1750,3,3183581058.41213,381999029.048084,3172660445.71319,0.11999035741173,0.996569707980237
"Costilla",2000,0,3183581058.41213,301997950.776625,301997950.776625,0.0948610841802318,0.0948610841802318
"Costilla",2000,0.25,3183581058.41213,301997950.776625,776500399.504925,0.0948610841802318,0.243907846308213
"Costilla",2000,0.5,3183581058.41213,301997950.776625,1378342295.3735,0.0948610841802318,0.432953416320729
"Costilla",2000,0.75,3183581058.41213,301997950.776625,1840410036.99119,0.0948610841802318,0.578094291687087
"Costilla",2000,1,3183581058.41213,301997950.776625,2169730714.42926,0.0948610841802318,0.681537763486835
"Costilla",2000,1.25,3183581058.41213,301997950.776625,2390698420.78313,0.0948610841802318,0.750946301325066
"Costilla",2000,1.5,3183581058.41213,301997950.776625,2541972540.92851,0.0948610841802318,0.798463269597527
"Costilla",2000,1.75,3183581058.41213,301997950.776625,2655985219.37013,0.0948610841802318,0.834275983754864
"Costilla",2000,2,3183581058.41213,301997950.776625,2753569459.0982,0.0948610841802318,0.864928333400622
"Costilla",2000,2.25,3183581058.41213,301997950.776625,2842648385.09076,0.0948610841802318,0.892909064645769
"Costilla",2000,2.5,3183581058.41213,301997950.776625,2919758945.85442,0.0948610841802318,0.917130392561984
"Costilla",2000,2.75,3183581058.41213,301997950.776625,2985085843.66459,0.0948610841802318,0.937650334291614
"Costilla",2000,3,3183581058.41213,301997950.776625,3035618544.89425,0.0948610841802318,0.95352324605434
"Costilla",2250,0,3183581058.41213,244282657.324927,244282657.324927,0.0767320362958711,0.0767320362958711
"Costilla",2250,0.25,3183581058.41213,244282657.324927,583237650.782285,0.0767320362958711,0.183201759302207
"Costilla",2250,0.5,3183581058.41213,244282657.324927,1034276611.12938,0.0767320362958711,0.324878365636854
"Costilla",2250,0.75,3183581058.41213,244282657.324927,1419937321.10595,0.0767320362958711,0.446018899802781
"Costilla",2250,1,3183581058.41213,244282657.324927,1735799846.33536,0.0767320362958711,0.545235008780056
"Costilla",2250,1.25,3183581058.41213,244282657.324927,2004186059.39801,0.0767320362958711,0.629538253503001
"Costilla",2250,1.5,3183581058.41213,244282657.324927,2216960734.44288,0.0767320362958711,0.69637326449876
"Costilla",2250,1.75,3183581058.41213,244282657.324927,2375253972.86451,0.0767320362958711,0.746095019816836
"Costilla",2250,2,3183581058.41213,244282657.324927,2499481074.46164,0.0767320362958711,0.785116203608871
"Costilla",2250,2.25,3183581058.41213,244282657.324927,2607001335.21898,0.0767320362958711,0.818889573529272
"Costilla",2250,2.5,3183581058.41213,244282657.324927,2707044566.93196,0.0767320362958711,0.850314321282634
"Costilla",2250,2.75,3183581058.41213,244282657.324927,2797569073.40009,0.0767320362958711,0.878749126241951
"Costilla",2250,3,3183581058.41213,244282657.324927,2879198941.04559,0.0767320362958711,0.90439002124282
"Costilla",2500,0,3183581058.41213,201815415.315885,201815415.315885,0.0633925794923984,0.0633925794923984
"Costilla",2500,0.25,3183581058.41213,201815415.315885,452675259.702462,0.0633925794923984,0.142190587076882
"Costilla",2500,0.5,3183581058.41213,201815415.315885,800276490.879561,0.0633925794923984,0.25137619435351
"Costilla",2500,0.75,3183581058.41213,201815415.315885,1127263511.55778,0.0633925794923984,0.354086637303976
"Costilla",2500,1,3183581058.41213,201815415.315885,1415254425.06657,0.0633925794923984,0.444547947452751
"Costilla",2500,1.25,3183581058.41213,201815415.315885,1675457214.78145,0.0633925794923984,0.526280683306085
"Costilla",2500,1.5,3183581058.41213,201815415.315885,1905625972.28564,0.0633925794923984,0.598579378794301
"Costilla",2500,1.75,3183581058.41213,201815415.315885,2100752446.59453,0.0633925794923984,0.659870883778381
"Costilla",2500,2,3183581058.41213,201815415.315885,2260143128.82299,0.0633925794923984,0.709937359016163
"Costilla",2500,2.25,3183581058.41213,201815415.315885,2396476834.76381,0.0633925794923984,0.752761368657941
"Costilla",2500,2.5,3183581058.41213,201815415.315885,2518950348.40395,0.0633925794923984,0.791231729987839
"Costilla",2500,2.75,3183581058.41213,201815415.315885,2632883703.08995,0.0633925794923984,0.8270195276269
"Costilla",2500,3,3183581058.41213,201815415.315885,2736270543.57454,0.0633925794923984,0.859494541954368
"Costilla",2750,0,3183581058.41213,169592601.792868,169592601.792868,0.0532710173484496,0.0532710173484496
"Costilla",2750,0.25,3183581058.41213,169592601.792868,358787770.120962,0.0532710173484496,0.112699429836385
"Costilla",2750,0.5,3183581058.41213,169592601.792868,621107604.012546,0.0532710173484496,0.195097153996241
"Costilla",2750,0.75,3183581058.41213,169592601.792868,889682383.704607,0.0532710173484496,0.279459629700257
"Costilla",2750,1,3183581058.41213,169592601.792868,1135591888.41372,0.0532710173484496,0.3567026777638
"Costilla",2750,1.25,3183581058.41213,169592601.792868,1360970059.47533,0.0532710173484496,0.427496594088337
"Costilla",2750,1.5,3183581058.41213,169592601.792868,1563649239.47883,0.0532710173484496,0.491160492159331
"Costilla",2750,1.75,3183581058.41213,169592601.792868,1747971301.44317,0.0532710173484496,0.549058205012377
"Costilla",2750,2,3183581058.41213,169592601.792868,1905546325.24428,0.0532710173484496,0.5985543607282
"Costilla",2750,2.25,3183581058.41213,169592601.792868,2041820353.61654,0.0532710173484496,0.641359624948559
"Costilla",2750,2.5,3183581058.41213,169592601.792868,2165326762.33686,0.0532710173484496,0.680154430689084
"Costilla",2750,2.75,3183581058.41213,169592601.792868,2284081572.72024,0.0532710173484496,0.717456703885362
"Costilla",2750,3,3183581058.41213,169592601.792868,2397713602.11079,0.0532710173484496,0.753149851729137
"Costilla",3000,0,3183581058.41213,144945089.905933,144945089.905933,0.0455289459405903,0.0455289459405903
"Costilla",3000,0.25,3183581058.41213,144945089.905933,292275184.637942,0.0455289459405903,0.0918070497578973
"Costilla",3000,0.5,3183581058.41213,144945089.905933,500544620.541297,0.0455289459405903,0.157226912510578
"Costilla",3000,0.75,3183581058.41213,144945089.905933,731650997.587614,0.0455289459405903,0.22982012524994
"Costilla",3000,1,3183581058.41213,144945089.905933,940910336.220536,0.0455289459405903,0.295550928013698
"Costilla",3000,1.25,3183581058.41213,144945089.905933,1130895269.47791,0.0455289459405903,0.355227414891695
"Costilla",3000,1.5,3183581058.41213,144945089.905933,1307751063.82973,0.0455289459405903,0.410779885869152
"Costilla",3000,1.75,3183581058.41213,144945089.905933,1472059336.62313,0.0455289459405903,0.462391033749066
"Costilla",3000,2,3183581058.41213,144945089.905933,1626935755.98331,0.0455289459405903,0.511039526285776
"Costilla",3000,2.25,3183581058.41213,144945089.905933,1768408327.60115,0.0455289459405903,0.555477713667253
"Costilla",3000,2.5,3183581058.41213,144945089.905933,1896261045.35683,0.0455289459405903,0.59563774584795
"Costilla",3000,2.75,3183581058.41213,144945089.905933,2018347383.0919,0.0455289459405903,0.633986490703203
"Costilla",3000,3,3183581058.41213,144945089.905933,2134759465.15141,0.0455289459405903,0.670552885565966
"Costilla",3250,0,3183581058.41213,125636082.265423,125636082.265423,0.0394637610791937,0.0394637610791937
"Costilla",3250,0.25,3183581058.41213,125636082.265423,238572121.139944,0.0394637610791937,0.0749382901715517
"Costilla",3250,0.5,3183581058.41213,125636082.265423,390542753.59331,0.0394637610791937,0.122674041096381
"Costilla",3250,0.75,3183581058.41213,125636082.265423,563225284.534027,0.0394637610791937,0.176915641285712
"Costilla",3250,1,3183581058.41213,125636082.265423,720566734.068764,0.0394637610791937,0.226338428595928
"Costilla",3250,1.25,3183581058.41213,125636082.265423,861825157.528447,0.0394637610791937,0.270709349539319
"Costilla",3250,1.5,3183581058.41213,125636082.265423,989848235.409442,0.0394637610791937,0.310922893825467
"Costilla",3250,1.75,3183581058.41213,125636082.265423,1115396080.89027,0.0394637610791937,0.350358938699867
"Costilla",3250,2,3183581058.41213,125636082.265423,1235101724.04055,0.0394637610791937,0.387959879575543
"Costilla",3250,2.25,3183581058.41213,125636082.265423,1348268953.69888,0.0394637610791937,0.42350702839379
"Costilla",3250,2.5,3183581058.41213,125636082.265423,1452878207.9362,0.0394637610791937,0.456366017160828
"Costilla",3250,2.75,3183581058.41213,125636082.265423,1549631950.8223,0.0394637610791937,0.486757498046934
"Costilla",3250,3,3183581058.41213,125636082.265423,1644100662.47743,0.0394637610791937,0.516431223930406
"Costilla",3500,0,3183581058.41213,109669289.842369,109669289.842369,0.0344484050602652,0.0344484050602652
"Costilla",3500,0.25,3183581058.41213,109669289.842369,202588741.495764,0.0344484050602652,0.0636354902792419
"Costilla",3500,0.5,3183581058.41213,109669289.842369,325032029.68137,0.0344484050602652,0.102096357440789
"Costilla",3500,0.75,3183581058.41213,109669289.842369,466747090.110367,0.0344484050602652,0.146610713390526
"Costilla",3500,1,3183581058.41213,109669289.842369,600767247.815778,0.0344484050602652,0.188708010505447
"Costilla",3500,1.25,3183581058.41213,109669289.842369,726904954.051119,0.0344484050602652,0.228329337533399
"Costilla",3500,1.5,3183581058.41213,109669289.842369,846688989.931003,0.0344484050602652,0.265954902481203
"Costilla",3500,1.75,3183581058.41213,109669289.842369,966498260.453081,0.0344484050602652,0.303588393924903
"Costilla",3500,2,3183581058.41213,109669289.842369,1085374416.96766,0.0344484050602652,0.340928783358514
"Costilla",3500,2.25,3183581058.41213,109669289.842369,1198895140.47715,0.0344484050602652,0.376586968724811
"Costilla",3500,2.5,3183581058.41213,109669289.842369,1306475048.97727,0.0344484050602652,0.410379074698007
"Costilla",3500,2.75,3183581058.41213,109669289.842369,1404925775.02105,0.0344484050602652,0.44130359781754
"Costilla",3500,3,3183581058.41213,109669289.842369,1500355325.66384,0.0344484050602652,0.471279134451243
