"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Crowley",250,0,2069359642.61449,1823243688.77194,1823243688.77194,0.88106661173135,0.88106661173135
"Crowley",250,0.25,2069359642.61449,1823243688.77194,2052302490.47421,0.88106661173135,0.991757279987001
"Crowley",250,0.5,2069359642.61449,1823243688.77194,2063080787.80626,0.88106661173135,0.996965798173054
"Crowley",250,0.75,2069359642.61449,1823243688.77194,2068693153.52941,0.88106661173135,0.999677924962219
"Crowley",250,1,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,1.25,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,1.5,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,1.75,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,2,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,2.25,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,2.5,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,2.75,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",250,3,2069359642.61449,1823243688.77194,2069359642.61449,0.88106661173135,1
"Crowley",500,0,2069359642.61449,1632684880.67518,1632684880.67518,0.788980729619527,0.788980729619527
"Crowley",500,0.25,2069359642.61449,1632684880.67518,2048985758.46803,0.788980729619527,0.990154498170885
"Crowley",500,0.5,2069359642.61449,1632684880.67518,2060397164.14118,0.788980729619527,0.995668960441319
"Crowley",500,0.75,2069359642.61449,1632684880.67518,2067858962.39279,0.788980729619527,0.999274809370595
"Crowley",500,1,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,1.25,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,1.5,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,1.75,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,2,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,2.25,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,2.5,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,2.75,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",500,3,2069359642.61449,1632684880.67518,2069359642.61449,0.788980729619527,1
"Crowley",750,0,2069359642.61449,1462628450.57517,1462628450.57517,0.706802442869354,0.706802442869354
"Crowley",750,0.25,2069359642.61449,1462628450.57517,2040172035.66038,0.706802442869354,0.985895343490305
"Crowley",750,0.5,2069359642.61449,1462628450.57517,2058264529.58724,0.706802442869354,0.994638383392253
"Crowley",750,0.75,2069359642.61449,1462628450.57517,2066804017.6392,0.706802442869354,0.998765016518802
"Crowley",750,1,2069359642.61449,1462628450.57517,2069350699.65919,0.706802442869354,0.999995678394846
"Crowley",750,1.25,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,1.5,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,1.75,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,2,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,2.25,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,2.5,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,2.75,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",750,3,2069359642.61449,1462628450.57517,2069359642.61449,0.706802442869354,1
"Crowley",1000,0,2069359642.61449,1313180027.31081,1313180027.31081,0.634582795696016,0.634582795696016
