"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Custer",250,0,1917604205.63048,1270101822.41005,1270101822.41005,0.662337837328878,0.662337837328878
"Custer",250,0.25,1917604205.63048,1270101822.41005,1917604123.37151,0.662337837328878,0.999999957103256
"Custer",250,0.5,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,0.75,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,1,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,1.25,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,1.5,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,1.75,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,2,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,2.25,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,2.5,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,2.75,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",250,3,1917604205.63048,1270101822.41005,1917604205.63048,0.662337837328878,1
"Custer",500,0,1917604205.63048,824158371.588873,824158371.588873,0.429785442256006,0.429785442256006
"Custer",500,0.25,1917604205.63048,824158371.588873,1896486496.87032,0.429785442256006,0.988987451791066
"Custer",500,0.5,1917604205.63048,824158371.588873,1917574025.60288,0.429785442256006,0.999984261597093
"Custer",500,0.75,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,1,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,1.25,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,1.5,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,1.75,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,2,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,2.25,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,2.5,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,2.75,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",500,3,1917604205.63048,824158371.588873,1917604205.63048,0.429785442256006,1
"Custer",750,0,1917604205.63048,545628134.535855,545628134.535855,0.28453636727213,0.28453636727213
"Custer",750,0.25,1917604205.63048,545628134.535855,1620608585.6117,0.28453636727213,0.845121522394067
"Custer",750,0.5,1917604205.63048,545628134.535855,1855804790.44315,0.28453636727213,0.96777259092055
"Custer",750,0.75,1917604205.63048,545628134.535855,1912672194.77544,0.28453636727213,0.997428035023828
"Custer",750,1,1917604205.63048,545628134.535855,1917330097.08605,0.28453636727213,0.999857056767174
"Custer",750,1.25,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,1.5,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,1.75,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,2,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,2.25,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,2.5,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,2.75,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",750,3,1917604205.63048,545628134.535855,1917604205.63048,0.28453636727213,1
"Custer",1000,0,1917604205.63048,361981993.225408,361981993.225408,0.188767834448086,0.188767834448086
"Custer",1000,0.25,1917604205.63048,361981993.225408,1257983641.7847,0.188767834448086,0.656018399464814
"Custer",1000,0.5,1917604205.63048,361981993.225408,1591693168.04772,0.188767834448086,0.830042593447691
"Custer",1000,0.75,1917604205.63048,361981993.225408,1737288370.1891,0.188767834448086,0.90596816855536
"Custer",1000,1,1917604205.63048,361981993.225408,1815965147.008,0.188767834448086,0.946996852466194
