"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Delta",250,0,2978550452.18719,2082560432.69028,2082560432.69028,0.699185884583901,0.699185884583901
"Delta",250,0.25,2978550452.18719,2082560432.69028,2978199226.96614,0.699185884583901,0.999882081829167
"Delta",250,0.5,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,0.75,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,1,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,1.25,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,1.5,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,1.75,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,2,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,2.25,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,2.5,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,2.75,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",250,3,2978550452.18719,2082560432.69028,2978550452.18719,0.699185884583901,1
"Delta",500,0,2978550452.18719,1403465627.18526,1403465627.18526,0.471190819062566,0.471190819062566
"Delta",500,0.25,2978550452.18719,1403465627.18526,2974147772.62572,0.471190819062566,0.998521871751999
"Delta",500,0.5,2978550452.18719,1403465627.18526,2978550452.18719,0.471190819062566,1
"Delta",500,0.75,2978550452.18719,1403465627.18526,2978550452.18719,0.471190819062566,1
"Delta",500,1,2978550452.18719,1403465627.18526,2978550452.18719,0.471190819062566,1
"Delta",500,1.25,2978550452.18719,1403465627.18526,2978550452.18719,0.471190819062566,1
"Delta",500,1.5,2978550452.18719,1403465627.18526,2978550452.18719,0.471190819062566,1
"Delta",500,1.75,2978550452.18719,1403465627.18526,2978550452.18719,0.471190819062566,1
