"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Douglas",250,0,2184933473.73213,1006362210.12198,1006362210.12198,0.460591694081646,0.460591694081646
"Douglas",250,0.25,2184933473.73213,1006362210.12198,2169388914.81772,0.460591694081646,0.992885568782167
"Douglas",250,0.5,2184933473.73213,1006362210.12198,2182959085.82022,0.460591694081646,0.999096362458791
"Douglas",250,0.75,2184933473.73213,1006362210.12198,2184837045.98266,0.460591694081646,0.999955866963166
"Douglas",250,1,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,1.25,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,1.5,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,1.75,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,2,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,2.25,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,2.5,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,2.75,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",250,3,2184933473.73213,1006362210.12198,2184933473.73213,0.460591694081646,1
"Douglas",500,0,2184933473.73213,483224325.655014,483224325.655014,0.221162031459753,0.221162031459753
"Douglas",500,0.25,2184933473.73213,483224325.655014,1860560362.98561,0.221162031459753,0.851540966969373
"Douglas",500,0.5,2184933473.73213,483224325.655014,2117650305.73571,0.221162031459753,0.969205850518873
"Douglas",500,0.75,2184933473.73213,483224325.655014,2171774797.16539,0.221162031459753,0.993977539030392
"Douglas",500,1,2184933473.73213,483224325.655014,2183160206.16791,0.221162031459753,0.999188411187095
"Douglas",500,1.25,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,1.5,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,1.75,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,2,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,2.25,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,2.5,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,2.75,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",500,3,2184933473.73213,483224325.655014,2184933473.73213,0.221162031459753,1
"Douglas",750,0,2184933473.73213,252608004.636555,252608004.636555,0.115613590836278,0.115613590836278
"Douglas",750,0.25,2184933473.73213,252608004.636555,1221047010.77831,0.115613590836278,0.558848599034282
"Douglas",750,0.5,2184933473.73213,252608004.636555,1678116527.68357,0.115613590836278,0.76804010184216
"Douglas",750,0.75,2184933473.73213,252608004.636555,1916455846.36131,0.115613590836278,0.877123202789225
"Douglas",750,1,2184933473.73213,252608004.636555,2036615359.14418,0.115613590836278,0.932117789227421
"Douglas",750,1.25,2184933473.73213,252608004.636555,2100124148.51826,0.115613590836278,0.961184481709181
"Douglas",750,1.5,2184933473.73213,252608004.636555,2132995188.40222,0.115613590836278,0.976228893943762
"Douglas",750,1.75,2184933473.73213,252608004.636555,2153747307.65525,0.115613590836278,0.985726720537805
"Douglas",750,2,2184933473.73213,252608004.636555,2165781707.04324,0.115613590836278,0.991234622509499
"Douglas",750,2.25,2184933473.73213,252608004.636555,2174002180.1522,0.115613590836278,0.994996967316693
"Douglas",750,2.5,2184933473.73213,252608004.636555,2180056155.69548,0.115613590836278,0.997767749867314
"Douglas",750,2.75,2184933473.73213,252608004.636555,2183880718.43194,0.115613590836278,0.999518175123934
"Douglas",750,3,2184933473.73213,252608004.636555,2184933473.73213,0.115613590836278,1
"Douglas",1000,0,2184933473.73213,138923349.541459,138923349.541459,0.0635824162207377,0.0635824162207377
"Douglas",1000,0.25,2184933473.73213,138923349.541459,737729221.008927,0.0635824162207377,0.337643790933733
"Douglas",1000,0.5,2184933473.73213,138923349.541459,1157830001.44765,0.0635824162207377,0.529915448395751
"Douglas",1000,0.75,2184933473.73213,138923349.541459,1444364941.32198,0.0635824162207377,0.66105671348191
"Douglas",1000,1,2184933473.73213,138923349.541459,1659195878.83821,0.0635824162207377,0.759380502329028
"Douglas",1000,1.25,2184933473.73213,138923349.541459,1814421260.32519,0.0635824162207377,0.830424029902356
"Douglas",1000,1.5,2184933473.73213,138923349.541459,1927320578.80379,0.0635824162207377,0.88209577178187
"Douglas",1000,1.75,2184933473.73213,138923349.541459,2015826236.15258,0.0635824162207377,0.922603026768271
"Douglas",1000,2,2184933473.73213,138923349.541459,2080066654.52469,0.0635824162207377,0.952004571091899
"Douglas",1000,2.25,2184933473.73213,138923349.541459,2121646170.74283,0.0635824162207377,0.971034677371117
"Douglas",1000,2.5,2184933473.73213,138923349.541459,2151324588.60296,0.0635824162207377,0.98461789087255
"Douglas",1000,2.75,2184933473.73213,138923349.541459,2171419524.31806,0.0635824162207377,0.993814937810904
"Douglas",1000,3,2184933473.73213,138923349.541459,2180673458.09269,0.0635824162207377,0.998050276728944
"Douglas",1250,0,2184933473.73213,80316554.7462295,80316554.7462295,0.0367592678275184,0.0367592678275184
"Douglas",1250,0.25,2184933473.73213,80316554.7462295,421312168.337759,0.0367592678275184,0.192826085280348
"Douglas",1250,0.5,2184933473.73213,80316554.7462295,722215518.601657,0.0367592678275184,0.330543482117112
"Douglas",1250,0.75,2184933473.73213,80316554.7462295,943283186.160307,0.0367592678275184,0.431721696564548
"Douglas",1250,1,2184933473.73213,80316554.7462295,1127703865.00518,0.0367592678275184,0.516127323125734
"Douglas",1250,1.25,2184933473.73213,80316554.7462295,1288523777.18638,0.0367592678275184,0.589731354605238
"Douglas",1250,1.5,2184933473.73213,80316554.7462295,1433317926.38879,0.0367592678275184,0.656000717468305
"Douglas",1250,1.75,2184933473.73213,80316554.7462295,1560618589.17183,0.0367592678275184,0.714263664287274
"Douglas",1250,2,2184933473.73213,80316554.7462295,1669818659.83225,0.0367592678275184,0.764242335021758
"Douglas",1250,2.25,2184933473.73213,80316554.7462295,1756364898.51733,0.0367592678275184,0.803852803590056
"Douglas",1250,2.5,2184933473.73213,80316554.7462295,1826816113.39136,0.0367592678275184,0.836096904255366
"Douglas",1250,2.75,2184933473.73213,80316554.7462295,1887297404.66755,0.0367592678275184,0.863777971895786
"Douglas",1250,3,2184933473.73213,80316554.7462295,1937704799.77484,0.0367592678275184,0.886848420361744
"Douglas",1500,0,2184933473.73213,46919406.6720236,46919406.6720236,0.021474066481246,0.021474066481246
"Douglas",1500,0.25,2184933473.73213,46919406.6720236,241087991.56458,0.021474066481246,0.110341113110768
"Douglas",1500,0.5,2184933473.73213,46919406.6720236,454408122.122935,0.021474066481246,0.207973436072976
"Douglas",1500,0.75,2184933473.73213,46919406.6720236,629337943.88566,0.021474066481246,0.288035288694934
"Douglas",1500,1,2184933473.73213,46919406.6720236,790996092.322009,0.021474066481246,0.362022964008552
"Douglas",1500,1.25,2184933473.73213,46919406.6720236,944649310.359391,0.021474066481246,0.432346944067736
"Douglas",1500,1.5,2184933473.73213,46919406.6720236,1088568000.89135,0.021474066481246,0.498215627147651
"Douglas",1500,1.75,2184933473.73213,46919406.6720236,1215755108.53776,0.021474066481246,0.556426602069993
"Douglas",1500,2,2184933473.73213,46919406.6720236,1333043481.11975,0.021474066481246,0.610107125523942
"Douglas",1500,2.25,2184933473.73213,46919406.6720236,1441502480.45197,0.021474066481246,0.659746622852417
"Douglas",1500,2.5,2184933473.73213,46919406.6720236,1542262104.75978,0.021474066481246,0.70586227146102
"Douglas",1500,2.75,2184933473.73213,46919406.6720236,1632737674.14307,0.021474066481246,0.747271115469781
"Douglas",1500,3,2184933473.73213,46919406.6720236,1714476313.34247,0.021474066481246,0.784681242680554
"Douglas",1750,0,2184933473.73213,26660205.2411615,26660205.2411615,0.012201838436583,0.012201838436583
"Douglas",1750,0.25,2184933473.73213,26660205.2411615,148878355.499574,0.012201838436583,0.0681386217426894
"Douglas",1750,0.5,2184933473.73213,26660205.2411615,297894572.272905,0.012201838436583,0.136340339810925
"Douglas",1750,0.75,2184933473.73213,26660205.2411615,417993162.037992,0.012201838436583,0.191307043012165
"Douglas",1750,1,2184933473.73213,26660205.2411615,528733284.844631,0.012201838436583,0.241990564564646
"Douglas",1750,1.25,2184933473.73213,26660205.2411615,638519418.69193,0.012201838436583,0.292237464604019
"Douglas",1750,1.5,2184933473.73213,26660205.2411615,752806729.734229,0.012201838436583,0.344544462696314
