"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Eagle",250,0,4377268854.27803,2903846980.81935,2903846980.81935,0.663392420591515,0.663392420591515
"Eagle",250,0.25,4377268854.27803,2903846980.81935,4377074859.06953,0.663392420591515,0.999955681221566
"Eagle",250,0.5,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,0.75,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,1,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,1.25,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,1.5,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,1.75,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,2,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,2.25,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,2.5,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,2.75,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",250,3,4377268854.27803,2903846980.81935,4377268854.27803,0.663392420591515,1
"Eagle",500,0,4377268854.27803,1867966355.30128,1867966355.30128,0.426742431750718,0.426742431750718
"Eagle",500,0.25,4377268854.27803,1867966355.30128,4338769667.7138,0.426742431750718,0.991204747104669
"Eagle",500,0.5,4377268854.27803,1867966355.30128,4375600712.81747,0.426742431750718,0.999618908155727
"Eagle",500,0.75,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,1,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,1.25,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,1.5,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,1.75,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,2,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,2.25,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,2.5,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,2.75,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",500,3,4377268854.27803,1867966355.30128,4377268854.27803,0.426742431750718,1
"Eagle",750,0,4377268854.27803,1184470030.04443,1184470030.04443,0.27059567723075,0.27059567723075
"Eagle",750,0.25,4377268854.27803,1184470030.04443,3905435763.286,0.27059567723075,0.892208336590774
"Eagle",750,0.5,4377268854.27803,1184470030.04443,4297102577.12664,0.27059567723075,0.981685777177466
"Eagle",750,0.75,4377268854.27803,1184470030.04443,4352530136.47471,0.27059567723075,0.994348366840857
"Eagle",750,1,4377268854.27803,1184470030.04443,4367284574.12246,0.27059567723075,0.99771906170538
"Eagle",750,1.25,4377268854.27803,1184470030.04443,4373694340.39329,0.27059567723075,0.99918339174409
"Eagle",750,1.5,4377268854.27803,1184470030.04443,4377199081.13995,0.27059567723075,0.999984060120499
"Eagle",750,1.75,4377268854.27803,1184470030.04443,4377268854.27803,0.27059567723075,1
"Eagle",750,2,4377268854.27803,1184470030.04443,4377268854.27803,0.27059567723075,1
"Eagle",750,2.25,4377268854.27803,1184470030.04443,4377268854.27803,0.27059567723075,1
"Eagle",750,2.5,4377268854.27803,1184470030.04443,4377268854.27803,0.27059567723075,1
"Eagle",750,2.75,4377268854.27803,1184470030.04443,4377268854.27803,0.27059567723075,1
"Eagle",750,3,4377268854.27803,1184470030.04443,4377268854.27803,0.27059567723075,1
"Eagle",1000,0,4377268854.27803,741820612.923104,741820612.923104,0.169471110324444,0.169471110324444
"Eagle",1000,0.25,4377268854.27803,741820612.923104,2993146595.66117,0.169471110324444,0.683793181388865
"Eagle",1000,0.5,4377268854.27803,741820612.923104,3946915893.88702,0.169471110324444,0.901684594956872
"Eagle",1000,0.75,4377268854.27803,741820612.923104,4206526794.11535,0.169471110324444,0.96099347199206
"Eagle",1000,1,4377268854.27803,741820612.923104,4294615725.25421,0.169471110324444,0.981117648521169
"Eagle",1000,1.25,4377268854.27803,741820612.923104,4328676892.96749,0.169471110324444,0.988899022900306
"Eagle",1000,1.5,4377268854.27803,741820612.923104,4347440726.46896,0.169471110324444,0.993185676091173
