"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"El Paso",250,0,5506655953.57578,4259804794.50884,4259804794.50884,0.773573804214644,0.773573804214644
"El Paso",250,0.25,5506655953.57578,4259804794.50884,5506492521.30314,0.773573804214644,0.999970320958124
"El Paso",250,0.5,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,0.75,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,1,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,1.25,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,1.5,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,1.75,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,2,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,2.25,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,2.5,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,2.75,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",250,3,5506655953.57578,4259804794.50884,5506655953.57578,0.773573804214644,1
"El Paso",500,0,5506655953.57578,3383651027.87493,3383651027.87493,0.614465667802931,0.614465667802931
"El Paso",500,0.25,5506655953.57578,3383651027.87493,5384960454.84952,0.614465667802931,0.977900290166623
"El Paso",500,0.5,5506655953.57578,3383651027.87493,5462614489.49702,0.614465667802931,0.992002139873989
"El Paso",500,0.75,5506655953.57578,3383651027.87493,5487248562.96744,0.614465667802931,0.99647564860199
"El Paso",500,1,5506655953.57578,3383651027.87493,5497463291.11307,0.614465667802931,0.998330627055655
"El Paso",500,1.25,5506655953.57578,3383651027.87493,5503039422.19745,0.614465667802931,0.999343243629377
"El Paso",500,1.5,5506655953.57578,3383651027.87493,5506076115.5689,0.614465667802931,0.999894702336269
"El Paso",500,1.75,5506655953.57578,3383651027.87493,5506655953.57578,0.614465667802931,1
"El Paso",500,2,5506655953.57578,3383651027.87493,5506655953.57578,0.614465667802931,1
"El Paso",500,2.25,5506655953.57578,3383651027.87493,5506655953.57578,0.614465667802931,1
"El Paso",500,2.5,5506655953.57578,3383651027.87493,5506655953.57578,0.614465667802931,1
"El Paso",500,2.75,5506655953.57578,3383651027.87493,5506655953.57578,0.614465667802931,1
"El Paso",500,3,5506655953.57578,3383651027.87493,5506655953.57578,0.614465667802931,1
"El Paso",750,0,5506655953.57578,2718059516.22426,2718059516.22426,0.493595303418087,0.493595303418087
"El Paso",750,0.25,5506655953.57578,2718059516.22426,5128832318.74917,0.493595303418087,0.931387826293875
"El Paso",750,0.5,5506655953.57578,2718059516.22426,5328375324.37728,0.493595303418087,0.967624520089595
"El Paso",750,0.75,5506655953.57578,2718059516.22426,5388750748.73327,0.493595303418087,0.978588601533033
"El Paso",750,1,5506655953.57578,2718059516.22426,5419085807.21257,0.493595303418087,0.984097400109707
"El Paso",750,1.25,5506655953.57578,2718059516.22426,5438219818.68531,0.493595303418087,0.987572106289656
"El Paso",750,1.5,5506655953.57578,2718059516.22426,5456740106.61829,0.493595303418087,0.990935361246769
"El Paso",750,1.75,5506655953.57578,2718059516.22426,5473209940.27778,0.493595303418087,0.993926256955224
"El Paso",750,2,5506655953.57578,2718059516.22426,5486688530.26358,0.493595303418087,0.996373947549921
"El Paso",750,2.25,5506655953.57578,2718059516.22426,5496495702.85128,0.493595303418087,0.998154914559733
"El Paso",750,2.5,5506655953.57578,2718059516.22426,5501855434.13616,0.493595303418087,0.99912823327259
"El Paso",750,2.75,5506655953.57578,2718059516.22426,5505239385.92745,0.493595303418087,0.999742753558552
"El Paso",750,3,5506655953.57578,2718059516.22426,5506655953.57578,0.493595303418087,1
"El Paso",1000,0,5506655953.57578,2209713374.08501,2209713374.08501,0.401280449099079,0.401280449099079
"El Paso",1000,0.25,5506655953.57578,2209713374.08501,4607987463.4463,0.401280449099079,0.836803225459195
"El Paso",1000,0.5,5506655953.57578,2209713374.08501,5140970288.81483,0.401280449099079,0.933592062434281
"El Paso",1000,0.75,5506655953.57578,2209713374.08501,5255753897.45425,0.401280449099079,0.954436583974597
"El Paso",1000,1,5506655953.57578,2209713374.08501,5313294394.81631,0.401280449099079,0.964885847165753
"El Paso",1000,1.25,5506655953.57578,2209713374.08501,5354096417.61501,0.401280449099079,0.972295429885771
"El Paso",1000,1.5,5506655953.57578,2209713374.08501,5386206679.76595,0.401280449099079,0.978126602637736
"El Paso",1000,1.75,5506655953.57578,2209713374.08501,5411046483.36152,0.401280449099079,0.982637471630641
"El Paso",1000,2,5506655953.57578,2209713374.08501,5432004732.18835,0.401280449099079,0.986443456424954
"El Paso",1000,2.25,5506655953.57578,2209713374.08501,5450008217.60351,0.401280449099079,0.989712860863318
"El Paso",1000,2.5,5506655953.57578,2209713374.08501,5465251177.6477,0.401280449099079,0.992480958266295
"El Paso",1000,2.75,5506655953.57578,2209713374.08501,5478684665.98224,0.401280449099079,0.994920458472554
"El Paso",1000,3,5506655953.57578,2209713374.08501,5490676418.87001,0.401280449099079,0.997098141805029
"El Paso",1250,0,5506655953.57578,1827583623.93331,1827583623.93331,0.33188629166973,0.33188629166973
"El Paso",1250,0.25,5506655953.57578,1827583623.93331,3892135347.73017,0.33188629166973,0.706805614976325
"El Paso",1250,0.5,5506655953.57578,1827583623.93331,4844436187.18705,0.33188629166973,0.879741939214721
"El Paso",1250,0.75,5506655953.57578,1827583623.93331,5109172604.95099,0.33188629166973,0.927817653404207
"El Paso",1250,1,5506655953.57578,1827583623.93331,5214450271.84371,0.33188629166973,0.946935910978362
"El Paso",1250,1.25,5506655953.57578,1827583623.93331,5278836080.52126,0.33188629166973,0.958628271863146
"El Paso",1250,1.5,5506655953.57578,1827583623.93331,5326644971.74368,0.33188629166973,0.96731029079178
"El Paso",1250,1.75,5506655953.57578,1827583623.93331,5364935878.84093,0.33188629166973,0.974263858877396
"El Paso",1250,2,5506655953.57578,1827583623.93331,5394766567.85546,0.33188629166973,0.979681064758065
"El Paso",1250,2.25,5506655953.57578,1827583623.93331,5420535118.04915,0.33188629166973,0.984360592662283
"El Paso",1250,2.5,5506655953.57578,1827583623.93331,5442752855.89909,0.33188629166973,0.988395298668478
"El Paso",1250,2.75,5506655953.57578,1827583623.93331,5461419416.11174,0.33188629166973,0.99178511643992
"El Paso",1250,3,5506655953.57578,1827583623.93331,5477507980.78337,0.33188629166973,0.994706774304014
"El Paso",1500,0,5506655953.57578,1542909635.2247,1542909635.2247,0.28018994617283,0.28018994617283
"El Paso",1500,0.25,5506655953.57578,1542909635.2247,3133983859.76149,0.28018994617283,0.569126505484043
"El Paso",1500,0.5,5506655953.57578,1542909635.2247,4340362846.25587,0.28018994617283,0.788203018828046
"El Paso",1500,0.75,5506655953.57578,1542909635.2247,4830195722.14104,0.28018994617283,0.877155893315709
"El Paso",1500,1,5506655953.57578,1542909635.2247,5030733970.79369,0.28018994617283,0.913573321668471
"El Paso",1500,1.25,5506655953.57578,1542909635.2247,5126837318.54513,0.28018994617283,0.931025537416402
"El Paso",1500,1.5,5506655953.57578,1542909635.2247,5199932466.49114,0.28018994617283,0.944299500518918
"El Paso",1500,1.75,5506655953.57578,1542909635.2247,5262708276.42355,0.28018994617283,0.95569948818142
"El Paso",1500,2,5506655953.57578,1542909635.2247,5310320964.04068,0.28018994617283,0.964345876846072
"El Paso",1500,2.25,5506655953.57578,1542909635.2247,5352119972.76105,0.28018994617283,0.971936510630488
"El Paso",1500,2.5,5506655953.57578,1542909635.2247,5390355903.24034,0.28018994617283,0.978880095049351
"El Paso",1500,2.75,5506655953.57578,1542909635.2247,5423432237.43377,0.28018994617283,0.984886704954217
"El Paso",1500,3,5506655953.57578,1542909635.2247,5447792886.73522,0.28018994617283,0.989310560286167
"El Paso",1750,0,5506655953.57578,1332647621.79707,1332647621.79707,0.242006697536953,0.242006697536953
"El Paso",1750,0.25,5506655953.57578,1332647621.79707,2516939744.0374,0.242006697536953,0.457072271312503
"El Paso",1750,0.5,5506655953.57578,1332647621.79707,3686780688.7232,0.242006697536953,0.669513534131211
"El Paso",1750,0.75,5506655953.57578,1332647621.79707,4341433901.20771,0.242006697536953,0.788397520711017
"El Paso",1750,1,5506655953.57578,1332647621.79707,4706945284.0146,0.242006697536953,0.854773808949897
"El Paso",1750,1.25,5506655953.57578,1332647621.79707,4918898807.49755,0.242006697536953,0.893264233132892
"El Paso",1750,1.5,5506655953.57578,1332647621.79707,5038828415.48977,0.242006697536953,0.915043260005697
"El Paso",1750,1.75,5506655953.57578,1332647621.79707,5119645874.65423,0.242006697536953,0.92971958259527
"El Paso",1750,2,5506655953.57578,1332647621.79707,5185974554.86941,0.242006697536953,0.941764765874262
"El Paso",1750,2.25,5506655953.57578,1332647621.79707,5238313396.60733,0.242006697536953,0.951269416642199
"El Paso",1750,2.5,5506655953.57578,1332647621.79707,5284377782.9152,0.242006697536953,0.959634636241212
"El Paso",1750,2.75,5506655953.57578,1332647621.79707,5326478575.20592,0.242006697536953,0.967280073444055
"El Paso",1750,3,5506655953.57578,1332647621.79707,5361972778.62788,0.242006697536953,0.973725764571518
"El Paso",2000,0,5506655953.57578,1175579291.25947,1175579291.25947,0.213483337468378,0.213483337468378
"El Paso",2000,0.25,5506655953.57578,1175579291.25947,2064974003.60918,0.213483337468378,0.374996008651725
