"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Garfield",250,0,7658757305.80331,5329873289.82919,5329873289.82919,0.695918812545549,0.695918812545549
"Garfield",250,0.25,7658757305.80331,5329873289.82919,7658663621.41584,0.695918812545549,0.99998776767774
"Garfield",250,0.5,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,0.75,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,1,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,1.25,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,1.5,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,1.75,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,2,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,2.25,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,2.5,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,2.75,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",250,3,7658757305.80331,5329873289.82919,7658757305.80331,0.695918812545549,1
"Garfield",500,0,7658757305.80331,3534776714.99195,3534776714.99195,0.461533976577835,0.461533976577835
"Garfield",500,0.25,7658757305.80331,3534776714.99195,7635128559.39038,0.461533976577835,0.996914806740901
"Garfield",500,0.5,7658757305.80331,3534776714.99195,7658754379.21787,0.461533976577835,0.999999617877245
"Garfield",500,0.75,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,1,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,1.25,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,1.5,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,1.75,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,2,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,2.25,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,2.5,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,2.75,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",500,3,7658757305.80331,3534776714.99195,7658757305.80331,0.461533976577835,1
"Garfield",750,0,7658757305.80331,2252174532.67406,2252174532.67406,0.294065269696887,0.294065269696887
"Garfield",750,0.25,7658757305.80331,2252174532.67406,7104389110.15206,0.294065269696887,0.927616429987775
"Garfield",750,0.5,7658757305.80331,2252174532.67406,7608939057.27264,0.294065269696887,0.993495256927267
"Garfield",750,0.75,7658757305.80331,2252174532.67406,7654368478.57131,0.294065269696887,0.999426953086935
"Garfield",750,1,7658757305.80331,2252174532.67406,7658548576.96315,0.294065269696887,0.999972746382757
"Garfield",750,1.25,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,1.5,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,1.75,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,2,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,2.25,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,2.5,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,2.75,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",750,3,7658757305.80331,2252174532.67406,7658757305.80331,0.294065269696887,1
"Garfield",1000,0,7658757305.80331,1383622055.15309,1383622055.15309,0.180658819689282,0.180658819689282
"Garfield",1000,0.25,7658757305.80331,1383622055.15309,5698732087.70216,0.180658819689282,0.744080515958383
"Garfield",1000,0.5,7658757305.80331,1383622055.15309,7177335406.79389,0.180658819689282,0.937140990400018
"Garfield",1000,0.75,7658757305.80331,1383622055.15309,7529724024.46691,0.180658819689282,0.983152190860177
"Garfield",1000,1,7658757305.80331,1383622055.15309,7620536141.61928,0.180658819689282,0.99500948226221
"Garfield",1000,1.25,7658757305.80331,1383622055.15309,7646340374.9376,0.180658819689282,0.998378727726977
"Garfield",1000,1.5,7658757305.80331,1383622055.15309,7655689507.70819,0.180658819689282,0.999599439181497
"Garfield",1000,1.75,7658757305.80331,1383622055.15309,7658480255.31897,0.180658819689282,0.999963825660837
"Garfield",1000,2,7658757305.80331,1383622055.15309,7658757305.80331,0.180658819689282,1
"Garfield",1000,2.25,7658757305.80331,1383622055.15309,7658757305.80331,0.180658819689282,1
"Garfield",1000,2.5,7658757305.80331,1383622055.15309,7658757305.80331,0.180658819689282,1
"Garfield",1000,2.75,7658757305.80331,1383622055.15309,7658757305.80331,0.180658819689282,1
"Garfield",1000,3,7658757305.80331,1383622055.15309,7658757305.80331,0.180658819689282,1
"Garfield",1250,0,7658757305.80331,824610059.098876,824610059.098876,0.107668911048277,0.107668911048277
"Garfield",1250,0.25,7658757305.80331,824610059.098876,4027145326.43517,0.107668911048277,0.525822292786802
"Garfield",1250,0.5,7658757305.80331,824610059.098876,6064680603.34725,0.107668911048277,0.791862225318437
"Garfield",1250,0.75,7658757305.80331,824610059.098876,6901312511.21111,0.107668911048277,0.901100822973166
"Garfield",1250,1,7658757305.80331,824610059.098876,7272768605.63594,0.107668911048277,0.949601654060132
"Garfield",1250,1.25,7658757305.80331,824610059.098876,7457643764.46412,0.107668911048277,0.973740708406206
"Garfield",1250,1.5,7658757305.80331,824610059.098876,7546315026.30415,0.107668911048277,0.985318469431855
"Garfield",1250,1.75,7658757305.80331,824610059.098876,7584371075.99634,0.107668911048277,0.990287428255416
"Garfield",1250,2,7658757305.80331,824610059.098876,7609199772.7692,0.107668911048277,0.99352929841548
"Garfield",1250,2.25,7658757305.80331,824610059.098876,7626545352.15335,0.107668911048277,0.99579410178913
"Garfield",1250,2.5,7658757305.80331,824610059.098876,7639492538.59434,0.107668911048277,0.997484609259732
"Garfield",1250,2.75,7658757305.80331,824610059.098876,7648808459.36877,0.107668911048277,0.998700984241007
