"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Hinsdale",250,0,2912892525.42908,2111189218.80361,2111189218.80361,0.724774155027441,0.724774155027441
"Hinsdale",250,0.25,2912892525.42908,2111189218.80361,2912691726.67114,0.724774155027441,0.999931065510936
"Hinsdale",250,0.5,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,0.75,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,1,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,1.25,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,1.5,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,1.75,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,2,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,2.25,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,2.5,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,2.75,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",250,3,2912892525.42908,2111189218.80361,2912892525.42908,0.724774155027441,1
"Hinsdale",500,0,2912892525.42908,1499827441.1193,1499827441.1193,0.514892818058355,0.514892818058355
"Hinsdale",500,0.25,2912892525.42908,1499827441.1193,2905718606.63104,0.514892818058355,0.99753718383517
"Hinsdale",500,0.5,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,0.75,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,1,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,1.25,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,1.5,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,1.75,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,2,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,2.25,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,2.5,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,2.75,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",500,3,2912892525.42908,1499827441.1193,2912892525.42908,0.514892818058355,1
"Hinsdale",750,0,2912892525.42908,1037193834.62308,1037193834.62308,0.35607006628928,0.35607006628928
"Hinsdale",750,0.25,2912892525.42908,1037193834.62308,2769401392.96234,0.35607006628928,0.950739297377404
"Hinsdale",750,0.5,2912892525.42908,1037193834.62308,2910156546.7841,0.35607006628928,0.999060734777856
"Hinsdale",750,0.75,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,1,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,1.25,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,1.5,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,1.75,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,2,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,2.25,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,2.5,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,2.75,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",750,3,2912892525.42908,1037193834.62308,2912892525.42908,0.35607006628928,1
"Hinsdale",1000,0,2912892525.42908,697303775.372575,697303775.372575,0.239385342674069,0.239385342674069
"Hinsdale",1000,0.25,2912892525.42908,697303775.372575,2360364847.03007,0.239385342674069,0.810316490026483
"Hinsdale",1000,0.5,2912892525.42908,697303775.372575,2816366681.01641,0.239385342674069,0.966862545195191
"Hinsdale",1000,0.75,2912892525.42908,697303775.372575,2893305243.67078,0.239385342674069,0.993275659301773
"Hinsdale",1000,1,2912892525.42908,697303775.372575,2910177547.28049,0.239385342674069,0.999067944277074
"Hinsdale",1000,1.25,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,1.5,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,1.75,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,2,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,2.25,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,2.5,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,2.75,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1000,3,2912892525.42908,697303775.372575,2912892525.42908,0.239385342674069,1
"Hinsdale",1250,0,2912892525.42908,455874806.558399,455874806.558399,0.156502446478435,0.156502446478435
"Hinsdale",1250,0.25,2912892525.42908,455874806.558399,1812201139.83235,0.156502446478435,0.622131137353036
"Hinsdale",1250,0.5,2912892525.42908,455874806.558399,2567281021.90788,0.156502446478435,0.881351096717758
"Hinsdale",1250,0.75,2912892525.42908,455874806.558399,2805007612.87613,0.156502446478435,0.962962961519819
"Hinsdale",1250,1,2912892525.42908,455874806.558399,2875797562.07562,0.156502446478435,0.987265248192431
"Hinsdale",1250,1.25,2912892525.42908,455874806.558399,2900046797.91124,0.156502446478435,0.995590044120852
"Hinsdale",1250,1.5,2912892525.42908,455874806.558399,2909735513.97255,0.156502446478435,0.99891619363606
"Hinsdale",1250,1.75,2912892525.42908,455874806.558399,2912730110.64371,0.156502446478435,0.999944242781374
"Hinsdale",1250,2,2912892525.42908,455874806.558399,2912892525.42908,0.156502446478435,1
"Hinsdale",1250,2.25,2912892525.42908,455874806.558399,2912892525.42908,0.156502446478435,1
"Hinsdale",1250,2.5,2912892525.42908,455874806.558399,2912892525.42908,0.156502446478435,1
"Hinsdale",1250,2.75,2912892525.42908,455874806.558399,2912892525.42908,0.156502446478435,1
"Hinsdale",1250,3,2912892525.42908,455874806.558399,2912892525.42908,0.156502446478435,1
"Hinsdale",1500,0,2912892525.42908,291416937.941711,291416937.941711,0.100043834572573,0.100043834572573
"Hinsdale",1500,0.25,2912892525.42908,291416937.941711,1265935240.60933,0.100043834572573,0.434597304760791
"Hinsdale",1500,0.5,2912892525.42908,291416937.941711,2144937125.18817,0.100043834572573,0.73635985758596
"Hinsdale",1500,0.75,2912892525.42908,291416937.941711,2553772389.99007,0.100043834572573,0.876713564848703
"Hinsdale",1500,1,2912892525.42908,291416937.941711,2734368255.6394,0.100043834572573,0.938712373274608
"Hinsdale",1500,1.25,2912892525.42908,291416937.941711,2830970173.74052,0.100043834572573,0.971875944281023
"Hinsdale",1500,1.5,2912892525.42908,291416937.941711,2880420588.33813,0.100043834572573,0.988852339450398
"Hinsdale",1500,1.75,2912892525.42908,291416937.941711,2899199451.97158,0.100043834572573,0.995299149097344
"Hinsdale",1500,2,2912892525.42908,291416937.941711,2906499569.11974,0.100043834572573,0.997805289328896
