"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Huerfano",250,0,4117910709.52763,2886058654.78523,2886058654.78523,0.700855083649031,0.700855083649031
"Huerfano",250,0.25,4117910709.52763,2886058654.78523,4115331226.84693,0.700855083649031,0.999373594314532
"Huerfano",250,0.5,4117910709.52763,2886058654.78523,4117808846.10751,0.700855083649031,0.999975263324703
"Huerfano",250,0.75,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,1,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,1.25,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,1.5,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,1.75,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,2,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,2.25,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,2.5,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,2.75,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",250,3,4117910709.52763,2886058654.78523,4117910709.52763,0.700855083649031,1
"Huerfano",500,0,4117910709.52763,1977409695.62667,1977409695.62667,0.480197322164254,0.480197322164254
"Huerfano",500,0.25,4117910709.52763,1977409695.62667,4080128597.71021,0.480197322164254,0.990824931747547
"Huerfano",500,0.5,4117910709.52763,1977409695.62667,4116927752.26517,0.480197322164254,0.999761297091705
"Huerfano",500,0.75,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,1,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,1.25,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,1.5,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,1.75,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,2,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,2.25,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,2.5,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,2.75,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",500,3,4117910709.52763,1977409695.62667,4117910709.52763,0.480197322164254,1
"Huerfano",750,0,4117910709.52763,1357636705.2336,1357636705.2336,0.329690661357087,0.329690661357087
"Huerfano",750,0.25,4117910709.52763,1357636705.2336,3699986868.3863,0.329690661357087,0.898510708312744
"Huerfano",750,0.5,4117910709.52763,1357636705.2336,4027624367.60791,0.329690661357087,0.978074720826067
"Huerfano",750,0.75,4117910709.52763,1357636705.2336,4100526783.19129,0.329690661357087,0.995778459621256
"Huerfano",750,1,4117910709.52763,1357636705.2336,4116099514.5189,0.329690661357087,0.999560166517322
"Huerfano",750,1.25,4117910709.52763,1357636705.2336,4117853492.34211,0.329690661357087,0.999986105287474
