"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Jefferson",250,0,2003135535.58186,1254586542.48528,1254586542.48528,0.626311360464612,0.626311360464612
"Jefferson",250,0.25,2003135535.58186,1254586542.48528,1994024245.96111,0.626311360464612,0.995451486203055
"Jefferson",250,0.5,2003135535.58186,1254586542.48528,2000770063.36301,0.626311360464612,0.998819115243661
"Jefferson",250,0.75,2003135535.58186,1254586542.48528,2003095348.09999,0.626311360464612,0.999979937712072
"Jefferson",250,1,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,1.25,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,1.5,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,1.75,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,2,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,2.25,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,2.5,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,2.75,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",250,3,2003135535.58186,1254586542.48528,2003135535.58186,0.626311360464612,1
"Jefferson",500,0,2003135535.58186,806744808.43806,806744808.43806,0.402740999851376,0.402740999851376
"Jefferson",500,0.25,2003135535.58186,806744808.43806,1907709430.58354,0.402740999851376,0.952361633397611
"Jefferson",500,0.5,2003135535.58186,806744808.43806,1988078683.92364,0.402740999851376,0.992483358519301
"Jefferson",500,0.75,2003135535.58186,806744808.43806,2002305052.96221,0.402740999851376,0.999585408673106
"Jefferson",500,1,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,1.25,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,1.5,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,1.75,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,2,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,2.25,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,2.5,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,2.75,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",500,3,2003135535.58186,806744808.43806,2003135535.58186,0.402740999851376,1
"Jefferson",750,0,2003135535.58186,518885882.127294,518885882.127294,0.259036831462616,0.259036831462616
"Jefferson",750,0.25,2003135535.58186,518885882.127294,1609444508.31407,0.259036831462616,0.803462611353738
"Jefferson",750,0.5,2003135535.58186,518885882.127294,1822673785.7217,0.259036831462616,0.909910364698445
"Jefferson",750,0.75,2003135535.58186,518885882.127294,1906730473.98585,0.259036831462616,0.951872921285877
"Jefferson",750,1,2003135535.58186,518885882.127294,1949025613.37176,0.259036831462616,0.972987388397371
"Jefferson",750,1.25,2003135535.58186,518885882.127294,1976409446.00696,0.259036831462616,0.986657872570198
"Jefferson",750,1.5,2003135535.58186,518885882.127294,1993221826.64522,0.259036831462616,0.9950509045641
"Jefferson",750,1.75,2003135535.58186,518885882.127294,2001889025.85499,0.259036831462616,0.999377720725967
"Jefferson",750,2,2003135535.58186,518885882.127294,2003135535.58186,0.259036831462616,1
"Jefferson",750,2.25,2003135535.58186,518885882.127294,2003135535.58186,0.259036831462616,1
"Jefferson",750,2.5,2003135535.58186,518885882.127294,2003135535.58186,0.259036831462616,1
"Jefferson",750,2.75,2003135535.58186,518885882.127294,2003135535.58186,0.259036831462616,1
"Jefferson",750,3,2003135535.58186,518885882.127294,2003135535.58186,0.259036831462616,1
"Jefferson",1000,0,2003135535.58186,322151344.997391,322151344.997391,0.160823538534957,0.160823538534957
"Jefferson",1000,0.25,2003135535.58186,322151344.997391,1295318914.90412,0.160823538534957,0.646645667202876
"Jefferson",1000,0.5,2003135535.58186,322151344.997391,1629787895.15255,0.160823538534957,0.813618382881484
"Jefferson",1000,0.75,2003135535.58186,322151344.997391,1759874967.7157,0.160823538534957,0.878560105621859
"Jefferson",1000,1,2003135535.58186,322151344.997391,1841593780.72237,0.160823538534957,0.919355554334687
"Jefferson",1000,1.25,2003135535.58186,322151344.997391,1899319535.39347,0.160823538534957,0.948173252211698
"Jefferson",1000,1.5,2003135535.58186,322151344.997391,1935983818.22757,0.160823538534957,0.966476698075858
"Jefferson",1000,1.75,2003135535.58186,322151344.997391,1961267475.65324,0.160823538534957,0.979098738360477
"Jefferson",1000,2,2003135535.58186,322151344.997391,1979387694.93658,0.160823538534957,0.988144666088016
"Jefferson",1000,2.25,2003135535.58186,322151344.997391,1991677071.88306,0.160823538534957,0.994279736195946
"Jefferson",1000,2.5,2003135535.58186,322151344.997391,1998637288.95787,0.160823538534957,0.997754397271634
"Jefferson",1000,2.75,2003135535.58186,322151344.997391,2002522004.52939,0.160823538534957,0.999693714658059
"Jefferson",1000,3,2003135535.58186,322151344.997391,2003135535.58186,0.160823538534957,1
"Jefferson",1250,0,2003135535.58186,191035848.166932,191035848.166932,0.0953684085642467,0.0953684085642467
"Jefferson",1250,0.25,2003135535.58186,191035848.166932,951115124.236934,0.0953684085642467,0.474813165331151
"Jefferson",1250,0.5,2003135535.58186,191035848.166932,1409890495.23158,0.0953684085642467,0.703841787132016
"Jefferson",1250,0.75,2003135535.58186,191035848.166932,1608760511.31062,0.0953684085642467,0.803121148186969
"Jefferson",1250,1,2003135535.58186,191035848.166932,1718591252.44791,0.0953684085642467,0.857950558971389
"Jefferson",1250,1.25,2003135535.58186,191035848.166932,1793792592.60751,0.0953684085642467,0.89549237220559
"Jefferson",1250,1.5,2003135535.58186,191035848.166932,1848267163.04668,0.0953684085642467,0.922687022528312
"Jefferson",1250,1.75,2003135535.58186,191035848.166932,1889891214.92649,0.0953684085642467,0.943466471118002
"Jefferson",1250,2,2003135535.58186,191035848.166932,1921411153.82578,0.0953684085642467,0.959201771270891
"Jefferson",1250,2.25,2003135535.58186,191035848.166932,1944718482.90586,0.0953684085642467,0.970837194169673
"Jefferson",1250,2.5,2003135535.58186,191035848.166932,1962817561.6571,0.0953684085642467,0.979872568176945
"Jefferson",1250,2.75,2003135535.58186,191035848.166932,1979003920.49902,0.0953684085642467,0.98795307923294
"Jefferson",1250,3,2003135535.58186,191035848.166932,1990243946.06208,0.0953684085642467,0.993564294931231
"Jefferson",1500,0,2003135535.58186,108586772.444018,108586772.444018,0.0542084000384311,0.0542084000384311
"Jefferson",1500,0.25,2003135535.58186,108586772.444018,605235544.125324,0.0542084000384311,0.302144080305339
"Jefferson",1500,0.5,2003135535.58186,108586772.444018,1099285294.66254,0.0542084000384311,0.548782284141958
"Jefferson",1500,0.75,2003135535.58186,108586772.444018,1382932217.17829,0.0542084000384311,0.690383747186922
"Jefferson",1500,1,2003135535.58186,108586772.444018,1550883756.45643,0.0542084000384311,0.774228068399744
"Jefferson",1500,1.25,2003135535.58186,108586772.444018,1651799860.70295,0.0542084000384311,0.824607137840598
"Jefferson",1500,1.5,2003135535.58186,108586772.444018,1725480189.59145,0.0542084000384311,0.86138963586917
"Jefferson",1500,1.75,2003135535.58186,108586772.444018,1784770129.48596,0.0542084000384311,0.890988202137569
"Jefferson",1500,2,2003135535.58186,108586772.444018,1832232572.38999,0.0542084000384311,0.91468227678252
"Jefferson",1500,2.25,2003135535.58186,108586772.444018,1869451397.20986,0.0542084000384311,0.933262559623474
"Jefferson",1500,2.5,2003135535.58186,108586772.444018,1899884386.28614,0.0542084000384311,0.9484552355736
"Jefferson",1500,2.75,2003135535.58186,108586772.444018,1927454867.24202,0.0542084000384311,0.962218897825174
"Jefferson",1500,3,2003135535.58186,108586772.444018,1950410480.49071,0.0542084000384311,0.973678738081079
"Jefferson",1750,0,2003135535.58186,59801094.6697094,59801094.6697094,0.0298537435972043,0.0298537435972043
"Jefferson",1750,0.25,2003135535.58186,59801094.6697094,361893709.106435,0.0298537435972043,0.18066361595513
"Jefferson",1750,0.5,2003135535.58186,59801094.6697094,768798121.777944,0.0298537435972043,0.383797355756373
"Jefferson",1750,0.75,2003135535.58186,59801094.6697094,1086363436.05725,0.0298537435972043,0.542331468220742
"Jefferson",1750,1,2003135535.58186,59801094.6697094,1300958229.48176,0.0298537435972043,0.649460910843394
"Jefferson",1750,1.25,2003135535.58186,59801094.6697094,1446263222.32258,0.0298537435972043,0.721999683312732
"Jefferson",1750,1.5,2003135535.58186,59801094.6697094,1552178250.5668,0.0298537435972043,0.774874302310217
"Jefferson",1750,1.75,2003135535.58186,59801094.6697094,1626904167.7041,0.0298537435972043,0.812178776126361
"Jefferson",1750,2,2003135535.58186,59801094.6697094,1686396839.6704,0.0298537435972043,0.841878549761011
"Jefferson",1750,2.25,2003135535.58186,59801094.6697094,1737123263.85824,0.0298537435972043,0.867202060470486
"Jefferson",1750,2.5,2003135535.58186,59801094.6697094,1777335155.59924,0.0298537435972043,0.88727653422761
"Jefferson",1750,2.75,2003135535.58186,59801094.6697094,1810623038.80955,0.0298537435972043,0.903894422842241
"Jefferson",1750,3,2003135535.58186,59801094.6697094,1842090700.84666,0.0298537435972043,0.91960362547888
"Jefferson",2000,0,2003135535.58186,32840067.6990873,32840067.6990873,0.0163943313449073,0.0163943313449073
"Jefferson",2000,0.25,2003135535.58186,32840067.6990873,204213212.618426,0.0163943313449073,0.101946777435161
"Jefferson",2000,0.5,2003135535.58186,32840067.6990873,464302279.637215,0.0163943313449073,0.231787750449121
"Jefferson",2000,0.75,2003135535.58186,32840067.6990873,716641865.886102,0.0163943313449073,0.357760048262504
"Jefferson",2000,1,2003135535.58186,32840067.6990873,942876890.011472,0.0163943313449073,0.470700495929044
"Jefferson",2000,1.25,2003135535.58186,32840067.6990873,1139581533.73414,0.0163943313449073,0.568898865549364
"Jefferson",2000,1.5,2003135535.58186,32840067.6990873,1294103238.84549,0.0163943313449073,0.646038780630783
"Jefferson",2000,1.75,2003135535.58186,32840067.6990873,1411800425.01115,0.0163943313449073,0.704795257202135
"Jefferson",2000,2,2003135535.58186,32840067.6990873,1494995363.1979,0.0163943313449073,0.746327613205485
"Jefferson",2000,2.25,2003135535.58186,32840067.6990873,1551607551.47091,0.0163943313449073,0.774589399423841
"Jefferson",2000,2.5,2003135535.58186,32840067.6990873,1590118981.70898,0.0163943313449073,0.793814973307379
"Jefferson",2000,2.75,2003135535.58186,32840067.6990873,1622477978.42189,0.0163943313449073,0.809969145672711
"Jefferson",2000,3,2003135535.58186,32840067.6990873,1651501919.43912,0.0163943313449073,0.824458400394462
"Jefferson",2250,0,2003135535.58186,17448592.95225,17448592.95225,0.00871064021495761,0.00871064021495761
"Jefferson",2250,0.25,2003135535.58186,17448592.95225,116489584.5625,0.00871064021495761,0.0581536209074652
"Jefferson",2250,0.5,2003135535.58186,17448592.95225,281307583.925849,0.00871064021495761,0.140433624649435
"Jefferson",2250,0.75,2003135535.58186,17448592.95225,464691983.209649,0.00871064021495761,0.23198229723116
"Jefferson",2250,1,2003135535.58186,17448592.95225,644216359.64129,0.00871064021495761,0.321603979460213
"Jefferson",2250,1.25,2003135535.58186,17448592.95225,814166852.980965,0.00871064021495761,0.406446213208669
"Jefferson",2250,1.5,2003135535.58186,17448592.95225,966026407.202648,0.00871064021495761,0.482257136395936
"Jefferson",2250,1.75,2003135535.58186,17448592.95225,1099150273.38534,0.00871064021495761,0.54871487917869
"Jefferson",2250,2,2003135535.58186,17448592.95225,1212957642.70937,0.00871064021495761,0.605529491721108
"Jefferson",2250,2.25,2003135535.58186,17448592.95225,1310621419.72927,0.00871064021495761,0.654284943004903
"Jefferson",2250,2.5,2003135535.58186,17448592.95225,1391714044.85574,0.00871064021495761,0.694767787867873
"Jefferson",2250,2.75,2003135535.58186,17448592.95225,1454086293.55807,0.00871064021495761,0.725905096150021
"Jefferson",2250,3,2003135535.58186,17448592.95225,1505346613.86872,0.00871064021495761,0.751495137063429
"Jefferson",2500,0,2003135535.58186,8996634.75461467,8996634.75461467,0.00449127609929868,0.00449127609929868
"Jefferson",2500,0.25,2003135535.58186,8996634.75461467,65436554.7333529,0.00449127609929868,0.0326670629974847
"Jefferson",2500,0.5,2003135535.58186,8996634.75461467,165825061.516162,0.00449127609929868,0.0827827466342633
"Jefferson",2500,0.75,2003135535.58186,8996634.75461467,289349393.895577,0.00449127609929868,0.14444823565647
"Jefferson",2500,1,2003135535.58186,8996634.75461467,424171164.525755,0.00449127609929868,0.211753601786384
"Jefferson",2500,1.25,2003135535.58186,8996634.75461467,562755803.837576,0.00449127609929868,0.28093745722209
"Jefferson",2500,1.5,2003135535.58186,8996634.75461467,698592750.759463,0.00449127609929868,0.348749616963158
"Jefferson",2500,1.75,2003135535.58186,8996634.75461467,824276161.296197,0.00449127609929868,0.411492955246668
"Jefferson",2500,2,2003135535.58186,8996634.75461467,939923819.577245,0.00449127609929868,0.469226271952797
"Jefferson",2500,2.25,2003135535.58186,8996634.75461467,1043145850.37615,0.00449127609929868,0.520756499920583
"Jefferson",2500,2.5,2003135535.58186,8996634.75461467,1133531411.57174,0.00449127609929868,0.565878539637849
"Jefferson",2500,2.75,2003135535.58186,8996634.75461467,1215230513.54858,0.00449127609929868,0.606664148262734
"Jefferson",2500,3,2003135535.58186,8996634.75461467,1290371371.75667,0.00449127609929868,0.644175767857788
"Jefferson",2750,0,2003135535.58186,4411282.12800633,4411282.12800633,0.00220218854373475,0.00220218854373475
"Jefferson",2750,0.25,2003135535.58186,4411282.12800633,34559227.1212481,0.00220218854373475,0.0172525655440532
"Jefferson",2750,0.5,2003135535.58186,4411282.12800633,87897086.3632306,0.00220218854373475,0.0438797499230119
"Jefferson",2750,0.75,2003135535.58186,4411282.12800633,155197219.656414,0.00220218854373475,0.0774771436578468
"Jefferson",2750,1,2003135535.58186,4411282.12800633,229335543.766863,0.00220218854373475,0.114488280844285
"Jefferson",2750,1.25,2003135535.58186,4411282.12800633,306790526.368763,0.00220218854373475,0.15315515147089
"Jefferson",2750,1.5,2003135535.58186,4411282.12800633,389329016.641713,0.00220218854373475,0.194359797290812
"Jefferson",2750,1.75,2003135535.58186,4411282.12800633,471535631.873808,0.00220218854373475,0.235398765334588
"Jefferson",2750,2,2003135535.58186,4411282.12800633,554495095.565907,0.00220218854373475,0.276813568386345
"Jefferson",2750,2.25,2003135535.58186,4411282.12800633,635997212.76208,0.00220218854373475,0.317500838792388
"Jefferson",2750,2.5,2003135535.58186,4411282.12800633,712968699.191899,0.00220218854373475,0.355926339744554
"Jefferson",2750,2.75,2003135535.58186,4411282.12800633,786210713.257192,0.00220218854373475,0.39249002341163
"Jefferson",2750,3,2003135535.58186,4411282.12800633,857139532.526965,0.00220218854373475,0.427898920118747
"Jefferson",3000,0,2003135535.58186,2078804.66693785,2078804.66693785,0.0010377753427124,0.0010377753427124
"Jefferson",3000,0.25,2003135535.58186,2078804.66693785,17468393.2604046,0.0010377753427124,0.00872052487218767
"Jefferson",3000,0.5,2003135535.58186,2078804.66693785,43795590.7133977,0.0010377753427124,0.0218635184366974
"Jefferson",3000,0.75,2003135535.58186,2078804.66693785,79445213.0977719,0.0010377753427124,0.0396604282069686
"Jefferson",3000,1,2003135535.58186,2078804.66693785,122611648.664633,0.0010377753427124,0.0612098614829962
"Jefferson",3000,1.25,2003135535.58186,2078804.66693785,170729726.959372,0.0010377753427124,0.0852312406857581
"Jefferson",3000,1.5,2003135535.58186,2078804.66693785,224334125.358036,0.0010377753427124,0.111991486034355
"Jefferson",3000,1.75,2003135535.58186,2078804.66693785,281095650.619295,0.0010377753427124,0.140327823867217
"Jefferson",3000,2,2003135535.58186,2078804.66693785,339893305.009844,0.0010377753427124,0.169680632674271
"Jefferson",3000,2.25,2003135535.58186,2078804.66693785,402135385.677162,0.0010377753427124,0.200752958815816
"Jefferson",3000,2.5,2003135535.58186,2078804.66693785,465836961.198618,0.0010377753427124,0.232553890100753
"Jefferson",3000,2.75,2003135535.58186,2078804.66693785,530448948.810486,0.0010377753427124,0.264809314890619
"Jefferson",3000,3,2003135535.58186,2078804.66693785,597644955.549322,0.0010377753427124,0.298354726843644
"Jefferson",3250,0,2003135535.58186,827569.083166442,827569.083166442,0.000413136838953862,0.000413136838953862
"Jefferson",3250,0.25,2003135535.58186,827569.083166442,9857340.65365214,0.000413136838953862,0.00492095541143143
"Jefferson",3250,0.5,2003135535.58186,827569.083166442,26408470.1311634,0.000413136838953862,0.0131835662949749
"Jefferson",3250,0.75,2003135535.58186,827569.083166442,48521207.608777,0.000413136838953862,0.0242226283478531
"Jefferson",3250,1,2003135535.58186,827569.083166442,75842957.9587591,0.000413136838953862,0.0378621199671987
"Jefferson",3250,1.25,2003135535.58186,827569.083166442,105072026.807768,0.000413136838953862,0.0524537780601288
"Jefferson",3250,1.5,2003135535.58186,827569.083166442,135086338.524217,0.000413136838953862,0.067437443011053
"Jefferson",3250,1.75,2003135535.58186,827569.083166442,167640853.629262,0.000413136838953862,0.0836892215486389
"Jefferson",3250,2,2003135535.58186,827569.083166442,201509750.3894,0.000413136838953862,0.100597162203938
"Jefferson",3250,2.25,2003135535.58186,827569.083166442,237738490.016961,0.000413136838953862,0.118683177345713
"Jefferson",3250,2.5,2003135535.58186,827569.083166442,276570818.668931,0.000413136838953862,0.138068949282852
"Jefferson",3250,2.75,2003135535.58186,827569.083166442,318323138.710649,0.000413136838953862,0.158912431563541
"Jefferson",3250,3,2003135535.58186,827569.083166442,363970849.229123,0.000413136838953862,0.181700560328485
"Jefferson",3500,0,2003135535.58186,241714.016877189,241714.016877189,0.000120667829302413,0.000120667829302413
"Jefferson",3500,0.25,2003135535.58186,241714.016877189,3871091.15248999,0.000120667829302413,0.00193251584015534
"Jefferson",3500,0.5,2003135535.58186,241714.016877189,10603581.1694191,0.000120667829302413,0.00529349161904767
"Jefferson",3500,0.75,2003135535.58186,241714.016877189,20468954.4414517,0.000120667829302413,0.0102184570528854
"Jefferson",3500,1,2003135535.58186,241714.016877189,33281200.9151847,0.000120667829302413,0.0166145526970133
"Jefferson",3500,1.25,2003135535.58186,241714.016877189,47790368.4794753,0.000120667829302413,0.0238577807794685
"Jefferson",3500,1.5,2003135535.58186,241714.016877189,63773733.9492968,0.000120667829302413,0.0318369540235689
"Jefferson",3500,1.75,2003135535.58186,241714.016877189,81403361.3558997,0.000120667829302413,0.0406379697778434
"Jefferson",3500,2,2003135535.58186,241714.016877189,100706795.924787,0.000120667829302413,0.0502745790965835
"Jefferson",3500,2.25,2003135535.58186,241714.016877189,121723575.304495,0.000120667829302413,0.0607665198596444
"Jefferson",3500,2.5,2003135535.58186,241714.016877189,144461818.346894,0.000120667829302413,0.0721178451386871
"Jefferson",3500,2.75,2003135535.58186,241714.016877189,168943210.641114,0.000120667829302413,0.0843393807559011
"Jefferson",3500,3,2003135535.58186,241714.016877189,196272617.795335,0.000120667829302413,0.0979826947847157
