"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Kiowa",250,0,4639635997.16967,4399968980.80023,4399968980.80023,0.948343573393333,0.948343573393333
"Kiowa",250,0.25,4639635997.16967,4399968980.80023,4617912049.86233,0.948343573393333,0.995317747486959
"Kiowa",250,0.5,4639635997.16967,4399968980.80023,4632866519.75102,0.948343573393333,0.998540946440026
"Kiowa",250,0.75,4639635997.16967,4399968980.80023,4638084619.29494,0.948343573393333,0.999665625088761
"Kiowa",250,1,4639635997.16967,4399968980.80023,4639632302.34396,0.948343573393333,0.999999203638883
"Kiowa",250,1.25,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,1.5,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,1.75,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,2,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,2.25,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,2.5,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,2.75,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",250,3,4639635997.16967,4399968980.80023,4639635997.16967,0.948343573393333,1
"Kiowa",500,0,4639635997.16967,4220247003.43864,4220247003.43864,0.909607349803546,0.909607349803546
"Kiowa",500,0.25,4639635997.16967,4220247003.43864,4612770796.08829,0.909607349803546,0.994209631725901
"Kiowa",500,0.5,4639635997.16967,4220247003.43864,4631195824.59411,0.909607349803546,0.998180854579818
"Kiowa",500,0.75,4639635997.16967,4220247003.43864,4637233203.83441,0.909607349803546,0.999482115981356
"Kiowa",500,1,4639635997.16967,4220247003.43864,4639580392.45874,0.909607349803546,0.999988015285904
"Kiowa",500,1.25,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,1.5,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,1.75,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,2,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,2.25,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,2.5,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,2.75,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",500,3,4639635997.16967,4220247003.43864,4639635997.16967,0.909607349803546,1
"Kiowa",750,0,4639635997.16967,4047582601.03728,4047582601.03728,0.872392274632415,0.872392274632415
"Kiowa",750,0.25,4639635997.16967,4047582601.03728,4605265190.50238,0.872392274632415,0.992591917407258
"Kiowa",750,0.5,4639635997.16967,4047582601.03728,4628767520.00222,0.872392274632415,0.997657472014167
"Kiowa",750,0.75,4639635997.16967,4047582601.03728,4636265522.09204,0.872392274632415,0.999273547519744
"Kiowa",750,1,4639635997.16967,4047582601.03728,4639461035.09405,0.872392274632415,0.999962289697786
