"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"La Plata",250,0,4404476094.8321,2905226132.62431,2905226132.62431,0.659607651414681,0.659607651414681
"La Plata",250,0.25,4404476094.8321,2905226132.62431,4397903149.41455,0.659607651414681,0.998507666910655
"La Plata",250,0.5,4404476094.8321,2905226132.62431,4403880306.57634,0.659607651414681,0.999864731186426
"La Plata",250,0.75,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,1,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,1.25,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,1.5,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,1.75,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,2,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,2.25,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,2.5,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,2.75,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",250,3,4404476094.8321,2905226132.62431,4404476094.8321,0.659607651414681,1
"La Plata",500,0,4404476094.8321,1826271755.65014,1826271755.65014,0.414639951796527,0.414639951796527
"La Plata",500,0.25,4404476094.8321,1826271755.65014,4367292912.79669,0.414639951796527,0.991557864945837
"La Plata",500,0.5,4404476094.8321,1826271755.65014,4402453044.8588,0.414639951796527,0.999540683175536
"La Plata",500,0.75,4404476094.8321,1826271755.65014,4404476094.8321,0.414639951796527,1
"La Plata",500,1,4404476094.8321,1826271755.65014,4404476094.8321,0.414639951796527,1
"La Plata",500,1.25,4404476094.8321,1826271755.65014,4404476094.8321,0.414639951796527,1
"La Plata",500,1.5,4404476094.8321,1826271755.65014,4404476094.8321,0.414639951796527,1
"La Plata",500,1.75,4404476094.8321,1826271755.65014,4404476094.8321,0.414639951796527,1
"La Plata",500,2,4404476094.8321,1826271755.65014,4404476094.8321,0.414639951796527,1
