"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Las Animas",250,0,12366436911.0049,9534294393.27821,9534294393.27821,0.770981525389392,0.770981525389392
"Las Animas",250,0.25,12366436911.0049,9534294393.27821,12365563585.6706,0.770981525389392,0.999929379388701
"Las Animas",250,0.5,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,0.75,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,1,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,1.25,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,1.5,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,1.75,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,2,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,2.25,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,2.5,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,2.75,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",250,3,12366436911.0049,9534294393.27821,12366436911.0049,0.770981525389392,1
"Las Animas",500,0,12366436911.0049,7200761944.16897,7200761944.16897,0.582282673335036,0.582282673335036
"Las Animas",500,0.25,12366436911.0049,7200761944.16897,12346504346.3202,0.582282673335036,0.998388172371066
"Las Animas",500,0.5,12366436911.0049,7200761944.16897,12366430840.587,0.582282673335036,0.999999509121508
"Las Animas",500,0.75,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,1,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,1.25,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,1.5,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,1.75,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,2,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,2.25,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,2.5,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,2.75,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",500,3,12366436911.0049,7200761944.16897,12366436911.0049,0.582282673335036,1
"Las Animas",750,0,12366436911.0049,5356783722.08616,5356783722.08616,0.433171151936187,0.433171151936187
"Las Animas",750,0.25,12366436911.0049,5356783722.08616,11879270141.0777,0.433171151936187,0.9606057287614
"Las Animas",750,0.5,12366436911.0049,5356783722.08616,12314038422.3174,0.433171151936187,0.99576284672258
"Las Animas",750,0.75,12366436911.0049,5356783722.08616,12359140756.9075,0.433171151936187,0.999410003532148
"Las Animas",750,1,12366436911.0049,5356783722.08616,12365523012.5092,0.433171151936187,0.999926098479111
"Las Animas",750,1.25,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,1.5,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,1.75,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,2,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,2.25,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,2.5,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,2.75,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",750,3,12366436911.0049,5356783722.08616,12366436911.0049,0.433171151936187,1
"Las Animas",1000,0,12366436911.0049,3924261275.59902,3924261275.59902,0.317331605202047,0.317331605202047
"Las Animas",1000,0.25,12366436911.0049,3924261275.59902,10584285125.7851,0.317331605202047,0.855888013819581
"Las Animas",1000,0.5,12366436911.0049,3924261275.59902,11923955811.9188,0.317331605202047,0.96421919245856
"Las Animas",1000,0.75,12366436911.0049,3924261275.59902,12209527698.8841,0.317331605202047,0.987311687816796
"Las Animas",1000,1,12366436911.0049,3924261275.59902,12311511786.2318,0.317331605202047,0.995558532731104
"Las Animas",1000,1.25,12366436911.0049,3924261275.59902,12350092098.7384,0.317331605202047,0.998678292511892
"Las Animas",1000,1.5,12366436911.0049,3924261275.59902,12361761099.1121,0.317331605202047,0.999621894978609
"Las Animas",1000,1.75,12366436911.0049,3924261275.59902,12365060795.1802,0.317331605202047,0.99988872172037
"Las Animas",1000,2,12366436911.0049,3924261275.59902,12366430735.242,0.317331605202047,0.999999500602887
"Las Animas",1000,2.25,12366436911.0049,3924261275.59902,12366436911.0049,0.317331605202047,1
"Las Animas",1000,2.5,12366436911.0049,3924261275.59902,12366436911.0049,0.317331605202047,1
"Las Animas",1000,2.75,12366436911.0049,3924261275.59902,12366436911.0049,0.317331605202047,1
"Las Animas",1000,3,12366436911.0049,3924261275.59902,12366436911.0049,0.317331605202047,1
"Las Animas",1250,0,12366436911.0049,2838762835.47844,2838762835.47844,0.229553820223854,0.229553820223854
"Las Animas",1250,0.25,12366436911.0049,2838762835.47844,8708593257.93361,0.229553820223854,0.704211999026483
"Las Animas",1250,0.5,12366436911.0049,2838762835.47844,11155993907.9972,0.229553820223854,0.902118693386086
"Las Animas",1250,0.75,12366436911.0049,2838762835.47844,11798507218.8807,0.229553820223854,0.954074912910543
"Las Animas",1250,1,12366436911.0049,2838762835.47844,12072608813.7663,0.229553820223854,0.976239874156709
"Las Animas",1250,1.25,12366436911.0049,2838762835.47844,12199711668.7507,0.229553820223854,0.986517924002359
"Las Animas",1250,1.5,12366436911.0049,2838762835.47844,12264396478.0579,0.229553820223854,0.991748598753114
"Las Animas",1250,1.75,12366436911.0049,2838762835.47844,12304735065.0504,0.229553820223854,0.995010539705297
"Las Animas",1250,2,12366436911.0049,2838762835.47844,12334708265.2622,0.229553820223854,0.997434293647315
"Las Animas",1250,2.25,12366436911.0049,2838762835.47844,12354581242.8193,0.229553820223854,0.999041302820624
"Las Animas",1250,2.5,12366436911.0049,2838762835.47844,12363058042.4699,0.229553820223854,0.999726771053028
"Las Animas",1250,2.75,12366436911.0049,2838762835.47844,12366264212.1608,0.229553820223854,0.999986034874447
"Las Animas",1250,3,12366436911.0049,2838762835.47844,12366436911.0049,0.229553820223854,1
"Las Animas",1500,0,12366436911.0049,2046332665.09597,2046332665.09597,0.165474718370572,0.165474718370572
"Las Animas",1500,0.25,12366436911.0049,2046332665.09597,6503853171.04538,0.165474718370572,0.525927817191839
"Las Animas",1500,0.5,12366436911.0049,2046332665.09597,9853180441.42168,0.165474718370572,0.796767938277627
"Las Animas",1500,0.75,12366436911.0049,2046332665.09597,11070263436.2864,0.165474718370572,0.89518618143234
"Las Animas",1500,1,12366436911.0049,2046332665.09597,11577496399.0106,0.165474718370572,0.936203086008374
"Las Animas",1500,1.25,12366436911.0049,2046332665.09597,11850127750.6701,0.165474718370572,0.958249157453326
"Las Animas",1500,1.5,12366436911.0049,2046332665.09597,12021588228.0558,0.165474718370572,0.972114143675273
"Las Animas",1500,1.75,12366436911.0049,2046332665.09597,12134924493.215,0.165474718370572,0.981278971505221
"Las Animas",1500,2,12366436911.0049,2046332665.09597,12214777995.9864,0.165474718370572,0.987736248030867
"Las Animas",1500,2.25,12366436911.0049,2046332665.09597,12268141660.6111,0.165474718370572,0.992051449330062
"Las Animas",1500,2.5,12366436911.0049,2046332665.09597,12303306534.6403,0.165474718370572,0.994895022970737
"Las Animas",1500,2.75,12366436911.0049,2046332665.09597,12325370923.7933,0.165474718370572,0.9966792385303
"Las Animas",1500,3,12366436911.0049,2046332665.09597,12342173963.5909,0.165474718370572,0.998038000145995
"Las Animas",1750,0,12366436911.0049,1484682906.11033,1484682906.11033,0.120057452020728,0.120057452020728
"Las Animas",1750,0.25,12366436911.0049,1484682906.11033,4710066593.56365,0.120057452020728,0.380874994750685
"Las Animas",1750,0.5,12366436911.0049,1484682906.11033,8052219672.21045,0.120057452020728,0.651134981737933
"Las Animas",1750,0.75,12366436911.0049,1484682906.11033,9880204604.73276,0.120057452020728,0.798953221193438
"Las Animas",1750,1,12366436911.0049,1484682906.11033,10829329998.8996,0.120057452020728,0.875703331269384
"Las Animas",1750,1.25,12366436911.0049,1484682906.11033,11347002167.0994,0.120057452020728,0.917564392133172
"Las Animas",1750,1.5,12366436911.0049,1484682906.11033,11657217552.9816,0.120057452020728,0.942649660275861
"Las Animas",1750,1.75,12366436911.0049,1484682906.11033,11856083106.7316,0.120057452020728,0.958730731580486
"Las Animas",1750,2,12366436911.0049,1484682906.11033,11986813200.1307,0.120057452020728,0.969302094564007
"Las Animas",1750,2.25,12366436911.0049,1484682906.11033,12079045079.5031,0.120057452020728,0.976760336581183
"Las Animas",1750,2.5,12366436911.0049,1484682906.11033,12153023448.6783,0.120057452020728,0.982742526092007
"Las Animas",1750,2.75,12366436911.0049,1484682906.11033,12213220877.9547,0.120057452020728,0.987610333182242
"Las Animas",1750,3,12366436911.0049,1484682906.11033,12262659090.9901,0.120057452020728,0.991608106622661
"Las Animas",2000,0,12366436911.0049,1096308187.54195,1096308187.54195,0.0886519047832083,0.0886519047832083
"Las Animas",2000,0.25,12366436911.0049,1096308187.54195,3324948214.97369,0.0886519047832083,0.268868732271203
"Las Animas",2000,0.5,12366436911.0049,1096308187.54195,6039821512.4774,0.0886519047832083,0.48840434443187
"Las Animas",2000,0.75,12366436911.0049,1096308187.54195,8007767963.4116,0.0886519047832083,0.647540437155792
"Las Animas",2000,1,12366436911.0049,1096308187.54195,9356342115.83417,0.0886519047832083,0.756591586013591
"Las Animas",2000,1.25,12366436911.0049,1096308187.54195,10255909868.2183,0.0886519047832083,0.829334265158588
"Las Animas",2000,1.5,12366436911.0049,1096308187.54195,10872453449.4186,0.0886519047832083,0.879190467526118
