"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Lincoln",250,0,6706091655.14178,5851371815.41421,5851371815.41421,0.872545756353893,0.872545756353893
"Lincoln",250,0.25,6706091655.14178,5851371815.41421,6706082242.55644,0.872545756353893,0.999998596412661
"Lincoln",250,0.5,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,0.75,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,1,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,1.25,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,1.5,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,1.75,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,2,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,2.25,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,2.5,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,2.75,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",250,3,6706091655.14178,5851371815.41421,6706091655.14178,0.872545756353893,1
"Lincoln",500,0,6706091655.14178,5107837324.38738,5107837324.38738,0.761671266522437,0.761671266522437
"Lincoln",500,0.25,6706091655.14178,5107837324.38738,6705809748.69664,0.761671266522437,0.999957962631644
"Lincoln",500,0.5,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,0.75,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,1,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,1.25,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,1.5,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,1.75,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,2,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,2.25,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,2.5,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,2.75,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",500,3,6706091655.14178,5107837324.38738,6706091655.14178,0.761671266522437,1
"Lincoln",750,0,6706091655.14178,4449828001.72504,4449828001.72504,0.663550131813844,0.663550131813844
"Lincoln",750,0.25,6706091655.14178,4449828001.72504,6677345106.76247,0.663550131813844,0.995713367806826
"Lincoln",750,0.5,6706091655.14178,4449828001.72504,6706053655.09435,0.663550131813844,0.999994333503122
"Lincoln",750,0.75,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,1,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,1.25,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,1.5,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,1.75,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,2,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,2.25,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,2.5,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,2.75,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",750,3,6706091655.14178,4449828001.72504,6706091655.14178,0.663550131813844,1
"Lincoln",1000,0,6706091655.14178,3882949187.96041,3882949187.96041,0.579018210254139,0.579018210254139
"Lincoln",1000,0.25,6706091655.14178,3882949187.96041,6418075054.04499,0.579018210254139,0.957051496473963
"Lincoln",1000,0.5,6706091655.14178,3882949187.96041,6698934767.89974,0.579018210254139,0.9989327781948
"Lincoln",1000,0.75,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,1,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,1.25,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,1.5,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,1.75,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,2,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,2.25,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,2.5,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,2.75,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1000,3,6706091655.14178,3882949187.96041,6706091655.14178,0.579018210254139,1
"Lincoln",1250,0,6706091655.14178,3401384906.92765,3401384906.92765,0.507208234220852,0.507208234220852
"Lincoln",1250,0.25,6706091655.14178,3401384906.92765,5880235182.71176,0.507208234220852,0.876849808368366
"Lincoln",1250,0.5,6706091655.14178,3401384906.92765,6614797967.69798,0.507208234220852,0.986386453967745
"Lincoln",1250,0.75,6706091655.14178,3401384906.92765,6698118579.24583,0.507208234220852,0.998811069650408
"Lincoln",1250,1,6706091655.14178,3401384906.92765,6705894108.11052,0.507208234220852,0.999970542151611
"Lincoln",1250,1.25,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,1.5,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,1.75,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,2,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,2.25,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,2.5,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,2.75,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1250,3,6706091655.14178,3401384906.92765,6706091655.14178,0.507208234220852,1
"Lincoln",1500,0,6706091655.14178,2994046358.35214,2994046358.35214,0.446466662300464,0.446466662300464
"Lincoln",1500,0.25,6706091655.14178,2994046358.35214,5144845507.77075,0.446466662300464,0.767189858466375
"Lincoln",1500,0.5,6706091655.14178,2994046358.35214,6360921998.55237,0.446466662300464,0.94852893841307
"Lincoln",1500,0.75,6706091655.14178,2994046358.35214,6619736399.48342,0.446466662300464,0.987122863793228
"Lincoln",1500,1,6706091655.14178,2994046358.35214,6679902342.58852,0.446466662300464,0.996094698089434
"Lincoln",1500,1.25,6706091655.14178,2994046358.35214,6699004749.69292,0.446466662300464,0.998943213750527
"Lincoln",1500,1.5,6706091655.14178,2994046358.35214,6704743658.05954,0.446466662300464,0.999798989165142
"Lincoln",1500,1.75,6706091655.14178,2994046358.35214,6706091655.14178,0.446466662300464,1
"Lincoln",1500,2,6706091655.14178,2994046358.35214,6706091655.14178,0.446466662300464,1
"Lincoln",1500,2.25,6706091655.14178,2994046358.35214,6706091655.14178,0.446466662300464,1
"Lincoln",1500,2.5,6706091655.14178,2994046358.35214,6706091655.14178,0.446466662300464,1
"Lincoln",1500,2.75,6706091655.14178,2994046358.35214,6706091655.14178,0.446466662300464,1
"Lincoln",1500,3,6706091655.14178,2994046358.35214,6706091655.14178,0.446466662300464,1
"Lincoln",1750,0,6706091655.14178,2652191165.31313,2652191165.31313,0.39548984739563,0.39548984739563
"Lincoln",1750,0.25,6706091655.14178,2652191165.31313,4481679980.8291,0.39548984739563,0.668299840100284
"Lincoln",1750,0.5,6706091655.14178,2652191165.31313,5939465324.2819,0.39548984739563,0.885682097668308
"Lincoln",1750,0.75,6706091655.14178,2652191165.31313,6426593535.88566,0.39548984739563,0.958321756750549
"Lincoln",1750,1,6706091655.14178,2652191165.31313,6580897472.74414,0.39548984739563,0.981331274781841
"Lincoln",1750,1.25,6706091655.14178,2652191165.31313,6650257629.28765,0.39548984739563,0.991674133202262
"Lincoln",1750,1.5,6706091655.14178,2652191165.31313,6684374822.11102,0.39548984739563,0.996761625974183
"Lincoln",1750,1.75,6706091655.14178,2652191165.31313,6700174481.1463,0.39548984739563,0.999117641944106
"Lincoln",1750,2,6706091655.14178,2652191165.31313,6705687175.28769,0.39548984739563,0.999939684711321
"Lincoln",1750,2.25,6706091655.14178,2652191165.31313,6706091655.14178,0.39548984739563,1
"Lincoln",1750,2.5,6706091655.14178,2652191165.31313,6706091655.14178,0.39548984739563,1
"Lincoln",1750,2.75,6706091655.14178,2652191165.31313,6706091655.14178,0.39548984739563,1
"Lincoln",1750,3,6706091655.14178,2652191165.31313,6706091655.14178,0.39548984739563,1
"Lincoln",2000,0,6706091655.14178,2364608736.03497,2364608736.03497,0.352606086769176,0.352606086769176
"Lincoln",2000,0.25,6706091655.14178,2364608736.03497,3923185102.03457,0.352606086769176,0.585018115436364
"Lincoln",2000,0.5,6706091655.14178,2364608736.03497,5431232248.76704,0.352606086769176,0.809895320264932
"Lincoln",2000,0.75,6706091655.14178,2364608736.03497,6108281208.61369,0.352606086769176,0.910855610500086
"Lincoln",2000,1,6706091655.14178,2364608736.03497,6384902785.10792,0.352606086769176,0.952104909006487
"Lincoln",2000,1.25,6706091655.14178,2364608736.03497,6519327549.93344,0.352606086769176,0.972150081625393
"Lincoln",2000,1.5,6706091655.14178,2364608736.03497,6596826680.01676,0.352606086769176,0.983706608745612
"Lincoln",2000,1.75,6706091655.14178,2364608736.03497,6645625416.06004,0.352606086769176,0.990983386122471
"Lincoln",2000,2,6706091655.14178,2364608736.03497,6676537464.44466,0.352606086769176,0.995592933676286
"Lincoln",2000,2.25,6706091655.14178,2364608736.03497,6690156378.5643,0.352606086769176,0.997623760992701
"Lincoln",2000,2.5,6706091655.14178,2364608736.03497,6697130608.86488,0.352606086769176,0.998663745332197
"Lincoln",2000,2.75,6706091655.14178,2364608736.03497,6701653094.18839,0.352606086769176,0.999338129989622
"Lincoln",2000,3,6706091655.14178,2364608736.03497,6704401333.65511,0.352606086769176,0.999747942382301
"Lincoln",2250,0,6706091655.14178,2122453217.44898,2122453217.44898,0.316496303151722,0.316496303151722
"Lincoln",2250,0.25,6706091655.14178,2122453217.44898,3429708168.19988,0.316496303151722,0.511431746622522
"Lincoln",2250,0.5,6706091655.14178,2122453217.44898,4844319543.85983,0.316496303151722,0.722375981865016
"Lincoln",2250,0.75,6706091655.14178,2122453217.44898,5703627959.55041,0.316496303151722,0.850514465482626
"Lincoln",2250,1,6706091655.14178,2122453217.44898,6146177677.59184,0.316496303151722,0.916506661951058
"Lincoln",2250,1.25,6706091655.14178,2122453217.44898,6369367207.04859,0.316496303151722,0.949788272303882
