"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Mesa",250,0,8667299800.36923,5865661638.36061,5865661638.36061,0.676757672338821,0.676757672338821
"Mesa",250,0.25,8667299800.36923,5865661638.36061,8661542980.41649,0.676757672338821,0.999335800066303
"Mesa",250,0.5,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,0.75,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,1,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,1.25,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,1.5,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,1.75,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,2,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,2.25,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,2.5,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,2.75,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",250,3,8667299800.36923,5865661638.36061,8667299800.36923,0.676757672338821,1
"Mesa",500,0,8667299800.36923,3809538505.79742,3809538505.79742,0.4395300259067,0.4395300259067
"Mesa",500,0.25,8667299800.36923,3809538505.79742,8549688954.0184,0.4395300259067,0.986430509032834
"Mesa",500,0.5,8667299800.36923,3809538505.79742,8640731976.97358,0.4395300259067,0.996934705847545
"Mesa",500,0.75,8667299800.36923,3809538505.79742,8661119843.84287,0.4395300259067,0.999286980181983
"Mesa",500,1,8667299800.36923,3809538505.79742,8665701909.5827,0.4395300259067,0.999815641454278
"Mesa",500,1.25,8667299800.36923,3809538505.79742,8667252658.27575,0.4395300259067,0.999994560925022
"Mesa",500,1.5,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",500,1.75,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",500,2,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",500,2.25,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",500,2.5,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",500,2.75,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",500,3,8667299800.36923,3809538505.79742,8667299800.36923,0.4395300259067,1
"Mesa",750,0,8667299800.36923,2399709599.32094,2399709599.32094,0.276869342770249,0.276869342770249
"Mesa",750,0.25,8667299800.36923,2399709599.32094,7781522155.69952,0.276869342770249,0.897802353089024
"Mesa",750,0.5,8667299800.36923,2399709599.32094,8491745122.51076,0.276869342770249,0.979745170710376
"Mesa",750,0.75,8667299800.36923,2399709599.32094,8603534448.32781,0.276869342770249,0.992642996837527
"Mesa",750,1,8667299800.36923,2399709599.32094,8644180393.60193,0.276869342770249,0.997332571008296
"Mesa",750,1.25,8667299800.36923,2399709599.32094,8659292700.59844,0.276869342770249,0.999076171361876
"Mesa",750,1.5,8667299800.36923,2399709599.32094,8665142380.29018,0.276869342770249,0.999751085098158
"Mesa",750,1.75,8667299800.36923,2399709599.32094,8667256913.64263,0.276869342770249,0.999995051893025
"Mesa",750,2,8667299800.36923,2399709599.32094,8667299800.36923,0.276869342770249,1
"Mesa",750,2.25,8667299800.36923,2399709599.32094,8667299800.36923,0.276869342770249,1
"Mesa",750,2.5,8667299800.36923,2399709599.32094,8667299800.36923,0.276869342770249,1
"Mesa",750,2.75,8667299800.36923,2399709599.32094,8667299800.36923,0.276869342770249,1
"Mesa",750,3,8667299800.36923,2399709599.32094,8667299800.36923,0.276869342770249,1
"Mesa",1000,0,8667299800.36923,1476277686.9653,1476277686.9653,0.170327290040482,0.170327290040482
"Mesa",1000,0.25,8667299800.36923,1476277686.9653,6092051281.27933,0.170327290040482,0.702877646048404
"Mesa",1000,0.5,8667299800.36923,1476277686.9653,7803978069.3906,0.170327290040482,0.900393230779689
"Mesa",1000,0.75,8667299800.36923,1476277686.9653,8287810480.03982,0.170327290040482,0.956215969324929
"Mesa",1000,1,8667299800.36923,1476277686.9653,8477959626.65355,0.170327290040482,0.978154652766527
"Mesa",1000,1.25,8667299800.36923,1476277686.9653,8571734007.54424,0.170327290040482,0.988973983244364
"Mesa",1000,1.5,8667299800.36923,1476277686.9653,8624285658.3258,0.170327290040482,0.99503719231662
"Mesa",1000,1.75,8667299800.36923,1476277686.9653,8649543317.44944,0.170327290040482,0.997951324711414
"Mesa",1000,2,8667299800.36923,1476277686.9653,8659508968.19239,0.170327290040482,0.999101123492175
"Mesa",1000,2.25,8667299800.36923,1476277686.9653,8664352922.72446,0.170327290040482,0.999660000494659
"Mesa",1000,2.5,8667299800.36923,1476277686.9653,8666677944.52467,0.170327290040482,0.999928252643975
"Mesa",1000,2.75,8667299800.36923,1476277686.9653,8667299800.36923,0.170327290040482,1
"Mesa",1000,3,8667299800.36923,1476277686.9653,8667299800.36923,0.170327290040482,1
"Mesa",1250,0,8667299800.36923,885867576.585108,885867576.585108,0.102208022912438,0.102208022912438
"Mesa",1250,0.25,8667299800.36923,885867576.585108,4238501719.50289,0.102208022912438,0.489022165740976
"Mesa",1250,0.5,8667299800.36923,885867576.585108,6457320110.30408,0.102208022912438,0.745020970663666
"Mesa",1250,0.75,8667299800.36923,885867576.585108,7433977863.42976,0.102208022912438,0.857704017935676
"Mesa",1250,1,8667299800.36923,885867576.585108,7893833922.87459,0.102208022912438,0.910760456507841
"Mesa",1250,1.25,8667299800.36923,885867576.585108,8162426637.17059,0.102208022912438,0.941749659660195
"Mesa",1250,1.5,8667299800.36923,885867576.585108,8337558521.24719,0.102208022912438,0.961955708615504
"Mesa",1250,1.75,8667299800.36923,885867576.585108,8453039646.51474,0.102208022912438,0.975279480485334
"Mesa",1250,2,8667299800.36923,885867576.585108,8528603671.82684,0.102208022912438,0.983997769577963
"Mesa",1250,2.25,8667299800.36923,885867576.585108,8576700435.32263,0.102208022912438,0.989546990742983
"Mesa",1250,2.5,8667299800.36923,885867576.585108,8608199995.49562,0.102208022912438,0.993181289878644
"Mesa",1250,2.75,8667299800.36923,885867576.585108,8626454274.15727,0.102208022912438,0.995287398941684
"Mesa",1250,3,8667299800.36923,885867576.585108,8639019162.70286,0.102208022912438,0.996737087868454
"Mesa",1500,0,8667299800.36923,517753605.411855,517753605.411855,0.0597364366454474,0.0597364366454474
"Mesa",1500,0.25,8667299800.36923,517753605.411855,2689433527.27614,0.0597364366454474,0.310296584775062
"Mesa",1500,0.5,8667299800.36923,517753605.411855,4897315014.48225,0.0597364366454474,0.565033531466584
"Mesa",1500,0.75,8667299800.36923,517753605.411855,6229483591.88174,0.0597364366454474,0.718734061975838
"Mesa",1500,1,8667299800.36923,517753605.411855,6993263970.97114,0.0597364366454474,0.806856129595658
"Mesa",1500,1.25,8667299800.36923,517753605.411855,7449223286.59252,0.0597364366454474,0.859462976724907
"Mesa",1500,1.5,8667299800.36923,517753605.411855,7761925691.07441,0.0597364366454474,0.895541387727669
"Mesa",1500,1.75,8667299800.36923,517753605.411855,7990581046.21983,0.0597364366454474,0.921922770674141
"Mesa",1500,2,8667299800.36923,517753605.411855,8161359150.28739,0.0597364366454474,0.941626497094253
"Mesa",1500,2.25,8667299800.36923,517753605.411855,8288929602.76868,0.0597364366454474,0.95634508943784
"Mesa",1500,2.5,8667299800.36923,517753605.411855,8389380730.50183,0.0597364366454474,0.967934757505959
"Mesa",1500,2.75,8667299800.36923,517753605.411855,8471719739.3192,0.0597364366454474,0.977434718360418
"Mesa",1500,3,8667299800.36923,517753605.411855,8535319943.22847,0.0597364366454474,0.984772667361163
"Mesa",1750,0,8667299800.36923,295995255.75218,295995255.75218,0.0341508038916077,0.0341508038916077
"Mesa",1750,0.25,8667299800.36923,295995255.75218,1636346905.95013,0.0341508038916077,0.188795466135881
"Mesa",1750,0.5,8667299800.36923,295995255.75218,3364381460.2964,0.0341508038916077,0.388169503511702
"Mesa",1750,0.75,8667299800.36923,295995255.75218,4715682699.90953,0.0341508038916077,0.54407748762869
"Mesa",1750,1,8667299800.36923,295995255.75218,5700801708.56395,0.0341508038916077,0.657736762298346
"Mesa",1750,1.25,8667299800.36923,295995255.75218,6377284441.62386,0.0341508038916077,0.735786760410916
"Mesa",1750,1.5,8667299800.36923,295995255.75218,6846927161.94002,0.0341508038916077,0.789972346594996
"Mesa",1750,1.75,8667299800.36923,295995255.75218,7185649240.70097,0.0341508038916077,0.829052808395397
"Mesa",1750,2,8667299800.36923,295995255.75218,7444932264.46175,0.0341508038916077,0.858967894954389
"Mesa",1750,2.25,8667299800.36923,295995255.75218,7633513866.33766,0.0341508038916077,0.880725721061648
"Mesa",1750,2.5,8667299800.36923,295995255.75218,7775337887.18304,0.0341508038916077,0.89708883577003
"Mesa",1750,2.75,8667299800.36923,295995255.75218,7890180634.20519,0.0341508038916077,0.91033895399223
"Mesa",1750,3,8667299800.36923,295995255.75218,7986363097.55305,0.0341508038916077,0.921436119841249
"Mesa",2000,0,8667299800.36923,164982020.249545,164982020.249545,0.0190349963713632,0.0190349963713632
"Mesa",2000,0.25,8667299800.36923,164982020.249545,984833696.380348,0.0190349963713632,0.113626356427453
"Mesa",2000,0.5,8667299800.36923,164982020.249545,2200307890.19737,0.0190349963713632,0.253863133949012
"Mesa",2000,0.75,8667299800.36923,164982020.249545,3336077859.48938,0.0190349963713632,0.384903941980554
"Mesa",2000,1,8667299800.36923,164982020.249545,4321961388.39029,0.0190349963713632,0.498651424080909
"Mesa",2000,1.25,8667299800.36923,164982020.249545,5110466339.59284,0.0190349963713632,0.58962611854907
"Mesa",2000,1.5,8667299800.36923,164982020.249545,5742249362.78464,0.0190349963713632,0.662518834590217
"Mesa",2000,1.75,8667299800.36923,164982020.249545,6250837692.47503,0.0190349963713632,0.721197816672817
"Mesa",2000,2,8667299800.36923,164982020.249545,6662949155.03868,0.0190349963713632,0.76874566572104
"Mesa",2000,2.25,8667299800.36923,164982020.249545,6979250366.07128,0.0190349963713632,0.805239293300315
"Mesa",2000,2.5,8667299800.36923,164982020.249545,7209516833.81238,0.0190349963713632,0.831806560274429
"Mesa",2000,2.75,8667299800.36923,164982020.249545,7386753589.39532,0.0190349963713632,0.852255461277645
"Mesa",2000,3,8667299800.36923,164982020.249545,7534055418.76112,0.0190349963713632,0.869250584644616
"Mesa",2250,0,8667299800.36923,89398180.7940545,89398180.7940545,0.0103144211984275,0.0103144211984275
"Mesa",2250,0.25,8667299800.36923,89398180.7940545,559772532.227519,0.0103144211984275,0.0645844201908964
"Mesa",2250,0.5,8667299800.36923,89398180.7940545,1317361548.31492,0.0103144211984275,0.151992151957037
"Mesa",2250,0.75,8667299800.36923,89398180.7940545,2147685613.34587,0.0103144211984275,0.247791776310123
"Mesa",2250,1,8667299800.36923,89398180.7940545,2945858251.19139,0.0103144211984275,0.339881891597415
"Mesa",2250,1.25,8667299800.36923,89398180.7940545,3681233068.25666,0.0103144211984275,0.424726633789665
"Mesa",2250,1.5,8667299800.36923,89398180.7940545,4332966217.29476,0.0103144211984275,0.499921119275253
"Mesa",2250,1.75,8667299800.36923,89398180.7940545,4908948956.18383,0.0103144211984275,0.566375811296468
"Mesa",2250,2,8667299800.36923,89398180.7940545,5416108058.39679,0.0103144211984275,0.624889894562787
"Mesa",2250,2.25,8667299800.36923,89398180.7940545,5858071490.7964,0.0103144211984275,0.675881950056331
"Mesa",2250,2.5,8667299800.36923,89398180.7940545,6234007757.51081,0.0103144211984275,0.719256042954144
"Mesa",2250,2.75,8667299800.36923,89398180.7940545,6552029449.13114,0.0103144211984275,0.755948173022932
"Mesa",2250,3,8667299800.36923,89398180.7940545,6820265415.60113,0.0103144211984275,0.786896215971505
"Mesa",2500,0,8667299800.36923,47191182.6066099,47191182.6066099,0.00544473869527388,0.00544473869527388
"Mesa",2500,0.25,8667299800.36923,47191182.6066099,314960709.073498,0.00544473869527388,0.0363389655749626
"Mesa",2500,0.5,8667299800.36923,47191182.6066099,763345894.258994,0.00544473869527388,0.0880719384169076
"Mesa",2500,0.75,8667299800.36923,47191182.6066099,1296047497.55629,0.00544473869527388,0.149533018057259
"Mesa",2500,1,8667299800.36923,47191182.6066099,1857495009.49122,0.00544473869527388,0.214310691019605
"Mesa",2500,1.25,8667299800.36923,47191182.6066099,2406840030.31428,0.00544473869527388,0.277692024707827
"Mesa",2500,1.5,8667299800.36923,47191182.6066099,2924682884.04889,0.00544473869527388,0.337438758484425
"Mesa",2500,1.75,8667299800.36923,47191182.6066099,3407604363.12926,0.00544473869527388,0.3931563972189
"Mesa",2500,2,8667299800.36923,47191182.6066099,3855705917.96025,0.00544473869527388,0.444856645872108
"Mesa",2500,2.25,8667299800.36923,47191182.6066099,4275461380.43084,0.00544473869527388,0.493286430480771
"Mesa",2500,2.5,8667299800.36923,47191182.6066099,4661067371.70441,0.00544473869527388,0.537776179324713
"Mesa",2500,2.75,8667299800.36923,47191182.6066099,5014207443.08865,0.00544473869527388,0.578520134133937
"Mesa",2500,3,8667299800.36923,47191182.6066099,5343173911.15445,0.00544473869527388,0.616475030773348
"Mesa",2750,0,8667299800.36923,23567394.3936543,23567394.3936543,0.00271911609572457,0.00271911609572457
"Mesa",2750,0.25,8667299800.36923,23567394.3936543,174315674.585199,0.00271911609572457,0.0201118778166382
"Mesa",2750,0.5,8667299800.36923,23567394.3936543,437706211.887371,0.00271911609572457,0.0505008736248774
"Mesa",2750,0.75,8667299800.36923,23567394.3936543,780490163.783514,0.00271911609572457,0.0900499788584982
"Mesa",2750,1,8667299800.36923,23567394.3936543,1168061567.85625,0.00271911609572457,0.13476648953651
"Mesa",2750,1.25,8667299800.36923,23567394.3936543,1581571250.80841,0.00271911609572457,0.182475659921332
"Mesa",2750,1.5,8667299800.36923,23567394.3936543,1990670597.00238,0.00271911609572457,0.229675982468909
"Mesa",2750,1.75,8667299800.36923,23567394.3936543,2378131374.19104,0.00271911609572457,0.274379729438888
"Mesa",2750,2,8667299800.36923,23567394.3936543,2741029976.68868,0.00271911609572457,0.316249586355824
"Mesa",2750,2.25,8667299800.36923,23567394.3936543,3071794924.26344,0.00271911609572457,0.354411984702847
"Mesa",2750,2.5,8667299800.36923,23567394.3936543,3375121111.51285,0.00271911609572457,0.389408603515604
"Mesa",2750,2.75,8667299800.36923,23567394.3936543,3656650257.83346,0.00271911609572457,0.421890362864532
"Mesa",2750,3,8667299800.36923,23567394.3936543,3919103579.8772,0.00271911609572457,0.452171226350132
"Mesa",3000,0,8667299800.36923,10991942.9512482,10991942.9512482,0.00126820846219949,0.00126820846219949
"Mesa",3000,0.25,8667299800.36923,10991942.9512482,94293399.1455685,0.00126820846219949,0.010879212824916
"Mesa",3000,0.5,8667299800.36923,10991942.9512482,242075791.900375,0.00126820846219949,0.027929781763181
"Mesa",3000,0.75,8667299800.36923,10991942.9512482,440561678.387167,0.00126820846219949,0.0508303264608891
"Mesa",3000,1,8667299800.36923,10991942.9512482,671401383.809917,0.00126820846219949,0.0774637314127885
"Mesa",3000,1.25,8667299800.36923,10991942.9512482,923214182.315398,0.00126820846219949,0.106516931867993
"Mesa",3000,1.5,8667299800.36923,10991942.9512482,1186768854.13799,0.00126820846219949,0.136924864891305
"Mesa",3000,1.75,8667299800.36923,10991942.9512482,1449697987.17741,0.00126820846219949,0.167260625635178
"Mesa",3000,2,8667299800.36923,10991942.9512482,1708271729.34225,0.00126820846219949,0.19709387798833
"Mesa",3000,2.25,8667299800.36923,10991942.9512482,1961965466.34768,0.00126820846219949,0.226364093955086
"Mesa",3000,2.5,8667299800.36923,10991942.9512482,2210042030.73963,0.00126820846219949,0.254986221965633
"Mesa",3000,2.75,8667299800.36923,10991942.9512482,2454936839.19046,0.00126820846219949,0.283241251108664
"Mesa",3000,3,8667299800.36923,10991942.9512482,2695191969.32651,0.00126820846219949,0.310960971860197
"Mesa",3250,0,8667299800.36923,5007592.36952045,5007592.36952045,0.000577756912170861,0.000577756912170861
"Mesa",3250,0.25,8667299800.36923,5007592.36952045,42922566.5031245,0.000577756912170861,0.00495224204674401
"Mesa",3250,0.5,8667299800.36923,5007592.36952045,114827932.367619,0.000577756912170861,0.0132484089638537
"Mesa",3250,0.75,8667299800.36923,5007592.36952045,216084899.99597,0.000577756912170861,0.0249310517661758
"Mesa",3250,1,8667299800.36923,5007592.36952045,337677110.057258,0.000577756912170861,0.0389598972961421
"Mesa",3250,1.25,8667299800.36923,5007592.36952045,474007150.094621,0.000577756912170861,0.0546891374490621
"Mesa",3250,1.5,8667299800.36923,5007592.36952045,626117649.039539,0.000577756912170861,0.0722390667751987
"Mesa",3250,1.75,8667299800.36923,5007592.36952045,788878600.091236,0.000577756912170861,0.0910178046521051
"Mesa",3250,2,8667299800.36923,5007592.36952045,956776973.477152,0.000577756912170861,0.110389278727429
"Mesa",3250,2.25,8667299800.36923,5007592.36952045,1131564278.76204,0.000577756912170861,0.130555571495731
"Mesa",3250,2.5,8667299800.36923,5007592.36952045,1309573773.90044,0.000577756912170861,0.151093628242172
"Mesa",3250,2.75,8667299800.36923,5007592.36952045,1487499391.3244,0.000577756912170861,0.171622007497772
"Mesa",3250,3,8667299800.36923,5007592.36952045,1667519905.74303,0.000577756912170861,0.192392087980156
