"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Moffat",250,0,12304375558.9485,9189805889.47436,9189805889.47436,0.746873000214219,0.746873000214219
"Moffat",250,0.25,12304375558.9485,9189805889.47436,12304370835.2751,0.746873000214219,0.999999616098085
"Moffat",250,0.5,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,0.75,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,1,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,1.25,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,1.5,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,1.75,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,2,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,2.25,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,2.5,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,2.75,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",250,3,12304375558.9485,9189805889.47436,12304375558.9485,0.746873000214219,1
"Moffat",500,0,12304375558.9485,6526489953.79211,6526489953.79211,0.530420249489674,0.530420249489674
"Moffat",500,0.25,12304375558.9485,6526489953.79211,12300982859.3545,0.530420249489674,0.999724268852352
"Moffat",500,0.5,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,0.75,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,1,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,1.25,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,1.5,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,1.75,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,2,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,2.25,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,2.5,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,2.75,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",500,3,12304375558.9485,6526489953.79211,12304375558.9485,0.530420249489674,1
"Moffat",750,0,12304375558.9485,4372847082.00924,4372847082.00924,0.355389597875939,0.355389597875939
"Moffat",750,0.25,12304375558.9485,4372847082.00924,12014494082.7272,0.355389597875939,0.976440781181255
"Moffat",750,0.5,12304375558.9485,4372847082.00924,12301464285.7901,0.355389597875939,0.999763395294262
"Moffat",750,0.75,12304375558.9485,4372847082.00924,12304375166.2271,0.355389597875939,0.999999968082788
"Moffat",750,1,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,1.25,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,1.5,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,1.75,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,2,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,2.25,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,2.5,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,2.75,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",750,3,12304375558.9485,4372847082.00924,12304375558.9485,0.355389597875939,1
"Moffat",1000,0,12304375558.9485,2779326865.2165,2779326865.2165,0.225881179577228,0.225881179577228
"Moffat",1000,0.25,12304375558.9485,2779326865.2165,10445892757.5293,0.225881179577228,0.848957568588874
"Moffat",1000,0.5,12304375558.9485,2779326865.2165,12171391667.9194,0.225881179577228,0.989192146290401
"Moffat",1000,0.75,12304375558.9485,2779326865.2165,12296102753.3405,0.225881179577228,0.999327653356451
"Moffat",1000,1,12304375558.9485,2779326865.2165,12304001146.4595,0.225881179577228,0.999969570785025
"Moffat",1000,1.25,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,1.5,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,1.75,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,2,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,2.25,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,2.5,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,2.75,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1000,3,12304375558.9485,2779326865.2165,12304375558.9485,0.225881179577228,1
"Moffat",1250,0,12304375558.9485,1702693844.59509,1702693844.59509,0.138381166637651,0.138381166637651
"Moffat",1250,0.25,12304375558.9485,1702693844.59509,7736637885.29773,0.138381166637651,0.628771273132278
"Moffat",1250,0.5,12304375558.9485,1702693844.59509,11161958551.8558,0.138381166637651,0.907153597383339
"Moffat",1250,0.75,12304375558.9485,1702693844.59509,12076326752.3266,0.138381166637651,0.981466039822226
"Moffat",1250,1,12304375558.9485,1702693844.59509,12268638307.6985,0.138381166637651,0.997095565632014
"Moffat",1250,1.25,12304375558.9485,1702693844.59509,12299354970.5246,0.138381166637651,0.999591967231506
"Moffat",1250,1.5,12304375558.9485,1702693844.59509,12303092725.5071,0.138381166637651,0.999895741686748
"Moffat",1250,1.75,12304375558.9485,1702693844.59509,12304166921.2122,0.138381166637651,0.999983043614423
"Moffat",1250,2,12304375558.9485,1702693844.59509,12304375558.9485,0.138381166637651,1
"Moffat",1250,2.25,12304375558.9485,1702693844.59509,12304375558.9485,0.138381166637651,1
"Moffat",1250,2.5,12304375558.9485,1702693844.59509,12304375558.9485,0.138381166637651,1
"Moffat",1250,2.75,12304375558.9485,1702693844.59509,12304375558.9485,0.138381166637651,1
"Moffat",1250,3,12304375558.9485,1702693844.59509,12304375558.9485,0.138381166637651,1
"Moffat",1500,0,12304375558.9485,1028097133.07897,1028097133.07897,0.0835554090618828,0.0835554090618828
"Moffat",1500,0.25,12304375558.9485,1028097133.07897,4982549223.3833,0.0835554090618828,0.404941250331041
"Moffat",1500,0.5,12304375558.9485,1028097133.07897,8814960873.01962,0.0835554090618828,0.716408632911798
"Moffat",1500,0.75,12304375558.9485,1028097133.07897,10771250332.0436,0.0835554090618828,0.875399997378172
"Moffat",1500,1,12304375558.9485,1028097133.07897,11636903157.1283,0.0835554090618828,0.945753248620999
"Moffat",1500,1.25,12304375558.9485,1028097133.07897,12015391705.6197,0.0835554090618828,0.976513732700669
"Moffat",1500,1.5,12304375558.9485,1028097133.07897,12176000738.9765,0.0835554090618828,0.989566734259939
"Moffat",1500,1.75,12304375558.9485,1028097133.07897,12244570191.2323,0.0835554090618828,0.995139504038249
"Moffat",1500,2,12304375558.9485,1028097133.07897,12282181316.0358,0.0835554090618828,0.998196231673331
"Moffat",1500,2.25,12304375558.9485,1028097133.07897,12298266869.4229,0.0835554090618828,0.999503535185808
"Moffat",1500,2.5,12304375558.9485,1028097133.07897,12303656443.7464,0.0835554090618828,0.999941556140041
"Moffat",1500,2.75,12304375558.9485,1028097133.07897,12304375558.9485,0.0835554090618828,1
"Moffat",1500,3,12304375558.9485,1028097133.07897,12304375558.9485,0.0835554090618828,1
"Moffat",1750,0,12304375558.9485,625387330.797566,625387330.797566,0.0508264176269186,0.0508264176269186
"Moffat",1750,0.25,12304375558.9485,625387330.797566,3026416635.46411,0.0508264176269186,0.245962635077658
"Moffat",1750,0.5,12304375558.9485,625387330.797566,6062461780.31024,0.0508264176269186,0.492707797422621
"Moffat",1750,0.75,12304375558.9485,625387330.797566,8289377769.84833,0.0508264176269186,0.673693494654411
"Moffat",1750,1,12304375558.9485,625387330.797566,9746522148.71964,0.0508264176269186,0.792118389269367
