"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Montezuma",250,0,5299359781.23506,3653830434.48711,3653830434.48711,0.689485255827554,0.689485255827554
"Montezuma",250,0.25,5299359781.23506,3653830434.48711,5294678114.43877,0.689485255827554,0.999116559926188
"Montezuma",250,0.5,5299359781.23506,3653830434.48711,5299103451.01645,0.689485255827554,0.999951629964904
"Montezuma",250,0.75,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,1,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,1.25,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,1.5,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,1.75,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,2,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,2.25,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,2.5,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,2.75,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",250,3,5299359781.23506,3653830434.48711,5299359781.23506,0.689485255827554,1
"Montezuma",500,0,5299359781.23506,2340318479.99042,2340318479.99042,0.441622870799874,0.441622870799874
"Montezuma",500,0.25,5299359781.23506,2340318479.99042,5272941154.31421,0.441622870799874,0.995014751213081
"Montezuma",500,0.5,5299359781.23506,2340318479.99042,5297817529.85173,0.441622870799874,0.999708974018185
"Montezuma",500,0.75,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,1,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,1.25,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,1.5,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,1.75,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,2,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,2.25,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,2.5,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,2.75,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",500,3,5299359781.23506,2340318479.99042,5299359781.23506,0.441622870799874,1
"Montezuma",750,0,5299359781.23506,1412583653.1584,1412583653.1584,0.266557416644994,0.266557416644994
"Montezuma",750,0.25,5299359781.23506,1412583653.1584,4891006138.08605,0.266557416644994,0.922942834605233
"Montezuma",750,0.5,5299359781.23506,1412583653.1584,5264298456.6032,0.266557416644994,0.993383856526215
"Montezuma",750,0.75,5299359781.23506,1412583653.1584,5294968869.71,0.266557416644994,0.999171426038933
"Montezuma",750,1,5299359781.23506,1412583653.1584,5299026187.57313,0.266557416644994,0.999937050195552
"Montezuma",750,1.25,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,1.5,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,1.75,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,2,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,2.25,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,2.5,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,2.75,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",750,3,5299359781.23506,1412583653.1584,5299359781.23506,0.266557416644994,1
"Montezuma",1000,0,5299359781.23506,804896825.958878,804896825.958878,0.151885672833349,0.151885672833349
"Montezuma",1000,0.25,5299359781.23506,804896825.958878,3828807731.42893,0.151885672833349,0.722503828667506
"Montezuma",1000,0.5,5299359781.23506,804896825.958878,4895183524.28761,0.151885672833349,0.92373111590222
"Montezuma",1000,0.75,5299359781.23506,804896825.958878,5167977199.70316,0.151885672833349,0.975207838879495
"Montezuma",1000,1,5299359781.23506,804896825.958878,5261263730.56192,0.151885672833349,0.992811197532194
"Montezuma",1000,1.25,5299359781.23506,804896825.958878,5289783500.43991,0.151885672833349,0.998192936280895
"Montezuma",1000,1.5,5299359781.23506,804896825.958878,5296484066.01939,0.151885672833349,0.999457346673112
"Montezuma",1000,1.75,5299359781.23506,804896825.958878,5298839127.83039,0.151885672833349,0.999901751640545
"Montezuma",1000,2,5299359781.23506,804896825.958878,5299359781.23506,0.151885672833349,1
"Montezuma",1000,2.25,5299359781.23506,804896825.958878,5299359781.23506,0.151885672833349,1
"Montezuma",1000,2.5,5299359781.23506,804896825.958878,5299359781.23506,0.151885672833349,1
"Montezuma",1000,2.75,5299359781.23506,804896825.958878,5299359781.23506,0.151885672833349,1
"Montezuma",1000,3,5299359781.23506,804896825.958878,5299359781.23506,0.151885672833349,1
"Montezuma",1250,0,5299359781.23506,429886146.742937,429886146.742937,0.0811203927435077,0.0811203927435077
"Montezuma",1250,0.25,5299359781.23506,429886146.742937,2575928612.75005,0.0811203927435077,0.486082983433465
"Montezuma",1250,0.5,5299359781.23506,429886146.742937,4036744446.56006,0.0811203927435077,0.761741910948207
"Montezuma",1250,0.75,5299359781.23506,429886146.742937,4629722165.27773,0.0811203927435077,0.873638015986666
"Montezuma",1250,1,5299359781.23506,429886146.742937,4900198296.905,0.0811203927435077,0.924677413723922
"Montezuma",1250,1.25,5299359781.23506,429886146.742937,5062185136.52221,0.0811203927435077,0.955244660769651
"Montezuma",1250,1.5,5299359781.23506,429886146.742937,5152346122.59212,0.0811203927435077,0.972258222745413
"Montezuma",1250,1.75,5299359781.23506,429886146.742937,5211135026.95742,0.0811203927435077,0.983351808912836
"Montezuma",1250,2,5299359781.23506,429886146.742937,5252577138.91651,0.0811203927435077,0.991172019970373
"Montezuma",1250,2.25,5299359781.23506,429886146.742937,5275496278.31774,0.0811203927435077,0.995496908324319
"Montezuma",1250,2.5,5299359781.23506,429886146.742937,5288559789.72308,0.0811203927435077,0.997962019572588
"Montezuma",1250,2.75,5299359781.23506,429886146.742937,5295334840.56683,0.0811203927435077,0.9992404854861
"Montezuma",1250,3,5299359781.23506,429886146.742937,5298560664.75116,0.0811203927435077,0.999849205089505
"Montezuma",1500,0,5299359781.23506,215034748.157352,215034748.157352,0.0405774955908423,0.0405774955908423
"Montezuma",1500,0.25,5299359781.23506,215034748.157352,1508507777.80415,0.0405774955908423,0.284658494625284
"Montezuma",1500,0.5,5299359781.23506,215034748.157352,2928447261.04127,0.0405774955908423,0.552603971410065
"Montezuma",1500,0.75,5299359781.23506,215034748.157352,3791767339.55867,0.0405774955908423,0.715514231169065
"Montezuma",1500,1,5299359781.23506,215034748.157352,4276788718.62778,0.0405774955908423,0.807038754713695
"Montezuma",1500,1.25,5299359781.23506,215034748.157352,4547193444.94871,0.0405774955908423,0.858064678123995
"Montezuma",1500,1.5,5299359781.23506,215034748.157352,4717828153.47468,0.0405774955908423,0.890263795672154
"Montezuma",1500,1.75,5299359781.23506,215034748.157352,4827069341.66936,0.0405774955908423,0.910877830707387
"Montezuma",1500,2,5299359781.23506,215034748.157352,4904116343.95361,0.0405774955908423,0.925416757193766
"Montezuma",1500,2.25,5299359781.23506,215034748.157352,4967823063.34322,0.0405774955908423,0.937438345087307
"Montezuma",1500,2.5,5299359781.23506,215034748.157352,5021872243.07689,0.0405774955908423,0.947637535548966
"Montezuma",1500,2.75,5299359781.23506,215034748.157352,5069590915.59768,0.0405774955908423,0.956642146387007
"Montezuma",1500,3,5299359781.23506,215034748.157352,5112381627.63513,0.0405774955908423,0.964716841030115
"Montezuma",1750,0,5299359781.23506,102122125.317708,102122125.317708,0.0192706533493575,0.0192706533493575
"Montezuma",1750,0.25,5299359781.23506,102122125.317708,800644754.534479,0.0192706533493575,0.151083298282473
"Montezuma",1750,0.5,5299359781.23506,102122125.317708,1792855749.28261,0.0192706533493575,0.338315536837314
"Montezuma",1750,0.75,5299359781.23506,102122125.317708,2639292969.14078,0.0192706533493575,0.498039966730787
"Montezuma",1750,1,5299359781.23506,102122125.317708,3305366010.91443,0.0192706533493575,0.623729308324879
"Montezuma",1750,1.25,5299359781.23506,102122125.317708,3787240036.58124,0.0192706533493575,0.714659919862735
"Montezuma",1750,1.5,5299359781.23506,102122125.317708,4133013945.97309,0.0192706533493575,0.779908161851555
"Montezuma",1750,1.75,5299359781.23506,102122125.317708,4393599503.8388,0.0192706533493575,0.829081188145871
"Montezuma",1750,2,5299359781.23506,102122125.317708,4585621942.14857,0.0192706533493575,0.865316213929498
"Montezuma",1750,2.25,5299359781.23506,102122125.317708,4732750701.03953,0.0192706533493575,0.893079710835661
