"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Ouray",250,0,1402483393.08932,965667862.183972,965667862.183972,0.688541388042283,0.688541388042283
"Ouray",250,0.25,1402483393.08932,965667862.183972,1402070332.25601,0.688541388042283,0.999705478984389
"Ouray",250,0.5,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,0.75,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,1,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,1.25,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,1.5,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,1.75,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,2,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,2.25,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,2.5,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,2.75,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",250,3,1402483393.08932,965667862.183972,1402483393.08932,0.688541388042283,1
"Ouray",500,0,1402483393.08932,632525621.950221,632525621.950221,0.451004001235925,0.451004001235925
"Ouray",500,0.25,1402483393.08932,632525621.950221,1395358191.48316,0.451004001235925,0.994919582191651
"Ouray",500,0.5,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,0.75,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,1,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,1.25,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,1.5,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,1.75,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,2,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,2.25,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,2.5,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,2.75,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",500,3,1402483393.08932,632525621.950221,1402483393.08932,0.451004001235925,1
"Ouray",750,0,1402483393.08932,403140810.739902,403140810.739902,0.287447831986005,0.287447831986005
"Ouray",750,0.25,1402483393.08932,403140810.739902,1291197487.55994,0.287447831986005,0.920650821194935
"Ouray",750,0.5,1402483393.08932,403140810.739902,1393778065.83402,0.287447831986005,0.993792919546715
"Ouray",750,0.75,1402483393.08932,403140810.739902,1402297636.96604,0.287447831986005,0.999867551997977
"Ouray",750,1,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,1.25,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,1.5,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,1.75,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,2,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,2.25,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,2.5,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,2.75,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",750,3,1402483393.08932,403140810.739902,1402483393.08932,0.287447831986005,1
"Ouray",1000,0,1402483393.08932,252144620.525892,252144620.525892,0.179784389439707,0.179784389439707
"Ouray",1000,0.25,1402483393.08932,252144620.525892,1012653371.30126,0.179784389439707,0.722043039005712
"Ouray",1000,0.5,1402483393.08932,252144620.525892,1303815296.08323,0.179784389439707,0.929647582643566
"Ouray",1000,0.75,1402483393.08932,252144620.525892,1374659847.60008,0.179784389439707,0.98016122998223
"Ouray",1000,1,1402483393.08932,252144620.525892,1395068303.24108,0.179784389439707,0.994712885810431
"Ouray",1000,1.25,1402483393.08932,252144620.525892,1400005780.04243,0.179784389439707,0.998233410064535
"Ouray",1000,1.5,1402483393.08932,252144620.525892,1402278865.28573,0.179784389439707,0.999854167397205
"Ouray",1000,1.75,1402483393.08932,252144620.525892,1402483393.08932,0.179784389439707,1
"Ouray",1000,2,1402483393.08932,252144620.525892,1402483393.08932,0.179784389439707,1
