"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Park",250,0,5720974225.24531,3854642098.09668,3854642098.09668,0.673773722155059,0.673773722155059
"Park",250,0.25,5720974225.24531,3854642098.09668,5705853345.74502,0.673773722155059,0.997356939761489
"Park",250,0.5,5720974225.24531,3854642098.09668,5718057544.06551,0.673773722155059,0.999490177535336
"Park",250,0.75,5720974225.24531,3854642098.09668,5720974182.81791,0.673773722155059,0.999999992583885
"Park",250,1,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,1.25,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,1.5,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,1.75,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,2,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,2.25,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,2.5,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,2.75,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",250,3,5720974225.24531,3854642098.09668,5720974225.24531,0.673773722155059,1
"Park",500,0,5720974225.24531,2614330430.69832,2614330430.69832,0.456972943377702,0.456972943377702
"Park",500,0.25,5720974225.24531,2614330430.69832,5631848806.09861,0.456972943377702,0.984421286368778
"Park",500,0.5,5720974225.24531,2614330430.69832,5713064627.8184,0.456972943377702,0.998617438723635
"Park",500,0.75,5720974225.24531,2614330430.69832,5720766042.12704,0.456972943377702,0.999963610547772
"Park",500,1,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,1.25,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,1.5,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,1.75,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,2,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,2.25,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,2.5,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,2.75,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",500,3,5720974225.24531,2614330430.69832,5720974225.24531,0.456972943377702,1
"Park",750,0,5720974225.24531,1823354928.78443,1823354928.78443,0.318714061101411,0.318714061101411
"Park",750,0.25,5720974225.24531,1823354928.78443,4937281289.0214,0.318714061101411,0.863014076734404
"Park",750,0.5,5720974225.24531,1823354928.78443,5546474050.58728,0.318714061101411,0.969498171502329
"Park",750,0.75,5720974225.24531,1823354928.78443,5683241567.45755,0.318714061101411,0.993404504844428
"Park",750,1,5720974225.24531,1823354928.78443,5711530804.65947,0.318714061101411,0.998349333485166
"Park",750,1.25,5720974225.24531,1823354928.78443,5719334724.24689,0.318714061101411,0.999713422760902
"Park",750,1.5,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",750,1.75,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",750,2,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",750,2.25,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",750,2.5,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",750,2.75,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",750,3,5720974225.24531,1823354928.78443,5720974225.24531,0.318714061101411,1
"Park",1000,0,5720974225.24531,1289264847.99945,1289264847.99945,0.225357569749262,0.225357569749262
"Park",1000,0.25,5720974225.24531,1289264847.99945,3927898513.37776,0.225357569749262,0.686578606847216
"Park",1000,0.5,5720974225.24531,1289264847.99945,4950400942.27836,0.225357569749262,0.865307331823557
"Park",1000,0.75,5720974225.24531,1289264847.99945,5375060962.28802,0.225357569749262,0.939535951511395
"Park",1000,1,5720974225.24531,1289264847.99945,5565304839.75686,0.225357569749262,0.972789706899654
"Park",1000,1.25,5720974225.24531,1289264847.99945,5654909976.64585,0.225357569749262,0.988452272987365
"Park",1000,1.5,5720974225.24531,1289264847.99945,5699362802.58696,0.225357569749262,0.996222422649104
"Park",1000,1.75,5720974225.24531,1289264847.99945,5714938536.47474,0.225357569749262,0.998944989343959
"Park",1000,2,5720974225.24531,1289264847.99945,5719859454.53545,0.225357569749262,0.999805143203593
"Park",1000,2.25,5720974225.24531,1289264847.99945,5720974225.24531,0.225357569749262,1
"Park",1000,2.5,5720974225.24531,1289264847.99945,5720974225.24531,0.225357569749262,1
"Park",1000,2.75,5720974225.24531,1289264847.99945,5720974225.24531,0.225357569749262,1
"Park",1000,3,5720974225.24531,1289264847.99945,5720974225.24531,0.225357569749262,1
"Park",1250,0,5720974225.24531,912746496.853178,912746496.853178,0.159543892511426,0.159543892511426
"Park",1250,0.25,5720974225.24531,912746496.853178,3019708136.96062,0.159543892511426,0.527831103247304
"Park",1250,0.5,5720974225.24531,912746496.853178,4239994126.57994,0.159543892511426,0.741131485590311
"Park",1250,0.75,5720974225.24531,912746496.853178,4817114371.80842,0.159543892511426,0.842009451913213
"Park",1250,1,5720974225.24531,912746496.853178,5171389595.61715,0.159543892511426,0.903935132725652
"Park",1250,1.25,5720974225.24531,912746496.853178,5400022296.53953,0.159543892511426,0.943899078012011
"Park",1250,1.5,5720974225.24531,912746496.853178,5542326673.88757,0.159543892511426,0.968773229117271
"Park",1250,1.75,5720974225.24531,912746496.853178,5626481498.28578,0.159543892511426,0.983483105632158
"Park",1250,2,5720974225.24531,912746496.853178,5667173938.05986,0.159543892511426,0.990595957075276
"Park",1250,2.25,5720974225.24531,912746496.853178,5690153382.65014,0.159543892511426,0.994612658372211
"Park",1250,2.5,5720974225.24531,912746496.853178,5704019301.06066,0.159543892511426,0.997036357180246
"Park",1250,2.75,5720974225.24531,912746496.853178,5713583331.82554,0.159543892511426,0.998708105800031
"Park",1250,3,5720974225.24531,912746496.853178,5718966036.72519,0.159543892511426,0.99964897787666
