"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Pueblo",250,0,6216713201.48736,4587679576.68279,4587679576.68279,0.737959019178363,0.737959019178363
"Pueblo",250,0.25,6216713201.48736,4587679576.68279,6196167242.78067,0.737959019178363,0.996695044786404
"Pueblo",250,0.5,6216713201.48736,4587679576.68279,6215780151.38477,0.737959019178363,0.999849912635125
"Pueblo",250,0.75,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,1,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,1.25,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,1.5,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,1.75,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,2,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,2.25,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,2.5,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,2.75,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",250,3,6216713201.48736,4587679576.68279,6216713201.48736,0.737959019178363,1
"Pueblo",500,0,6216713201.48736,3447344291.91495,3447344291.91495,0.554528442954416,0.554528442954416
"Pueblo",500,0.25,6216713201.48736,3447344291.91495,6068238851.40119,0.554528442954416,0.976116905304455
"Pueblo",500,0.5,6216713201.48736,3447344291.91495,6190004278.60478,0.554528442954416,0.995703690677545
"Pueblo",500,0.75,6216713201.48736,3447344291.91495,6213354071.88733,0.554528442954416,0.999459661481693
"Pueblo",500,1,6216713201.48736,3447344291.91495,6216632619.40471,0.554528442954416,0.999987037831722
"Pueblo",500,1.25,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,1.5,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,1.75,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,2,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,2.25,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,2.5,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,2.75,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",500,3,6216713201.48736,3447344291.91495,6216713201.48736,0.554528442954416,1
"Pueblo",750,0,6216713201.48736,2618358445.07833,2618358445.07833,0.4211805113435,0.4211805113435
"Pueblo",750,0.25,6216713201.48736,2618358445.07833,5672458380.66147,0.4211805113435,0.912452962974763
"Pueblo",750,0.5,6216713201.48736,2618358445.07833,6056707390.06645,0.4211805113435,0.974261992433135
