"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Rio Grande",250,0,2365536537.29253,1498593888.90927,1498593888.90927,0.633511199376559,0.633511199376559
"Rio Grande",250,0.25,2365536537.29253,1498593888.90927,2364087940.14421,0.633511199376559,0.999387624276572
"Rio Grande",250,0.5,2365536537.29253,1498593888.90927,2365517462.12209,0.633511199376559,0.999991936218214
"Rio Grande",250,0.75,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,1,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,1.25,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,1.5,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,1.75,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,2,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,2.25,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,2.5,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,2.75,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",250,3,2365536537.29253,1498593888.90927,2365536537.29253,0.633511199376559,1
"Rio Grande",500,0,2365536537.29253,946183722.13394,946183722.13394,0.3999869404752,0.3999869404752
"Rio Grande",500,0.25,2365536537.29253,946183722.13394,2329212090.76668,0.3999869404752,0.98464430967216
"Rio Grande",500,0.5,2365536537.29253,946183722.13394,2365157491.50159,0.3999869404752,0.999839763290497
"Rio Grande",500,0.75,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,1,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,1.25,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,1.5,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,1.75,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,2,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,2.25,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,2.5,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,2.75,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",500,3,2365536537.29253,946183722.13394,2365536537.29253,0.3999869404752,1
"Rio Grande",750,0,2365536537.29253,607365128.67167,607365128.67167,0.256755758829592,0.256755758829592
"Rio Grande",750,0.25,2365536537.29253,607365128.67167,1991761306.32896,0.256755758829592,0.841991351614726
"Rio Grande",750,0.5,2365536537.29253,607365128.67167,2289861149.4947,0.256755758829592,0.968009207803465
"Rio Grande",750,0.75,2365536537.29253,607365128.67167,2351453888.19942,0.256755758829592,0.994046742093768
"Rio Grande",750,1,2365536537.29253,607365128.67167,2364855610.70913,0.256755758829592,0.999712147086858
"Rio Grande",750,1.25,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
"Rio Grande",750,1.5,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
"Rio Grande",750,1.75,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
"Rio Grande",750,2,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
"Rio Grande",750,2.25,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
"Rio Grande",750,2.5,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
"Rio Grande",750,2.75,2365536537.29253,607365128.67167,2365536537.29253,0.256755758829592,1
