"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Saguache",250,0,8209672694.0351,5964282307.17869,5964282307.17869,0.726494530228002,0.726494530228002
"Saguache",250,0.25,8209672694.0351,5964282307.17869,8209516709.11548,0.726494530228002,0.99998099986133
"Saguache",250,0.5,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,0.75,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,1,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,1.25,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,1.5,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,1.75,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,2,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,2.25,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,2.5,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,2.75,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",250,3,8209672694.0351,5964282307.17869,8209672694.0351,0.726494530228002,1
"Saguache",500,0,8209672694.0351,4259527527.31301,4259527527.31301,0.518842551470761,0.518842551470761
"Saguache",500,0.25,8209672694.0351,4259527527.31301,8159635936.70759,0.518842551470761,0.99390514589408
"Saguache",500,0.5,8209672694.0351,4259527527.31301,8209234044.54234,0.518842551470761,0.999946569186239
"Saguache",500,0.75,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,1,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,1.25,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,1.5,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,1.75,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,2,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,2.25,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,2.5,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,2.75,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",500,3,8209672694.0351,4259527527.31301,8209672694.0351,0.518842551470761,1
"Saguache",750,0,8209672694.0351,3049778417.63476,3049778417.63476,0.371485993570808,0.371485993570808
"Saguache",750,0.25,8209672694.0351,3049778417.63476,7589852480.24804,0.371485993570808,0.924501227163733
"Saguache",750,0.5,8209672694.0351,3049778417.63476,8097767455.42615,0.371485993570808,0.986369098649906
"Saguache",750,0.75,8209672694.0351,3049778417.63476,8178016441.97471,0.371485993570808,0.996144029946117
"Saguache",750,1,8209672694.0351,3049778417.63476,8200039775.91722,0.371485993570808,0.998826637982185
"Saguache",750,1.25,8209672694.0351,3049778417.63476,8207338736.57513,0.371485993570808,0.999715706393306
"Saguache",750,1.5,8209672694.0351,3049778417.63476,8209424464.40083,0.371485993570808,0.999969763759955
"Saguache",750,1.75,8209672694.0351,3049778417.63476,8209672694.0351,0.371485993570808,1
"Saguache",750,2,8209672694.0351,3049778417.63476,8209672694.0351,0.371485993570808,1
"Saguache",750,2.25,8209672694.0351,3049778417.63476,8209672694.0351,0.371485993570808,1
"Saguache",750,2.5,8209672694.0351,3049778417.63476,8209672694.0351,0.371485993570808,1
"Saguache",750,2.75,8209672694.0351,3049778417.63476,8209672694.0351,0.371485993570808,1
"Saguache",750,3,8209672694.0351,3049778417.63476,8209672694.0351,0.371485993570808,1
"Saguache",1000,0,8209672694.0351,2212582410.46293,2212582410.46293,0.269509211015261,0.269509211015261
"Saguache",1000,0.25,8209672694.0351,2212582410.46293,6342836675.93717,0.269509211015261,0.772605305025825
"Saguache",1000,0.5,8209672694.0351,2212582410.46293,7644346234.26673,0.269509211015261,0.931138977053358
"Saguache",1000,0.75,8209672694.0351,2212582410.46293,8000856860.49603,0.269509211015261,0.974564657895462
"Saguache",1000,1,8209672694.0351,2212582410.46293,8126426142.77038,0.269509211015261,0.989859942732527
"Saguache",1000,1.25,8209672694.0351,2212582410.46293,8179613564.09718,0.269509211015261,0.996338571456113
"Saguache",1000,1.5,8209672694.0351,2212582410.46293,8202594388.08603,0.269509211015261,0.99913780899521
"Saguache",1000,1.75,8209672694.0351,2212582410.46293,8209297891.26455,0.269509211015261,0.999954346198136
"Saguache",1000,2,8209672694.0351,2212582410.46293,8209672694.0351,0.269509211015261,1
