"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Sedgwick",250,0,1421469775.98638,1244640567.89045,1244640567.89045,0.875601148133298,0.875601148133298
"Sedgwick",250,0.25,1421469775.98638,1244640567.89045,1419798475.67896,0.875601148133298,0.998824244921943
"Sedgwick",250,0.5,1421469775.98638,1244640567.89045,1421169904.47202,0.875601148133298,0.999789041230829
"Sedgwick",250,0.75,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,1,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,1.25,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,1.5,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,1.75,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,2,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,2.25,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,2.5,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,2.75,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",250,3,1421469775.98638,1244640567.89045,1421469775.98638,0.875601148133298,1
"Sedgwick",500,0,1421469775.98638,1108875298.70809,1108875298.70809,0.780090662102633,0.780090662102633
"Sedgwick",500,0.25,1421469775.98638,1108875298.70809,1415276832.59375,0.780090662102633,0.995643281695293
"Sedgwick",500,0.5,1421469775.98638,1108875298.70809,1420891105.41451,0.780090662102633,0.999592906875939
"Sedgwick",500,0.75,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,1,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,1.25,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,1.5,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,1.75,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,2,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,2.25,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,2.5,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,2.75,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",500,3,1421469775.98638,1108875298.70809,1421469775.98638,0.780090662102633,1
"Sedgwick",750,0,1421469775.98638,993287528.966164,993287528.966164,0.698774990327817,0.698774990327817
"Sedgwick",750,0.25,1421469775.98638,993287528.966164,1393835922.88342,0.698774990327817,0.980559661858598
"Sedgwick",750,0.5,1421469775.98638,993287528.966164,1420478942.93395,0.698774990327817,0.999302951727036
"Sedgwick",750,0.75,1421469775.98638,993287528.966164,1421457052.80549,0.698774990327817,0.999991049277934
"Sedgwick",750,1,1421469775.98638,993287528.966164,1421469775.98638,0.698774990327817,1
"Sedgwick",750,1.25,1421469775.98638,993287528.966164,1421469775.98638,0.698774990327817,1
"Sedgwick",750,1.5,1421469775.98638,993287528.966164,1421469775.98638,0.698774990327817,1
