"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Summit",250,0,1602130289.97565,1094238326.88808,1094238326.88808,0.682989600617759,0.682989600617759
"Summit",250,0.25,1602130289.97565,1094238326.88808,1593301854.85188,0.682989600617759,0.994489564813172
"Summit",250,0.5,1602130289.97565,1094238326.88808,1601621001.49857,0.682989600617759,0.999682117939934
"Summit",250,0.75,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,1,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,1.25,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,1.5,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,1.75,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,2,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,2.25,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,2.5,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,2.75,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",250,3,1602130289.97565,1094238326.88808,1602130289.97565,0.682989600617759,1
"Summit",500,0,1602130289.97565,730454919.891354,730454919.891354,0.455927289098603,0.455927289098603
"Summit",500,0.25,1602130289.97565,730454919.891354,1585803977.88977,0.455927289098603,0.989809622732914
"Summit",500,0.5,1602130289.97565,730454919.891354,1600360330.48112,0.455927289098603,0.998895246219609
"Summit",500,0.75,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,1,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,1.25,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,1.5,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,1.75,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,2,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,2.25,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,2.5,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,2.75,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",500,3,1602130289.97565,730454919.891354,1602130289.97565,0.455927289098603,1
"Summit",750,0,1602130289.97565,469924398.498294,469924398.498294,0.293312224004851,0.293312224004851
"Summit",750,0.25,1602130289.97565,469924398.498294,1496064871.43573,0.293312224004851,0.933797257811331
"Summit",750,0.5,1602130289.97565,469924398.498294,1593807628.87191,0.293312224004851,0.994805253258231
"Summit",750,0.75,1602130289.97565,469924398.498294,1601916010.47595,0.293312224004851,0.999866253387109
"Summit",750,1,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,1.25,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,1.5,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,1.75,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,2,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,2.25,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,2.5,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,2.75,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",750,3,1602130289.97565,469924398.498294,1602130289.97565,0.293312224004851,1
"Summit",1000,0,1602130289.97565,289934634.661168,289934634.661168,0.180968199949316,0.180968199949316
"Summit",1000,0.25,1602130289.97565,289934634.661168,1231953288.44627,0.180968199949316,0.768947005218282
"Summit",1000,0.5,1602130289.97565,289934634.661168,1537714604.49158,0.180968199949316,0.959793728458227
"Summit",1000,0.75,1602130289.97565,289934634.661168,1586948263.44921,0.180968199949316,0.990523850262725
"Summit",1000,1,1602130289.97565,289934634.661168,1597278477.25574,0.180968199949316,0.996971649091051
"Summit",1000,1.25,1602130289.97565,289934634.661168,1601250521.97064,0.180968199949316,0.999450876117559
"Summit",1000,1.5,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1000,1.75,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1000,2,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1000,2.25,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1000,2.5,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1000,2.75,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1000,3,1602130289.97565,289934634.661168,1602130289.97565,0.180968199949316,1
"Summit",1250,0,1602130289.97565,170567856.316759,170567856.316759,0.106463161818975,0.106463161818975
"Summit",1250,0.25,1602130289.97565,170567856.316759,881921092.051906,0.106463161818975,0.550467772546334
"Summit",1250,0.5,1602130289.97565,170567856.316759,1368695071.6677,0.106463161818975,0.854296982106559
"Summit",1250,0.75,1602130289.97565,170567856.316759,1529810695.02448,0.106463161818975,0.954860353490811
"Summit",1250,1,1602130289.97565,170567856.316759,1579784063.98447,0.106463161818975,0.986052179319626
"Summit",1250,1.25,1602130289.97565,170567856.316759,1594622496.47904,0.106463161818975,0.995313868326705
"Summit",1250,1.5,1602130289.97565,170567856.316759,1599741877.89137,0.106463161818975,0.998509227308651
"Summit",1250,1.75,1602130289.97565,170567856.316759,1602060092.44667,0.106463161818975,0.999956184881206
"Summit",1250,2,1602130289.97565,170567856.316759,1602130289.97565,0.106463161818975,1
"Summit",1250,2.25,1602130289.97565,170567856.316759,1602130289.97565,0.106463161818975,1
"Summit",1250,2.5,1602130289.97565,170567856.316759,1602130289.97565,0.106463161818975,1
"Summit",1250,2.75,1602130289.97565,170567856.316759,1602130289.97565,0.106463161818975,1
"Summit",1250,3,1602130289.97565,170567856.316759,1602130289.97565,0.106463161818975,1
"Summit",1500,0,1602130289.97565,96199139.0968529,96199139.0968529,0.0600445167904012,0.0600445167904012
"Summit",1500,0.25,1602130289.97565,96199139.0968529,559512273.487251,0.0600445167904012,0.349230194939861
"Summit",1500,0.5,1602130289.97565,96199139.0968529,1077845259.29038,0.0600445167904012,0.672757556632155
"Summit",1500,0.75,1602130289.97565,96199139.0968529,1362203241.85233,0.0600445167904012,0.850244983429553
"Summit",1500,1,1602130289.97565,96199139.0968529,1501182053.12502,0.0600445167904012,0.936991243794438
"Summit",1500,1.25,1602130289.97565,96199139.0968529,1563089077.53069,0.0600445167904012,0.975631686955031
"Summit",1500,1.5,1602130289.97565,96199139.0968529,1587618812.53133,0.0600445167904012,0.990942386187246
"Summit",1500,1.75,1602130289.97565,96199139.0968529,1597879147.64145,0.0600445167904012,0.997346568902169
"Summit",1500,2,1602130289.97565,96199139.0968529,1601485977.87097,0.0600445167904012,0.999597840382455
