"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Teller",250,0,1447434676.74653,738914309.280896,738914309.280896,0.510499244733993,0.510499244733993
"Teller",250,0.25,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,0.5,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,0.75,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,1,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,1.25,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,1.5,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,1.75,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,2,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,2.25,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,2.5,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,2.75,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",250,3,1447434676.74653,738914309.280896,1447434676.74653,0.510499244733993,1
"Teller",500,0,1447434676.74653,426581994.685278,426581994.685278,0.294715887036869,0.294715887036869
"Teller",500,0.25,1447434676.74653,426581994.685278,1250705780.54856,0.294715887036869,0.864084438932907
"Teller",500,0.5,1447434676.74653,426581994.685278,1392083965.72731,0.294715887036869,0.961759441093651
"Teller",500,0.75,1447434676.74653,426581994.685278,1430841024.70319,0.294715887036869,0.988535819743772
"Teller",500,1,1447434676.74653,426581994.685278,1443815603.62422,0.294715887036869,0.997499663936168
"Teller",500,1.25,1447434676.74653,426581994.685278,1447433005.90671,0.294715887036869,0.999998845654418
"Teller",500,1.5,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",500,1.75,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",500,2,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",500,2.25,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",500,2.5,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",500,2.75,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",500,3,1447434676.74653,426581994.685278,1447434676.74653,0.294715887036869,1
"Teller",750,0,1447434676.74653,278537659.473681,278537659.473681,0.192435392041155,0.192435392041155
"Teller",750,0.25,1447434676.74653,278537659.473681,870546707.186631,0.192435392041155,0.601441102090631
"Teller",750,0.5,1447434676.74653,278537659.473681,1099022485.99316,0.192435392041155,0.759289868931068
"Teller",750,0.75,1447434676.74653,278537659.473681,1222697227.89157,0.192435392041155,0.844733961079254
"Teller",750,1,1447434676.74653,278537659.473681,1292237801.63243,0.192435392041155,0.892777976369239
"Teller",750,1.25,1447434676.74653,278537659.473681,1340219434.11108,0.192435392041155,0.925927404975232
"Teller",750,1.5,1447434676.74653,278537659.473681,1370879472.90459,0.192435392041155,0.947109734848952
"Teller",750,1.75,1447434676.74653,278537659.473681,1391324941.33728,0.192435392041155,0.961235048247311
"Teller",750,2,1447434676.74653,278537659.473681,1406970107.32236,0.192435392041155,0.972043940860168
"Teller",750,2.25,1447434676.74653,278537659.473681,1420061900.67871,0.192435392041155,0.98108876586448
"Teller",750,2.5,1447434676.74653,278537659.473681,1430467192.80492,0.192435392041155,0.988277547709616
"Teller",750,2.75,1447434676.74653,278537659.473681,1438964846.44596,0.192435392041155,0.994148385114268
"Teller",750,3,1447434676.74653,278537659.473681,1445317753.28297,0.192435392041155,0.998537465284222
"Teller",1000,0,1447434676.74653,184526379.252548,184526379.252548,0.127485117095106,0.127485117095106
"Teller",1000,0.25,1447434676.74653,184526379.252548,654326025.795138,0.127485117095106,0.452059105883727
"Teller",1000,0.5,1447434676.74653,184526379.252548,873980967.297233,0.127485117095106,0.603813755009464
"Teller",1000,0.75,1447434676.74653,184526379.252548,1020432734.15065,0.127485117095106,0.704993980415282
"Teller",1000,1,1447434676.74653,184526379.252548,1133655256.8643,0.127485117095106,0.783216869871098
"Teller",1000,1.25,1447434676.74653,184526379.252548,1221977493.8721,0.127485117095106,0.844236713064521
"Teller",1000,1.5,1447434676.74653,184526379.252548,1284569073.26597,0.127485117095106,0.887479824756829
"Teller",1000,1.75,1447434676.74653,184526379.252548,1330996675.92091,0.127485117095106,0.919555609177924
"Teller",1000,2,1447434676.74653,184526379.252548,1365119275.76453,0.127485117095106,0.943130144451819
"Teller",1000,2.25,1447434676.74653,184526379.252548,1389361337.43993,0.127485117095106,0.959878438564744
"Teller",1000,2.5,1447434676.74653,184526379.252548,1408580339.66686,0.127485117095106,0.973156414100148
"Teller",1000,2.75,1447434676.74653,184526379.252548,1424536631.67295,0.127485117095106,0.984180256669648
"Teller",1000,3,1447434676.74653,184526379.252548,1437738474.2578,0.127485117095106,0.99330111220596
"Teller",1250,0,1447434676.74653,120294916.331235,120294916.331235,0.083109046828716,0.083109046828716
"Teller",1250,0.25,1447434676.74653,120294916.331235,489940394.4983,0.083109046828716,0.338488777676352
"Teller",1250,0.5,1447434676.74653,120294916.331235,725527430.143037,0.083109046828716,0.501250551613037
"Teller",1250,0.75,1447434676.74653,120294916.331235,861856243.906054,0.083109046828716,0.595437056851014
"Teller",1250,1,1447434676.74653,120294916.331235,971461094.628375,0.083109046828716,0.671160578252813
"Teller",1250,1.25,1447434676.74653,120294916.331235,1064498130.03781,0.083109046828716,0.735437769413216
"Teller",1250,1.5,1447434676.74653,120294916.331235,1145557744.52461,0.083109046828716,0.791440030371208
"Teller",1250,1.75,1447434676.74653,120294916.331235,1212511840.9604,0.083109046828716,0.837697106777776
"Teller",1250,2,1447434676.74653,120294916.331235,1269768993.32646,0.083109046828716,0.87725478304871
"Teller",1250,2.25,1447434676.74653,120294916.331235,1319324772.93163,0.083109046828716,0.911491754430769
"Teller",1250,2.5,1447434676.74653,120294916.331235,1361161275.68999,0.083109046828716,0.940395651394464
"Teller",1250,2.75,1447434676.74653,120294916.331235,1396151454.60238,0.083109046828716,0.964569577495946
"Teller",1250,3,1447434676.74653,120294916.331235,1419888523.33553,0.083109046828716,0.980968983365165
