"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Washington",250,0,6533967422.46382,5885663366.95234,5885663366.95234,0.900779417221671,0.900779417221671
"Washington",250,0.25,6533967422.46382,5885663366.95234,6529430045.05443,0.900779417221671,0.999305570855191
"Washington",250,0.5,6533967422.46382,5885663366.95234,6533752658.45791,0.900779417221671,0.999967131148348
"Washington",250,0.75,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,1,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,1.25,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,1.5,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,1.75,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,2,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,2.25,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,2.5,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,2.75,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",250,3,6533967422.46382,5885663366.95234,6533967422.46382,0.900779417221671,1
"Washington",500,0,6533967422.46382,5323980125.62071,5323980125.62071,0.814815835676933,0.814815835676933
"Washington",500,0.25,6533967422.46382,5323980125.62071,6525404258.82374,0.814815835676933,0.998689438883543
"Washington",500,0.5,6533967422.46382,5323980125.62071,6533100294.18276,0.814815835676933,0.99986728916369
"Washington",500,0.75,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,1,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,1.25,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,1.5,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,1.75,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,2,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,2.25,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,2.5,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,2.75,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",500,3,6533967422.46382,5323980125.62071,6533967422.46382,0.814815835676933,1
"Washington",750,0,6533967422.46382,4821837028.77195,4821837028.77195,0.737964657153699,0.737964657153699
"Washington",750,0.25,6533967422.46382,4821837028.77195,6499664597.39284,0.737964657153699,0.9947500771196
"Washington",750,0.5,6533967422.46382,4821837028.77195,6530850112.79692,0.737964657153699,0.999522907069267
"Washington",750,0.75,6533967422.46382,4821837028.77195,6533820645.03436,0.737964657153699,0.999977536247127
"Washington",750,1,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,1.25,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,1.5,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,1.75,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,2,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,2.25,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,2.5,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,2.75,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",750,3,6533967422.46382,4821837028.77195,6533967422.46382,0.737964657153699,1
"Washington",1000,0,6533967422.46382,4380579241.52654,4380579241.52654,0.670431754291594,0.670431754291594
"Washington",1000,0.25,6533967422.46382,4380579241.52654,6330521013.94445,0.670431754291594,0.968863265552883
"Washington",1000,0.5,6533967422.46382,4380579241.52654,6521506886.43829,0.670431754291594,0.998092960184851
"Washington",1000,0.75,6533967422.46382,4380579241.52654,6532072178.96247,0.670431754291594,0.999709939860607
"Washington",1000,1,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,1.25,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,1.5,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,1.75,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,2,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,2.25,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,2.5,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,2.75,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1000,3,6533967422.46382,4380579241.52654,6533967422.46382,0.670431754291594,1
"Washington",1250,0,6533967422.46382,3993864218.23868,3993864218.23868,0.6112464234988,0.6112464234988
"Washington",1250,0.25,6533967422.46382,3993864218.23868,5961766216.87836,0.6112464234988,0.912426682199512
"Washington",1250,0.5,6533967422.46382,3993864218.23868,6475864987.54738,0.6112464234988,0.991107633209696
"Washington",1250,0.75,6533967422.46382,3993864218.23868,6529442854.09919,0.6112464234988,0.999307531233004
"Washington",1250,1,6533967422.46382,3993864218.23868,6533817466.20522,0.6112464234988,0.999977049738864
"Washington",1250,1.25,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,1.5,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,1.75,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,2,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,2.25,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,2.5,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,2.75,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1250,3,6533967422.46382,3993864218.23868,6533967422.46382,0.6112464234988,1
"Washington",1500,0,6533967422.46382,3657948074.22751,3657948074.22751,0.559835676812752,0.559835676812752
"Washington",1500,0.25,6533967422.46382,3657948074.22751,5407337596.02625,0.559835676812752,0.827573393989659
"Washington",1500,0.5,6533967422.46382,3657948074.22751,6305943950.72478,0.559835676812752,0.965101835225702
"Washington",1500,0.75,6533967422.46382,3657948074.22751,6499554761.61914,0.559835676812752,0.994733267153068
"Washington",1500,1,6533967422.46382,3657948074.22751,6531915236.05659,0.559835676812752,0.999685920318462
"Washington",1500,1.25,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,1.5,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,1.75,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,2,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,2.25,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,2.5,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,2.75,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1500,3,6533967422.46382,3657948074.22751,6533967422.46382,0.559835676812752,1
"Washington",1750,0,6533967422.46382,3365482348.115,3365482348.115,0.515074858889632,0.515074858889632
"Washington",1750,0.25,6533967422.46382,3365482348.115,4908648151.22071,0.515074858889632,0.751250784377153
"Washington",1750,0.5,6533967422.46382,3365482348.115,6027711662.1873,0.515074858889632,0.922519393265413
"Washington",1750,0.75,6533967422.46382,3365482348.115,6387456160.15185,0.515074858889632,0.977576983042759
"Washington",1750,1,6533967422.46382,3365482348.115,6504040684.44492,0.515074858889632,0.9954198213606
"Washington",1750,1.25,6533967422.46382,3365482348.115,6529722508.64463,0.515074858889632,0.99935033134622
"Washington",1750,1.5,6533967422.46382,3365482348.115,6533586329.41237,0.515074858889632,0.999941675091594
"Washington",1750,1.75,6533967422.46382,3365482348.115,6533967422.46382,0.515074858889632,1
"Washington",1750,2,6533967422.46382,3365482348.115,6533967422.46382,0.515074858889632,1
"Washington",1750,2.25,6533967422.46382,3365482348.115,6533967422.46382,0.515074858889632,1
"Washington",1750,2.5,6533967422.46382,3365482348.115,6533967422.46382,0.515074858889632,1
"Washington",1750,2.75,6533967422.46382,3365482348.115,6533967422.46382,0.515074858889632,1
"Washington",1750,3,6533967422.46382,3365482348.115,6533967422.46382,0.515074858889632,1
"Washington",2000,0,6533967422.46382,3110680016.5895,3110680016.5895,0.476078286814679,0.476078286814679
"Washington",2000,0.25,6533967422.46382,3110680016.5895,4460964895.54247,0.476078286814679,0.682734486891631
"Washington",2000,0.5,6533967422.46382,3110680016.5895,5662428889.88111,0.476078286814679,0.866614190700377
"Washington",2000,0.75,6533967422.46382,3110680016.5895,6163345980.46667,0.476078286814679,0.943277733414625
"Washington",2000,1,6533967422.46382,3110680016.5895,6385165266.99412,0.476078286814679,0.977226370159405
