"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Weld",250,0,10390758406.3728,8211993454.92256,8211993454.92256,0.790317042679585,0.790317042679585
"Weld",250,0.25,10390758406.3728,8211993454.92256,10365994281.0982,0.790317042679585,0.997616716287097
"Weld",250,0.5,10390758406.3728,8211993454.92256,10385199409.8604,0.790317042679585,0.999465005700745
"Weld",250,0.75,10390758406.3728,8211993454.92256,10390410960.2905,0.790317042679585,0.999966562009368
"Weld",250,1,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,1.25,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,1.5,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,1.75,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,2,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,2.25,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,2.5,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,2.75,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",250,3,10390758406.3728,8211993454.92256,10390758406.3728,0.790317042679585,1
"Weld",500,0,10390758406.3728,6553925556.98217,6553925556.98217,0.630745639602454,0.630745639602454
"Weld",500,0.25,10390758406.3728,6553925556.98217,10257246038.7892,0.630745639602454,0.987150854407156
"Weld",500,0.5,10390758406.3728,6553925556.98217,10364385117.968,0.630745639602454,0.997461851447861
"Weld",500,0.75,10390758406.3728,6553925556.98217,10383764423.5063,0.630745639602454,0.999326903523982
"Weld",500,1,10390758406.3728,6553925556.98217,10388961651.1294,0.630745639602454,0.999827081414749
"Weld",500,1.25,10390758406.3728,6553925556.98217,10390702033.3321,0.630745639602454,0.999994574694317
"Weld",500,1.5,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",500,1.75,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",500,2,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",500,2.25,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",500,2.5,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",500,2.75,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",500,3,10390758406.3728,6553925556.98217,10390758406.3728,0.630745639602454,1
"Weld",750,0,10390758406.3728,5254694028.29423,5254694028.29423,0.505708421155425,0.505708421155425
"Weld",750,0.25,10390758406.3728,5254694028.29423,9794278116.85807,0.505708421155425,0.942595115179574
"Weld",750,0.5,10390758406.3728,5254694028.29423,10290991355.1425,0.505708421155425,0.990398482254283
"Weld",750,0.75,10390758406.3728,5254694028.29423,10366789234.4836,0.505708421155425,0.997693222096816
"Weld",750,1,10390758406.3728,5254694028.29423,10381807218.3154,0.505708421155425,0.999138543337522
"Weld",750,1.25,10390758406.3728,5254694028.29423,10386398062.2358,0.505708421155425,0.999580363245257
"Weld",750,1.5,10390758406.3728,5254694028.29423,10389156982.4008,0.505708421155425,0.999845879972439
"Weld",750,1.75,10390758406.3728,5254694028.29423,10390661259.5971,0.505708421155425,0.999990650655912
"Weld",750,2,10390758406.3728,5254694028.29423,10390758406.3728,0.505708421155425,1
"Weld",750,2.25,10390758406.3728,5254694028.29423,10390758406.3728,0.505708421155425,1
"Weld",750,2.5,10390758406.3728,5254694028.29423,10390758406.3728,0.505708421155425,1
"Weld",750,2.75,10390758406.3728,5254694028.29423,10390758406.3728,0.505708421155425,1
"Weld",750,3,10390758406.3728,5254694028.29423,10390758406.3728,0.505708421155425,1
"Weld",1000,0,10390758406.3728,4267743246.90269,4267743246.90269,0.410724903803484,0.410724903803484
"Weld",1000,0.25,10390758406.3728,4267743246.90269,8775240836.8552,0.410724903803484,0.844523613548097
"Weld",1000,0.5,10390758406.3728,4267743246.90269,10001106475.6051,0.410724903803484,0.962500145270564
"Weld",1000,0.75,10390758406.3728,4267743246.90269,10265617238.141,0.410724903803484,0.987956493324393
"Weld",1000,1,10390758406.3728,4267743246.90269,10341266098.676,0.410724903803484,0.995236891691528
"Weld",1000,1.25,10390758406.3728,4267743246.90269,10366723025.7629,0.410724903803484,0.997686850211517
"Weld",1000,1.5,10390758406.3728,4267743246.90269,10377056056.8597,0.410724903803484,0.998681294571852
"Weld",1000,1.75,10390758406.3728,4267743246.90269,10383756030.7993,0.410724903803484,0.999326095815181
"Weld",1000,2,10390758406.3728,4267743246.90269,10388585250.7781,0.410724903803484,0.999790856883619
"Weld",1000,2.25,10390758406.3728,4267743246.90269,10390758325.8485,0.410724903803484,0.999999992250394
"Weld",1000,2.5,10390758406.3728,4267743246.90269,10390758406.3728,0.410724903803484,1
"Weld",1000,2.75,10390758406.3728,4267743246.90269,10390758406.3728,0.410724903803484,1
"Weld",1000,3,10390758406.3728,4267743246.90269,10390758406.3728,0.410724903803484,1
"Weld",1250,0,10390758406.3728,3521834848.83077,3521834848.83077,0.338939152571461,0.338939152571461
"Weld",1250,0.25,10390758406.3728,3521834848.83077,7400845450.43722,0.338939152571461,0.712252673096335
"Weld",1250,0.5,10390758406.3728,3521834848.83077,9358595157.95234,0.338939152571461,0.900665263491509
"Weld",1250,0.75,10390758406.3728,3521834848.83077,10004747243.1167,0.338939152571461,0.962850530427176
"Weld",1250,1,10390758406.3728,3521834848.83077,10227762460.4349,0.338939152571461,0.984313373522583
"Weld",1250,1.25,10390758406.3728,3521834848.83077,10312952174.7959,0.338939152571461,0.992511977611842
"Weld",1250,1.5,10390758406.3728,3521834848.83077,10354117716.1599,0.338939152571461,0.996473723208653
"Weld",1250,1.75,10390758406.3728,3521834848.83077,10372709318.143,0.338939152571461,0.998262967194129
"Weld",1250,2,10390758406.3728,3521834848.83077,10381282324.6625,0.338939152571461,0.999088027905218
"Weld",1250,2.25,10390758406.3728,3521834848.83077,10386721704.0338,0.338939152571461,0.999611510326666
"Weld",1250,2.5,10390758406.3728,3521834848.83077,10390247942.5815,0.338939152571461,0.999950873288424
"Weld",1250,2.75,10390758406.3728,3521834848.83077,10390758406.3728,0.338939152571461,1
"Weld",1250,3,10390758406.3728,3521834848.83077,10390758406.3728,0.338939152571461,1
"Weld",1500,0,10390758406.3728,2953297952.72568,2953297952.72568,0.284223522213199,0.284223522213199
"Weld",1500,0.25,10390758406.3728,2953297952.72568,6005233487.6506,0.284223522213199,0.577939862788795
"Weld",1500,0.5,10390758406.3728,2953297952.72568,8289973571.44655,0.284223522213199,0.79782179964479
"Weld",1500,0.75,10390758406.3728,2953297952.72568,9367673177.39203,0.284223522213199,0.901538926325795
"Weld",1500,1,10390758406.3728,2953297952.72568,9884618434.65198,0.284223522213199,0.951289410077097
"Weld",1500,1.25,10390758406.3728,2953297952.72568,10129042339.2839,0.284223522213199,0.974812611663808
"Weld",1500,1.5,10390758406.3728,2953297952.72568,10245419314.4596,0.284223522213199,0.986012657957287
"Weld",1500,1.75,10390758406.3728,2953297952.72568,10311442732.303,0.284223522213199,0.992366709823496
"Weld",1500,2,10390758406.3728,2953297952.72568,10352391386.0915,0.284223522213199,0.996307582297576
"Weld",1500,2.25,10390758406.3728,2953297952.72568,10373683411.8446,0.284223522213199,0.998356713354271
"Weld",1500,2.5,10390758406.3728,2953297952.72568,10383217599.5855,0.284223522213199,0.999274277536598
"Weld",1500,2.75,10390758406.3728,2953297952.72568,10388457334.4965,0.284223522213199,0.999778546301797
"Weld",1500,3,10390758406.3728,2953297952.72568,10390758406.3728,0.284223522213199,1
"Weld",1750,0,10390758406.3728,2511627793.31959,2511627793.31959,0.241717466145606,0.241717466145606
"Weld",1750,0.25,10390758406.3728,2511627793.31959,4910537583.1256,0.241717466145606,0.472587023110258
"Weld",1750,0.5,10390758406.3728,2511627793.31959,7093170193.26567,0.241717466145606,0.682642201450411
"Weld",1750,0.75,10390758406.3728,2511627793.31959,8376327409.70985,0.241717466145606,0.806132438280208
"Weld",1750,1,10390758406.3728,2511627793.31959,9176383421.45734,0.241717466145606,0.883129321516066
"Weld",1750,1.25,10390758406.3728,2511627793.31959,9648476519.80718,0.241717466145606,0.928563261935689
"Weld",1750,1.5,10390758406.3728,2511627793.31959,9924601993.66937,0.241717466145606,0.955137402442396
"Weld",1750,1.75,10390758406.3728,2511627793.31959,10092962908.8511,0.241717466145606,0.971340350157792
"Weld",1750,2,10390758406.3728,2511627793.31959,10196801085.4523,0.241717466145606,0.98133367042761
"Weld",1750,2.25,10390758406.3728,2511627793.31959,10258590224.8394,0.241717466145606,0.987280218020244
"Weld",1750,2.5,10390758406.3728,2511627793.31959,10304305256.3088,0.241717466145606,0.991679803659861
"Weld",1750,2.75,10390758406.3728,2511627793.31959,10336117468.4395,0.241717466145606,0.994741390782435
"Weld",1750,3,10390758406.3728,2511627793.31959,10355519062.4798,0.241717466145606,0.996608587889851
"Weld",2000,0,10390758406.3728,2158473128.96617,2158473128.96617,0.207730085192083,0.207730085192083
"Weld",2000,0.25,10390758406.3728,2158473128.96617,4085198778.18396,0.207730085192083,0.393156939889822
"Weld",2000,0.5,10390758406.3728,2158473128.96617,6070075449.43715,0.207730085192083,0.584180212073288
"Weld",2000,0.75,10390758406.3728,2158473128.96617,7410998847.88047,0.207730085192083,0.713229829627761
"Weld",2000,1,10390758406.3728,2158473128.96617,8360395221.77919,0.207730085192083,0.804599134616745
"Weld",2000,1.25,10390758406.3728,2158473128.96617,9023308401.26423,0.207730085192083,0.868397478641226
"Weld",2000,1.5,10390758406.3728,2158473128.96617,9481721536.19826,0.207730085192083,0.912514868056504
"Weld",2000,1.75,10390758406.3728,2158473128.96617,9798217744.91166,0.207730085192083,0.942974262485239
"Weld",2000,2,10390758406.3728,2158473128.96617,10009371143.7731,0.207730085192083,0.963295531694229
"Weld",2000,2.25,10390758406.3728,2158473128.96617,10143735249.3509,0.207730085192083,0.976226648011531
"Weld",2000,2.5,10390758406.3728,2158473128.96617,10231450565.4781,0.207730085192083,0.984668314413224
"Weld",2000,2.75,10390758406.3728,2158473128.96617,10292766159.3064,0.207730085192083,0.990569288281572
"Weld",2000,3,10390758406.3728,2158473128.96617,10331249772.0365,0.207730085192083,0.994272926767329
"Weld",2250,0,10390758406.3728,1870923132.00532,1870923132.00532,0.180056455826926,0.180056455826926
"Weld",2250,0.25,10390758406.3728,1870923132.00532,3435419249.54872,0.180056455826926,0.330622570094763
"Weld",2250,0.5,10390758406.3728,1870923132.00532,5141101750.13363,0.180056455826926,0.494776372336839
"Weld",2250,0.75,10390758406.3728,1870923132.00532,6389641236.04707,0.180056455826926,0.614935020732292
"Weld",2250,1,10390758406.3728,1870923132.00532,7327984978.04766,0.180056455826926,0.705240627436138
"Weld",2250,1.25,10390758406.3728,1870923132.00532,8053042390.7929,0.180056455826926,0.775019693062431
"Weld",2250,1.5,10390758406.3728,1870923132.00532,8618023015.52905,0.180056455826926,0.829393070119263
"Weld",2250,1.75,10390758406.3728,1870923132.00532,9054753035.20989,0.180056455826926,0.871423690272359
"Weld",2250,2,10390758406.3728,1870923132.00532,9388589575.05009,0.180056455826926,0.903551907172817
"Weld",2250,2.25,10390758406.3728,1870923132.00532,9648766524.49582,0.180056455826926,0.928591171803025
"Weld",2250,2.5,10390758406.3728,1870923132.00532,9843913828.73699,0.180056455826926,0.947372024615606
