"county","setback","horizontal","county_area_m2","drillable_surface_m2","drillable_underground_m2","drillable_surface_pct","drillable_underground_pct"
"Yuma",250,0,6139239507.33762,5735090511.58965,5735090511.58965,0.934169534310409,0.934169534310409
"Yuma",250,0.25,6139239507.33762,5735090511.58965,6128359344.28539,0.934169534310409,0.998227766967029
"Yuma",250,0.5,6139239507.33762,5735090511.58965,6135692822.19304,0.934169534310409,0.999422292428837
"Yuma",250,0.75,6139239507.33762,5735090511.58965,6139229392.32725,0.934169534310409,0.999998352400106
"Yuma",250,1,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,1.25,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,1.5,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,1.75,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,2,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,2.25,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,2.5,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,2.75,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",250,3,6139239507.33762,5735090511.58965,6139239507.33762,0.934169534310409,1
"Yuma",500,0,6139239507.33762,5403949419.08604,5403949419.08604,0.880231079537985,0.880231079537985
"Yuma",500,0.25,6139239507.33762,5403949419.08604,6125511954.83031,0.880231079537985,0.997763965310215
"Yuma",500,0.5,6139239507.33762,5403949419.08604,6134077066.37376,0.880231079537985,0.99915910741751
"Yuma",500,0.75,6139239507.33762,5403949419.08604,6138948579.14953,0.880231079537985,0.999952611689488
"Yuma",500,1,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,1.25,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,1.5,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,1.75,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,2,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,2.25,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,2.5,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,2.75,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",500,3,6139239507.33762,5403949419.08604,6139239507.33762,0.880231079537985,1
"Yuma",750,0,6139239507.33762,5123700132.52428,5123700132.52428,0.83458221924726,0.83458221924726
"Yuma",750,0.25,6139239507.33762,5123700132.52428,6093643309.67981,0.83458221924726,0.992572989276064
"Yuma",750,0.5,6139239507.33762,5123700132.52428,6131534796.07121,0.83458221924726,0.998745005589503
"Yuma",750,0.75,6139239507.33762,5123700132.52428,6137811411.06511,0.83458221924726,0.999767382218792
"Yuma",750,1,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,1.25,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,1.5,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,1.75,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,2,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,2.25,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,2.5,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,2.75,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",750,3,6139239507.33762,5123700132.52428,6139239507.33762,0.83458221924726,1
"Yuma",1000,0,6139239507.33762,4895703118.94649,4895703118.94649,0.797444555322389,0.797444555322389
"Yuma",1000,0.25,6139239507.33762,4895703118.94649,5935820434.3209,0.797444555322389,0.966865753848894
"Yuma",1000,0.5,6139239507.33762,4895703118.94649,6120116021.49273,0.797444555322389,0.996885039943134
"Yuma",1000,0.75,6139239507.33762,4895703118.94649,6136344616.20538,0.797444555322389,0.999528460955339
"Yuma",1000,1,6139239507.33762,4895703118.94649,6139224969.34509,0.797444555322389,0.999997631955471
